year;region;total;men;women
2006;Guyane;205954;102032;103922
2006;La R�union;781962;379210;402752
2006;DOM;1786384;855633;930751
2006;France m�tropolitaine et DOM;63186117;30570044;32616073
2007;Auvergne-Rh�ne-Alpes;7405206;3600760;3804446
2007;Bourgogne-Franche-Comt�;2792562;1360927;1431635
2007;Bretagne;3120288;1514671;1605617
2007;Centre-Val-de-Loire;2526919;1228011;1298908
2007;Corse;299209;145635;153574
2007;Grand Est;5506616;2686710;2819906
2007;Hauts-de-France;5922030;2867834;3054196
2007;�le-de-France;11598866;5602411;5996455
2007;Normandie;3278145;1585457;1692688
2007;Nouvelle-Aquitaine;5627671;2713176;2914495
2007;Occitanie;5371117;2593477;2777640
2007;Pays de la Loire;3482594;1697147;1785447
2007;Provence-Alpes-C�ted'Azur;4864015;2321362;2542653
2007;France m�tropolitaine;61795238;29917578;31877660
2007;Guadeloupe;400584;188325;212259
2007;Martinique;397730;184970;212760
2007;Guyane;213031;105546;107485
2007;La R�union;794107;385335;408772
2007;DOM;1805452;864176;941276
2007;France m�tropolitaine et DOM;63600690;30781754;32818936
2008;Auvergne-Rh�ne-Alpes;7459092;3628373;3830719
2008;Bourgogne-Franche-Comt�;2802519;1365513;1437006
2008;Bretagne;3149701;1529468;1620233
2008;Centre-Val-de-Loire;2531588;1230640;1300948
2008;Corse;302966;147832;155134
2008;Grand Est;5521452;2693221;2828231
2008;Hauts-de-France;5931091;2872438;3058653
2008;�le-de-France;11659260;5631385;6027875
2008;Normandie;3293092;1591747;1701345
2008;Nouvelle-Aquitaine;5671076;2732901;2938175
2008;Occitanie;5419946;2619187;2800759
2008;Pays de la Loire;3510170;1710307;1799863
2008;Provence-Alpes-C�ted'Azur;4882913;2331735;2551178
2008;France m�tropolitaine;62134866;30084747;32050119
2008;Guadeloupe;401784;188389;213395
2008;Martinique;397693;184437;213256
2008;Guyane;219266;108673;110593
2008;La R�union;808250;392041;416209
2008;DOM;1826993;873540;953453
2008;France m�tropolitaine et DOM;63961859;30958287;33003572
2009;Auvergne-Rh�ne-Alpes;7518004;3658116;3859888
2009;Bourgogne-Franche-Comt�;2810648;1369837;1440811
2009;Bretagne;3175064;1541358;1633706
2009;Centre-Val-de-Loire;2538590;1233806;1304784
2009;Corse;305674;149514;156160
2009;Grand Est;5531118;2697718;2833400
2009;Hauts-de-France;5944354;2880018;3064336
2009;�le-de-France;11728240;5661771;6066469
2009;Normandie;3303822;1597185;1706637
2009;Nouvelle-Aquitaine;5708497;2751618;2956879
2009;Occitanie;5473597;2646299;2827298
2009;Pays de la Loire;3539048;1724639;1814409
2009;Provence-Alpes-C�ted'Azur;4889053;2335555;2553498
2009;France m�tropolitaine;62465709;30247434;32218275
2009;Guadeloupe;401554;187867;213687
2009;Martinique;396404;183655;212749
2009;Guyane;224469;111201;113268
2009;La R�union;816364;395688;420676
2009;DOM;1838791;878411;960380
2009;France m�tropolitaine et DOM;64304500;31125845;33178655
2010;Auvergne-Rh�ne-Alpes;7578078;3688963;3889115
2010;Bourgogne-Franche-Comt�;2813878;1371655;1442223
2010;Bretagne;3199066;1553248;1645818
2010;Centre-Val-de-Loire;2548065;1238673;1309392
2010;Corse;309693;151633;158060
2010;Grand Est;5532530;2698974;2833556
2010;Hauts-de-France;5953001;2884386;3068615
2010;�le-de-France;11786234;5691234;6095000
2010;Normandie;3310448;1601032;1709416
2010;Nouvelle-Aquitaine;5745486;2769626;2975860
2010;Occitanie;5518106;2668025;2850081
2010;Pays de la Loire;3571495;1739864;1831631
2010;Provence-Alpes-C�ted'Azur;4899155;2340637;2558518
2010;France m�tropolitaine;62765235;30397950;32367285
2010;Guadeloupe;403355;187912;215443
2010;Martinique;394173;182110;212063
2010;Guyane;229040;113607;115433
2010;La R�union;821136;397953;423183
2010;DOM;1847704;881582;966122
2010;France m�tropolitaine et DOM;64612939;31279532;33333407
2011;Auvergne-Rh�ne-Alpes;7634223;3716132;3918091
2011;Bourgogne-Franche-Comt�;2816174;1372836;1443338
2011;Bretagne;3217767;1563341;1654426
2011;Centre-Val-de-Loire;2556835;1242058;1314777
2011;Corse;314486;154075;160411
2011;Grand Est;5539035;2703035;2836000
2011;Hauts-de-France;5960170;2888235;3071935
2011;�le-de-France;11852851;5725491;6127360
2011;Normandie;3315077;1603920;1711157
2011;Nouvelle-Aquitaine;5773078;2783870;2989208
2011;Occitanie;5573466;2695768;2877698
2011;Pays de la Loire;3601113;1754154;1846959
2011;Provence-Alpes-C�ted'Azur;4916069;2350713;2565356
2011;France m�tropolitaine;63070344;30553628;32516716
2011;Guadeloupe;404635;187782;216853
2011;Martinique;392291;180676;211615
2011;Guyane;237549;117732;119817
2011;La R�union;828581;401139;427442
2011;DOM;1863056;887329;975727
2011;France m�tropolitaine et DOM;64933400;31440957;33492443
