Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,476924,481688,475634,464662,471358,463667,480939,507025,540971,536593,502860,481903,479930,359077,282725,265067,216748,140532,52652,14309,7695264,243160,246935,243993,238021,237937,230513,238503,254562,270390,266622,247540,233396,232613,172515,130660,112763,82239,46122,14452,2607,3745543,233764,234753,231641,226641,233421,233154,242436,252463,270581,269971,255320,248507,247317,186562,152065,152304,134509,94410,38200,11702,3949721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,160602,166581,169755,161330,156953,156100,161570,172943,190007,192938,192435,191131,197363,140979,115102,110075,91452,60144,23012,6342,2816814,82377,85246,87404,83170,80847,78580,81090,86381,95530,96571,94935,93349,97074,68123,53236,46781,35122,19743,6306,1161,1373026,78225,81335,82351,78160,76106,77520,80480,86562,94477,96367,97500,97782,100289,72856,61866,63294,56330,40401,16706,5181,1443788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bretagne,188510,199863,201846,191778,181121,175766,187322,205851,220443,220138,218487,211015,220240,154572,131038,128360,104210,66506,24144,5887,3237097,95946,102440,103518,98691,93768,89197,94370,104373,111024,110479,108886,103524,106297,72464,58827,53215,38409,20689,5978,1002,1573097,92564,97423,98328,93087,87353,86569,92952,101478,109419,109659,109601,107491,113943,82108,72211,75145,65801,45817,18166,4885,1664000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre-Val-de-Loire,151923,157181,157115,147156,138401,141059,145798,160532,174795,175194,172731,172817,175420,125545,102561,100394,82576,54755,21400,6233,2563586,77361,80231,80544,75984,69754,70078,71777,80080,87178,86695,84951,84651,85670,60161,47275,43390,32596,18946,6256,1256,1244834,74562,76950,76571,71172,68647,70981,74021,80452,87617,88499,87780,88166,89750,65384,55286,57004,49980,35809,15144,4977,1318752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corse,15829,16157,16716,16678,17811,18088,18905,20896,22884,23055,21998,20982,21277,17689,14984,12881,10146,6064,2498,719,316257,8303,8357,8761,8557,9294,9025,9220,10147,11238,11390,10869,10522,10506,8586,7189,5624,4251,2069,694,166,154768,7526,7800,7955,8121,8517,9063,9685,10749,11646,11665,11129,10460,10771,9103,7795,7257,5895,3995,1804,553,161489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandEst,323771,329461,336000,333519,348277,340006,340817,354588,384473,398269,389944,378872,356371,239735,209643,193985,156649,93289,32994,8292,5548955,165647,168086,172760,171269,178514,170132,170255,177606,192473,198450,191777,185709,175552,115401,95631,81030,58243,28209,8441,1401,2706586,158124,161375,163240,162250,169763,169874,170562,176982,192000,199819,198167,193163,180819,124334,114012,112955,98406,65080,24553,6891,2842369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauts-de-France,397430,400239,399021,382076,389142,379642,376696,393576,404593,406046,395557,383752,368917,239414,189093,185219,151683,92235,31578,7189,5973098,203315,205312,203955,196418,196170,188714,186546,195683,201903,201592,194483,185118,177945,112365,82571,72792,53631,27720,7867,1147,2895247,194115,194927,195066,185658,192972,190928,190150,197893,202690,204454,201074,198634,190972,127049,106522,112427,98052,64515,23711,6042,3077851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île-de-France,835215,780370,740921,724730,827804,884194,888573,879251,851161,835343,763438,696438,639208,441365,332204,302244,240497,155034,62195,18317,11898502,426087,398049,378097,366221,403947,424350,432461,437819,419959,407778,368301,333132,305817,210269,150386,124553,90847,48391,16866,3332,5746662,409128,382321,362824,358509,423857,459844,456112,441432,431202,427565,395137,363306,333391,231096,181818,177691,149650,106643,45329,14985,6151840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normandie,200975,206610,211206,202448,195340,192209,192631,206047,222836,226942,227003,225338,222271,153084,124033,121791,98633,63210,23903,6246,3322756,102737,106099,107625,104016,98608,95124,95688,102131,110689,112238,111714,110123,107815,72682,55278,50407,36936,20357,6184,1058,1607509,98238,100511,103581,98432,96732,97085,96943,103916,112147,114704,115289,115215,114456,80402,68755,71384,61697,42853,17719,5188,1715247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle-Aquitaine,306707,323886,334048,320958,318982,306375,326008,361262,395436,402703,397690,398365,414880,305044,243615,243949,203547,137185,52940,15014,5808594,156743,165893,171588,163659,161971,152348,161613,178927,195639,197744,194363,192593,200245,144716,112323,106129,80008,46278,14827,2714,2800321,149964,157993,162460,157299,157011,154027,164395,182335,199797,204959,203327,205772,214635,160328,131292,137820,123539,90907,38113,12300,3008273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
