Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total
Auvergne-Rhône-Alpes,471852,501076,494331,480482,455326,467792,491628,491731,532949,539054,530348,492206,467981,462305,312571,260019,223357,152716,72780,16385,7916889,240946,256488,253422,245997,231196,232322,242860,242811,266904,268555,262022,239940,224069,219588,146155,114965,88150,51377,20208,3265,3851240,230906,244588,240909,234485,224130,235470,248768,248920,266045,270499,268326,252266,243912,242717,166416,145054,135207,101339,52572,13120,4065649
Bourgogne-Franche-Comté,151290,167271,169878,166025,144231,150417,159908,160272,179834,188387,191187,190077,188721,189450,119405,107596,92238,63801,30988,7362,2818338,77580,85910,87251,86374,74859,75463,79735,79506,89543,94259,94947,92500,91508,91443,56081,47471,36482,21748,8599,1533,1372792,73710,81361,82627,79651,69372,74954,80173,80766,90291,94128,96240,97577,97213,98007,63324,60125,55756,42053,22389,5829,1445546
Bretagne,178835,202827,207889,202061,173242,171725,185776,193570,219739,220778,221602,218642,214647,218778,129934,125745,107895,72340,33011,7493,3306529,91312,103649,106340,104076,90204,87301,92486,96928,110922,110158,110655,107135,103376,103857,59084,53860,41299,23429,8577,1346,1605994,87523,99178,101549,97985,83038,84424,93290,96642,108817,110620,110947,111507,111271,114921,70850,71885,66596,48911,24434,6147,1700535
Centre-Val-de-Loire,143998,159728,160626,151256,127623,136608,145225,147108,169759,174115,173249,170790,169635,168705,105349,95497,84507,58329,28668,7091,2577866,73244,81633,82146,77793,65551,67485,71225,72219,84450,86569,85486,83393,81989,80872,49092,42355,33971,20837,8348,1530,1250188,70754,78095,78480,73463,62072,69123,74000,74889,85309,87546,87763,87397,87646,87833,56257,53142,50536,37492,20320,5561,1327678
Corse,16020,17446,17161,17040,15821,18723,20407,20400,22627,23786,23731,21969,21526,21639,16563,13984,10817,7016,3018,761,330455,8238,9168,8780,8818,8038,9206,9769,9856,11182,11776,11517,10865,10689,10452,7680,6604,4489,2635,845,192,160799,7782,8278,8381,8222,7783,9517,10638,10544,11445,12010,12214,11104,10837,11187,8883,7380,6328,4381,2173,569,169656
GrandEst,307733,331630,331323,335573,321129,331941,340050,332296,365158,381040,392596,378264,360891,332243,202519,192484,159603,103711,45498,9504,5555186,157422,169437,169402,173556,164506,166719,168711,165567,181727,190278,194903,183586,174712,160767,94424,83969,61519,34032,11486,1801,2708524,150311,162193,161921,162017,156623,165222,171339,166729,183431,190762,197693,194678,186179,171476,108095,108515,98084,69679,34012,7703,2846662
Hauts-de-France,381960,403829,400358,395913,361945,367187,379052,370372,401356,393819,396941,381910,363152,342889,187131,176195,151243,98969,43875,8774,6006870,194993,206604,204544,203765,183836,182523,186483,183496,199683,196082,196218,185067,172809,161188,84531,72311,54719,30949,10942,1689,2912432,186967,197225,195814,192148,178109,184664,192569,186876,201673,197737,200723,196843,190343,181701,102600,103884,96524,68020,32933,7085,3094438
Île-de-France,819625,810133,761566,741164,792903,892774,879093,860575,864303,821073,797731,717331,620541,565391,361173,298988,246919,164712,79911,21226,12117132,418301,412914,387639,375799,387948,428037,422464,421314,430874,401441,386689,343574,292682,264840,166853,129380,95625,56353,21571,4787,5849085,401324,397219,373927,365365,404955,464737,456629,439261,433429,419632,411042,373757,327859,300551,194320,169608,151294,108359,58340,16439,6268047
Normandie,188492,209549,211228,206853,179388,183242,193987,192376,215463,220224,225294,223102,219905,212461,127433,117010,101967,68006,32265,7684,3335929,96043,107677,108466,106100,91558,90710,95306,95083,106730,109095,110708,108921,105576,101277,58545,49917,38824,22712,8578,1482,1613308,92449,101872,102762,100753,87830,92532,98681,97293,108733,111129,114586,114181,114329,111184,68888,67093,63143,45294,23687,6202,1722621
Nouvelle-Aquitaine,295634,334112,341436,341296,303225,306205,328312,341648,390186,401412,404470,400439,405074,409822,263423,228992,206334,143884,72209,17490,5935603,151384,170544,175353,174917,154261,151956,161466,168329,192803,198191,197303,193225,193775,195182,122112,101309,84072,49885,20381,3738,2860186,144250,163568,166083,166379,148964,154249,166846,173319,197383,203221,207167,207214,211299,214640,141311,127683,122262,93999,51828,13752,3075417
