Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total
Auvergne-Rhône-Alpes,459930,503123,501133,494570,447362,461497,488767,512843,505812,547481,536917,498300,468400,457440,367834,260240,222340,159884,77483,23103,7994459,234685,257617,256802,253525,227843,229422,239942,252039,252539,273283,266636,243469,224004,216531,171562,116309,89707,55311,21560,4596,3887382,225245,245506,244331,241045,219519,232075,248825,260804,253273,274198,270281,254831,244396,240909,196272,143931,132633,104573,55923,18507,4107077
Bourgogne-Franche-Comté,143727,163624,169751,167875,140115,144866,154428,164793,167038,188615,189917,188110,187583,188641,145574,103556,91447,66115,32148,9884,2807807,73219,84040,87003,87782,72661,73560,76505,81773,82807,94002,94412,91692,90536,90793,68779,46309,37092,22833,9044,2070,1366912,70508,79584,82748,80093,67454,71306,77923,83020,84231,94613,95505,96418,97047,97848,76795,57247,54355,43282,23104,7814,1440895
Bretagne,170688,201080,208389,206592,171977,166806,182007,200372,206643,227232,222421,220712,217928,219619,166147,116383,108415,76561,35465,9977,3335414,87465,102860,106607,106738,89562,84805,90468,100004,103551,114072,110786,108432,105502,103909,76146,50629,42431,25355,9363,1930,1620615,83223,98220,101782,99854,82415,82001,91539,100368,103092,113160,111635,112280,112426,115710,90001,65754,65984,51206,26102,8047,1714799
Centre-Val-de-Loire,138390,157618,160571,153176,123941,132783,143346,151184,155804,175618,173715,169230,167479,168331,129018,90325,83337,60239,29422,9326,2572853,70350,80403,82331,79061,63613,66066,69811,74145,77464,87184,85846,83032,80756,80371,60292,40224,34376,21587,8696,2018,1247626,68040,77215,78240,74115,60328,66717,73535,77039,78340,88434,87869,86198,86723,87960,68726,50101,48961,38652,20726,7308,1325227
Corse,16185,18716,17586,16533,15759,18540,20478,22147,21691,24509,23870,22308,21819,22565,18113,14972,11042,7447,3269,1005,338554,8255,9808,9105,8757,7889,9169,9697,10635,10489,12168,11740,10986,10669,11053,8542,6901,4823,2850,923,246,164705,7930,8908,8481,7776,7870,9371,10781,11512,11202,12341,12130,11322,11150,11512,9571,8071,6219,4597,2346,759,173849
GrandEst,296193,328206,330590,338464,311564,321813,334822,345156,338853,380390,387063,378791,361187,340571,240885,185068,159018,110177,48536,13042,5550389,151539,168117,169184,174998,160364,162068,165905,170709,168361,189897,192326,185205,173331,163662,113475,81837,62856,37064,12472,2512,2705882,144654,160089,161406,163466,151200,159745,168917,174447,170492,190493,194737,193586,187856,176909,127410,103231,96162,73113,36064,10530,2844507
Hauts-de-France,363659,401284,399360,400597,355061,352372,373479,383165,378316,398572,391977,380075,361538,345353,246473,161168,147858,104844,46630,12327,6004108,185645,205378,203434,206161,180695,175734,183075,189190,187699,198740,193607,185621,171285,161385,111959,67864,54496,33226,11826,2351,2909371,178014,195906,195926,194436,174366,176638,190404,193975,190617,199832,198370,194454,190253,183968,134514,93304,93362,71618,34804,9976,3094737
Île-de-France,809922,809447,776208,760061,783901,895260,881531,868899,838659,834772,799609,728461,620540,555548,425630,296763,245712,172353,83404,26767,12213447,412592,412577,395570,386281,383230,432278,420817,422162,416018,411847,389094,349728,291888,257854,196254,129916,97722,59074,23640,5605,5894147,397330,396870,380638,373780,400671,462982,460714,446737,422641,422925,410515,378733,328652,297694,229376,166847,147990,113279,59764,21162,6319300
Normandie,178792,205749,209353,207497,176464,177769,190197,199192,198809,221109,221682,220861,219095,214742,159219,109581,101221,72045,34244,9856,3327477,90823,105336,107956,106754,90163,88673,93368,98323,98408,109585,109430,107345,105020,101683,73581,47302,39603,24223,9310,1899,1608785,87969,100413,101397,100743,86301,89096,96829,100869,100401,111524,112252,113516,114075,113059,85638,62279,61618,47822,24934,7957,1718692
Nouvelle-Aquitaine,285942,332346,342475,347428,299709,300701,323058,355790,365183,408183,406396,399834,404537,412472,319564,224279,203410,150320,74807,23344,5979778,145188,170080,175182,179394,152243,149570,157837,174688,179608,201320,198472,193200,192311,195667,148854,100120,83840,53260,21294,4808,2876936,140754,162266,167293,168034,147466,151131,165221,181102,185575,206863,207924,206634,212226,216805,170710,124159,119570,97060,53513,18536,3102842
Occitanie,301797,339023,342523,349244,321756,316877,332273,358215,356130,396319,399536,383486,374194,381576,307661,212748,185959,138335,66859,20985,5885496,154213,173444,175304,179098,164020,157662,162301,175843,175163,194697,195445,184907,179059,181435,143288,95908,77325,50646,19738,4623,2844119,147584,165579,167219,170146,157736,159215,169972,182372,180967,201622,204091,198579,195135,200141,164373,116840,108634,87689,47121,16362,3041377
PaysdelaLoire,209910,244066,249815,240601,201058,201345,218265,238107,239236,254038,244819,238018,231546,232430,172376,121329,112569,79719,39879,12297,3781423,107399,124991,127703,124297,102422,101064,108309,118349,119664,127114,121619,116526,111107,110362,79783,53369,45782,27780,11526,2543,1841709,102511,119075,122112,116304,98636,100281,109956,119758,119572,126924,123200,121492,120439,122068,92593,67960,66787,51939,28353,9754,1939714
Provence-Alpes-Côted'Azur,273400,290793,288637,288876,256321,270372,289869,308401,305088,340205,347494,329092,316078,317922,272717,201263,163912,117658,56789,17945,5052832,140312,148938,147646,148751,130298,132871,140037,148704,148434,164844,166212,157137,148422,148174,124728,89728,67362,42594,16237,3767,2415196,133088,141855,140991,140125,126023,137501,149832,159697,156654,175361,181282,171955,167656,169748,147989,111535,96550,75064,40552,14178,2637636
Francemétropolitaine,3648535,3995075,3996391,3971514,3604988,3761001,3932520,4108264,4077262,4397043,4345416,4157278,3951924,3857210,2971211,2097675,1836240,1315697,628935,189858,64844037,1861685,2043589,2043827,2041597,1825003,1862942,1918072,2016564,2020205,2178753,2135625,2017280,1883890,1822879,1377243,926416,737415,455803,175629,38968,31383385,1786850,1951486,1952564,1929917,1779985,1898059,2014448,2091700,2057057,2218290,2209791,2139998,2068034,2034331,1593968,1171259,1098825,859894,453306,150890,33460652
Guadeloupe,19883,23888,27831,26753,18748,18095,17998,19829,24931,29464,31314,29958,26273,22799,17615,12556,9578,5715,3080,1321,387629,9948,11992,14038,13830,9436,8400,7416,7912,10382,12766,13939,13973,12131,10517,8036,5506,3785,2094,1017,392,177510,9935,11896,13793,12923,9312,9695,10582,11917,14549,16698,17375,15985,14142,12282,9579,7050,5793,3621,2063,929,210119
Martinique,17260,20529,22987,23350,16901,17306,17427,17961,20965,27971,32488,30838,27086,22519,17376,13626,11107,6433,3195,1458,368783,8783,10364,11644,11883,8617,7890,7367,7516,8842,12178,14355,14471,12448,10305,8081,5902,4590,2489,973,342,169040,8477,10165,11343,11467,8284,9416,10060,10445,12123,15793,18133,16367,14638,12214,9295,7724,6517,3944,2222,1116,199743
Guyane,30137,30485,29490,26255,18797,19146,19586,19526,17432,16032,13482,11451,8890,6093,4086,2349,1503,825,404,159,276128,15090,15490,14750,13105,8932,8828,8866,9236,8427,7845,6720,5643,4532,3029,2012,1059,659,329,114,49,134715,15047,14995,14740,13150,9865,10318,10720,10290,9005,8187,6762,5808,4358,3064,2074,1290,844,496,290,110,141413
LaRéunion,60324,66585,69543,66678,50630,51026,52171,54470,56904,61922,65323,54612,46527,34656,24265,17928,12254,6282,2918,943,855961,30410,33527,35777,33955,24922,23604,23502,24421,26012,29799,31699,26420,22254,16378,11197,7651,4730,2099,852,163,409372,29914,33058,33766,32723,25708,27422,28669,30049,30892,32123,33624,28192,24273,18278,13068,10277,7524,4183,2066,780,446589
Mayotte,40799,38109,34715,25935,16745,17299,17768,17235,14473,11645,7569,6136,4264,2920,1652,1162,640,326,116,113,259621,20610,18749,17113,12540,7045,6965,7338,7652,6804,6136,3871,3180,2260,1558,799,554,316,142,56,48,123736,20189,19360,17602,13395,9700,10334,10430,9583,7669,5509,3698,2956,2004,1362,853,608,324,184,60,65,135885
DOM,168403,179596,184566,168971,121821,122872,124950,129021,134705,147034,150176,132995,113040,88987,64994,47621,35082,19581,9713,3994,2148122,84841,90122,93322,85313,58952,55687,54489,56737,60467,68724,70584,63687,53625,41787,30125,20672,14080,7153,3012,994,1014373,83562,89474,91244,83658,62869,67185,70461,72284,74238,78310,79592,69308,59415,47200,34869,26949,21002,12428,6701,3000,1133749
FrancemétropolitaineetDOM,3816938,4174671,4180957,4140485,3726809,3883873,4057470,4237285,4211967,4544077,4495592,4290273,4064964,3946197,3036205,2145296,1871322,1335278,638648,193852,66992159,1946526,2133711,2137149,2126910,1883955,1918629,1972561,2073301,2080672,2247477,2206209,2080967,1937515,1864666,1407368,947088,751495,462956,178641,39962,32397758,1870412,2040960,2043808,2013575,1842854,1965244,2084909,2163984,2131295,2296600,2289383,2209306,2127449,2081531,1628837,1198208,1119827,872322,460007,153890,34594401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:Insee-Estimationsdepopulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
