Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,437165,435452,460947,464834,447003,478587,509687,522373,502477,493660,505044,358299,318717,318086,294266,247841,120634,91294,40748,10707,7057821,224787,223003,236434,237152,224562,240671,255430,260351,248996,243516,252415,178778,155199,147056,127329,99523,44118,27206,9231,1809,3437566,212378,212449,224513,227682,222441,237916,254257,262022,253481,250144,252629,179521,163518,171030,166937,148318,76516,64088,31517,8898,3620255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,160555,161618,177409,180232,162295,174956,186503,192913,194957,195954,199636,133663,132745,135233,126790,107745,53994,41137,18888,5123,2742346,82389,82807,90589,92430,83312,88161,94198,96518,96676,98300,100979,66892,64567,62588,55665,43947,20064,12825,4605,957,1338469,78166,78811,86820,87802,78983,86795,92305,96395,98281,97654,98657,66771,68178,72645,71125,63798,33930,28312,14283,4166,1403877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bretagne,177925,174293,189255,194880,185377,190624,198635,208596,211454,204240,206993,131261,146572,151964,140565,120811,58946,42058,16229,3646,2954324,91622,89360,97183,99505,95250,98255,100628,105437,106905,102730,103079,63687,69216,68700,59602,46607,20453,11786,3589,551,1434145,86303,84933,92072,95375,90127,92369,98007,103159,104549,101510,103914,67574,77356,83264,80963,74204,38493,30272,12640,3095,1520179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre-Val-de-Loire,146035,146896,159895,159080,140514,158743,169017,174159,176825,176249,177836,117726,116334,121105,112289,96967,49876,39001,18294,4937,2461778,75039,75169,81369,80799,70870,79724,84726,86491,87798,88094,89285,58924,56365,56740,50327,40785,19159,12715,4891,958,1200228,70996,71727,78526,78281,69644,79019,84291,87668,89027,88155,88551,58802,59969,64365,61962,56182,30717,26286,13403,3979,1261550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corse,13770,14950,16314,16071,13585,16553,18990,20336,19933,19383,18743,15091,14772,14540,13191,10510,6188,4241,1619,493,269273,7115,7654,8525,8295,7079,8183,9235,9649,9816,9863,9571,7593,7440,6878,5995,4170,2253,1362,411,110,131197,6655,7296,7789,7776,6506,8370,9755,10687,10117,9520,9172,7498,7332,7662,7196,6340,3935,2879,1208,383,138076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandEst,330654,334009,365896,368714,349032,375569,394251,409362,402555,395805,378801,244411,246814,245640,222540,177081,82294,60410,26424,6485,5416747,169317,171520,187387,187961,177503,189499,199304,205412,199769,197628,192402,123295,119853,112901,95574,66669,27999,16851,5998,1192,2648034,161337,162489,178509,180753,171529,186070,194947,203950,202786,198177,186399,121116,126961,132739,126966,110412,54295,43559,20426,5293,2768713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauts-de-France,396505,394284,437963,442434,397100,412053,413826,424521,419053,416109,407691,236711,239065,244626,224201,186013,84652,60312,26355,6427,5869901,203575,202203,223781,225120,200695,205678,206758,211424,207505,206738,204604,117496,111861,107587,92738,70786,28579,16530,5941,1177,2850776,192930,192081,214182,217314,196405,206375,207068,213097,211548,209371,203087,119215,127204,137039,131463,115227,56073,43782,20414,5250,3019125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île-de-France,765080,716005,722471,707821,768304,921797,908888,883822,817644,781278,804257,534634,431884,386055,339151,281765,150847,111689,53793,15639,11102824,391787,366181,369006,355472,374626,452954,447985,433259,397990,378045,397093,270907,210532,174825,142655,106977,52439,32610,12438,2926,5370707,373293,349824,353465,352349,393678,468843,460903,450563,419654,403233,407164,263727,221352,211230,196496,174788,98408,79079,41355,12713,5732117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normandie,204072,205079,224363,227209,198323,211780,222376,231402,233418,232393,227060,143561,144261,148664,134954,112900,57513,39966,17817,4695,3221806,104421,104601,114760,115404,100535,105821,111315,114824,115991,115760,114038,71009,68300,67013,58452,45117,20298,11385,4012,791,1563847,99651,100478,109603,111805,97788,105959,111061,116578,117427,116633,113022,72552,75961,81651,76502,67783,37215,28581,13805,3904,1657959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle-Aquitaine,284038,288362,316379,325638,311824,330817,352106,375743,382374,385549,388965,265981,266682,287079,272966,240699,119215,93216,42269,10941,5340843,145696,147667,162416,166565,158007,166356,174780,185833,188636,190487,192874,129443,128039,134663,121372,99957,45482,29122,10482,1937,2579814,138342,140695,153963,159073,153817,164461,177326,189910,193738,195062,196091,136538,138643,152416,151594,140742,73733,64094,31787,9004,2761029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
