Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,454721,449263,452168,478783,468135,437582,510369,526419,524714,500563,494987,472979,334940,310220,302072,256893,197303,64936,46117,12351,7295515,233756,230860,232197,245141,235427,218964,255375,262966,260549,246042,243308,234130,163915,146244,132612,103381,71793,20054,10618,1879,3549211,220965,218403,219971,233642,232708,218618,254994,263453,264165,254521,251679,238849,171025,163976,169460,153512,125510,44882,35499,10472,3746304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,161062,163850,166231,178005,167963,151958,181436,189234,194034,193955,197193,187688,128941,129504,127213,110478,86510,29149,21557,5973,2771934,82394,84341,84848,91323,85874,76770,90968,94740,96273,95886,98491,93676,63471,60654,56205,45168,32288,9523,5551,1081,1349525,78668,79509,81383,86682,82089,75188,90468,94494,97761,98069,98702,94012,65470,68850,71008,65310,54222,19626,16006,4892,1422409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bretagne,186103,186122,183515,198173,189860,173935,203301,208605,215835,212961,207131,197309,133393,148993,145561,124122,96173,31765,19672,4056,3066585,95233,95965,94182,101544,97096,89207,103421,105390,108870,106662,102888,96373,63489,67975,62647,48803,33589,9646,4723,787,1488490,90870,90157,89333,96629,92764,84728,99880,103215,106965,106299,104243,100936,69904,81018,82914,75319,62584,22119,14949,3269,1578095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre-Val-de-Loire,150347,149878,152280,159601,149167,136345,167495,172727,175636,175603,175887,166438,114149,115237,114724,98993,79145,27741,20353,5500,2507246,76806,76900,77662,81095,74895,68470,83575,86450,87065,86991,87010,82619,56198,54389,51382,41763,30357,9151,5669,1082,1219529,73541,72978,74618,78506,74272,67875,83920,86277,88571,88612,88877,83819,57951,60848,63342,57230,48788,18590,14684,4418,1287717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corse,13982,14916,16229,16949,16184,14982,19335,21316,21827,20816,20528,19304,16223,15282,14228,11585,8962,3663,2147,634,289092,7156,7754,8351,8914,8393,7457,9372,10220,10404,10406,10373,9646,7991,7455,6471,4935,3223,1216,585,125,140447,6826,7162,7878,8035,7791,7525,9963,11096,11423,10410,10155,9658,8232,7827,7757,6650,5739,2447,1562,509,148645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandEst,325474,331649,341544,372537,363524,332706,383720,394549,404871,396908,389101,341690,231860,235075,227534,186758,135822,43263,28981,7704,5475270,166250,170051,175201,190274,184183,168169,193184,198524,202089,196319,193878,172392,114179,109477,98709,73257,45742,12524,6674,1547,2672623,159224,161598,166343,182263,179341,164537,190536,196025,202782,200589,195223,169298,117681,125598,128825,113501,90080,30739,22307,6157,2802647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauts-de-France,397896,393662,398372,438414,412771,366812,413913,410797,415977,407794,404104,365489,215462,224684,224253,187602,142165,43267,32121,9086,5904641,204078,202252,204146,223556,206319,182602,206092,204564,206290,200525,199140,180178,103258,99603,92457,71628,48996,12648,8488,2048,2858868,193818,191410,194226,214858,206452,184210,207821,206233,209687,207269,204964,185311,112204,125081,131796,115974,93169,30619,23633,7038,3045773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île-de-France,799098,727184,716260,749572,802800,859995,951627,881025,850293,783187,760285,706955,453429,378563,347202,289081,224385,83207,58862,19133,11442143,407158,372854,366772,377119,389562,417270,473191,434616,415285,376946,366383,349054,223694,175590,148311,113098,77707,24834,14186,3577,5527207,391940,354330,349488,372453,413238,442725,478436,446409,435008,406241,393902,357901,229735,202973,198891,175983,146678,58373,44676,15556,5914936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normandie,203312,206393,208900,224836,207751,183208,217558,223298,230094,230167,228353,210096,137760,141766,139944,117375,90364,31027,21129,5771,3259102,103636,105289,106485,114356,104243,91471,108302,110897,113403,113294,113147,103922,66517,64574,60512,47441,32509,9283,5224,1169,1575674,99676,101104,102415,110480,103508,91737,109256,112401,116691,116873,115206,106174,71243,77192,79432,69934,57855,21744,15905,4602,1683428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle-Aquitaine,295421,302598,309321,333752,322946,298153,355574,374347,390541,390023,395559,374620,267520,272852,277575,243858,196051,66133,47719,12427,5526990,151541,155248,158449,170423,163441,149437,176981,184923,192236,191266,194249,183761,129033,128897,125328,101804,73663,21205,11576,2013,2665474,143880,147350,150872,163329,159505,148716,178593,189424,198305,198757,201310,190859,138487,143955,152247,142054,122388,44928,36143,10414,2861516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occitanie,294139,297220,304740,324952,317185,298690,339825,361459,374678,359110,358958,347179,257235,250850,253844,219857,174301,58307,39063,9199,5240791,150820,152297,155908,165599,158283,148859,167905,178064,184422,175142,175876,168735,124215,118239,115403,92998,66316,19104,10206,1464,2529855,143319,144923,148832,159353,158902,149831,171920,183395,190256,183968,183082,178444,133020,132611,138441,126859,107985,39203,28857,7735,2710936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaysdelaLoire,221826,216488,213689,227186,219012,202340,232031,236149,240794,234604,231979,214709,143790,150017,145919,125495,98039,31974,23496,5854,3415391,113581,110421,109300,115818,111171,102800,116809,118741,119899,116810,115163,105579,68826,69280,64495,51715,36579,10045,5755,903,1663690,108245,106067,104389,111368,107841,99540,115222,117408,120895,117794,116816,109130,74964,80737,81424,73780,61460,21929,17741,4951,1751701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provence-Alpes-Côted'Azur,271000,273571,289382,302423,282900,260365,307443,332442,339142,325083,320938,315360,249281,226948,224263,192795,153447,57175,35915,8691,4768564,138848,140435,149089,154979,141278,128025,149356,160011,162836,156107,155279,150810,119005,105980,99908,79538,56624,18110,8797,1753,2276768,132152,133136,140293,147444,141622,132340,158087,172431,176306,168976,165659,164550,130276,120968,124355,113257,96823,39065,27118,6938,2491796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francemétropolitaine,3774381,3712794,3752631,4005183,3920198,3717071,4283627,4332367,4378436,4230774,4185003,3919816,2683983,2599991,2544332,2164892,1682667,571607,397132,106379,60963264,1931257,1904667,1922590,2040141,1960165,1849501,2134531,2150106,2159621,2072396,2055185,1930875,1303791,1208357,1114440,875529,609386,177343,98052,19428,29517361,1843124,1808127,1830041,1965042,1960033,1867570,2149096,2182261,2218815,2158378,2129818,1988941,1380192,1391634,1429892,1289363,1073281,394264,299080,86951,31445903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,29976,31053,32911,30215,23099,20776,28852,31835,33144,27804,23977,21684,16158,14028,11554,8809,6445,3599,2334,925,399178,15381,15850,16733,15524,11285,9433,12760,14121,15314,12877,10970,10109,7465,6412,5117,3612,2569,1349,966,311,188158,14595,15203,16178,14691,11814,11343,16092,17714,17830,14927,13007,11575,8693,7616,6437,5197,3876,2250,1368,614,211020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
