Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total
Auvergne-Rhône-Alpes,480155,486458,481767,464303,472631,461670,488702,494579,546902,541049,507400,482512,477325,389601,284350,262515,219901,142216,59972,13587,7757595,245259,249482,246873,238045,239119,229468,241855,247937,273633,269259,250262,234132,230654,186302,131953,112569,84777,46866,16415,2473,3777333,234896,236976,234894,226258,233512,232202,246847,246642,273269,271790,257138,248380,246671,203299,152397,149946,135124,95350,43557,11114,3980262
Bourgogne-Franche-Comté,159404,167839,170736,160616,153796,154621,162754,166752,190852,192370,190592,190611,196523,154349,114437,108896,92417,60401,26114,5703,2819783,81677,86322,87742,82992,79409,77766,81371,83344,95567,96568,94074,92985,96381,74528,53220,46700,35636,20058,7212,1065,1374617,77727,81517,82994,77624,74387,76855,81383,83408,95285,95802,96518,97626,100142,79821,61217,62196,56781,40343,18902,4638,1445166
Bretagne,188356,201176,204653,190705,181285,174000,190779,199676,223446,219842,218396,212657,219399,171922,127613,127757,106233,67828,27448,5536,3258707,96026,102801,104811,98117,93932,88557,95839,100888,112812,110097,108671,104702,105850,81020,57668,53452,39605,21263,7008,953,1584072,92330,98375,99842,92588,87353,85443,94940,98788,110634,109745,109725,107955,113549,90902,69945,74305,66628,46565,20440,4583,1674635
Centre-Val-de-Loire,151740,157729,159329,146012,137163,137941,147563,155003,176066,176055,172021,171775,175390,137763,101349,99143,83568,54967,24185,5786,2570548,77382,80581,81382,75586,69636,68220,72826,76984,87682,87103,84877,84195,85127,66088,46868,43170,33164,19077,7099,1129,1248176,74358,77148,77947,70426,67527,69721,74737,78019,88384,88952,87144,87580,90263,71675,54481,55973,50404,35890,17086,4657,1322372
Corse,16173,16226,17163,16025,17689,18491,19683,20208,23586,23453,22122,21202,21543,18154,15465,12974,10544,6093,2779,635,320208,8425,8447,8868,8264,9126,9138,9581,9905,11541,11641,10808,10572,10627,8652,7455,5773,4391,2127,776,148,156265,7748,7779,8295,7761,8563,9353,10102,10303,12045,11812,11314,10630,10916,9502,8010,7201,6153,3966,2003,487,163943
GrandEst,321262,330507,336184,329823,343915,335153,345605,341924,385978,395040,388386,378285,358998,260439,208113,193441,158988,95138,37744,7465,5552388,164542,168882,172620,169851,176374,168265,171539,171579,193043,196802,191540,184752,176107,125670,95598,81524,59881,29258,9619,1298,2708744,156720,161625,163564,159972,167541,166888,174066,170345,192935,198238,196846,193533,182891,134769,112515,111917,99107,65880,28125,6167,2843644
Hauts-de-France,395213,399979,403709,382573,382405,375008,383432,381902,409851,403261,395087,382613,369944,267869,183453,182110,153011,93866,36075,6522,5987883,201817,204644,206824,196152,193552,185842,189755,189951,204513,200198,194858,184790,177668,126239,80911,72146,54674,28369,8942,1046,2902891,193396,195335,196885,186421,188853,189166,193677,191951,205338,203063,200229,197823,192276,141630,102542,109964,98337,65497,27133,5476,3084992
Île-de-France,834656,786985,750441,721270,824570,880434,891122,867111,864448,832914,772410,694939,636426,477438,336325,299003,246370,156779,68929,17237,11959807,426558,401661,383686,364060,402925,422533,431868,431101,428177,407070,373554,332685,302643,226789,153394,124958,93550,50584,18392,3149,5779337,408098,385324,366755,357210,421645,457901,459254,436010,436271,425844,398856,362254,333783,250649,182931,174045,152820,106195,50537,14088,6180470
Normandie,199320,206933,212903,202117,190455,188880,195728,198890,223984,226044,226043,224851,223844,169268,121971,120433,100518,63815,26622,5745,3328364,102084,106254,108607,103716,96591,93751,96899,98714,111534,111740,110786,110006,108285,80820,54525,50476,37648,20769,6881,951,1611037,97236,100679,104296,98401,93864,95129,98829,100176,112450,114304,115257,114845,115559,88448,67446,69957,62870,43046,19741,4794,1717327
Nouvelle-Aquitaine,306900,325918,338893,321670,316111,304936,330857,348792,400813,403697,397487,398422,414253,333746,244067,238613,206536,138302,60457,13707,5844177,157292,167163,173960,164659,160108,152095,163876,172520,198592,198643,194696,192250,199224,158287,113301,104602,81605,47237,17002,2417,2819529,149608,158755,164933,157011,156003,152841,166981,176272,202221,205054,202791,206172,215029,175459,130766,134011,124931,91065,43455,11290,3024648
