Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total
Auvergne-Rhône-Alpes,432159,489098,518413,510600,477748,443797,486952,513801,517525,522897,540169,526275,484520,451033,434267,309330,219101,163057,84216,28275,8153233,221690,250722,265670,262308,244635,222290,239412,251419,254082,261381,268896,258895,233183,211506,201324,138781,91903,58619,23717,5463,3965896,210469,238376,252743,248292,233113,221507,247540,262382,263443,261516,271273,267380,251337,239527,232943,170549,127198,104438,60499,22812,4187337
Bourgogne-Franche-Comté,129644,151720,167895,169079,151137,136184,147961,159260,163769,172151,186097,187667,185800,180153,177458,119931,86852,66381,34741,11513,2785393,65952,77390,86495,88012,79241,69823,73679,78623,80838,85077,92236,92341,89553,85356,83502,54469,36472,24012,10008,2383,1355462,63692,74330,81400,81067,71896,66361,74282,80637,82931,87074,93861,95326,96247,94797,93956,65462,50380,42369,24733,9130,1429931
Bretagne,159670,186809,210731,213684,191068,164461,178038,194337,205347,217887,227592,224566,224018,216014,212523,136873,103114,81532,41130,13538,3402932,81896,95975,108071,110092,99262,84253,88993,96156,101865,108996,113762,111038,108834,101913,98153,60351,42083,28394,11202,2482,1653771,77774,90834,102660,103592,91806,80208,89045,98181,103482,108891,113830,113528,115184,114101,114370,76522,61031,53138,29928,11056,1749161
Centre-Val-de-Loire,127968,147306,160833,157370,135347,122400,139125,148524,150434,161566,172632,170453,165614,160861,158093,105561,76943,61170,31732,10983,2564915,64751,75007,82413,81438,70000,61923,68350,72456,73940,79999,85691,83624,79968,76054,73889,47613,32120,22778,9647,2196,1243857,63217,72299,78420,75932,65347,60477,70775,76068,76494,81567,86941,86829,85646,84807,84204,57948,44823,38392,22085,8787,1321058
Corse,15647,18271,19234,17961,16034,16567,20317,22418,22808,23241,24648,23505,22561,22242,21872,16463,12488,7982,3963,1243,349465,8039,9362,10086,9510,8494,8061,9735,10470,11109,11344,12233,11469,10940,10799,10521,7447,5575,3082,1274,244,169794,7608,8909,9148,8451,7540,8506,10582,11948,11699,11897,12415,12036,11621,11443,11351,9016,6913,4900,2689,999,179671
GrandEst,268780,309812,332583,335001,325614,301941,328510,341042,339308,348009,372500,381371,365541,342639,312292,196661,154756,113002,55320,17412,5542094,137718,158932,170845,172385,168798,153107,163479,167923,167482,172787,185766,187459,175542,161874,146681,89008,63881,39484,15380,3330,2701861,131062,150880,161738,162616,156816,148834,165031,173119,171826,175222,186734,193912,189999,180765,165611,107653,90875,73518,39940,14082,2840233
Hauts-de-France,321488,377495,403702,398945,372518,334740,357524,377657,374546,380927,383861,380430,362487,339929,316212,194721,135809,104163,53345,16673,5987172,164144,193361,206186,204264,190420,167960,176338,185105,184535,189242,190823,186220,173367,157135,143333,84689,52936,33687,14115,3137,2900997,157344,184134,197516,194681,182098,166780,181186,192552,190011,191685,193038,194210,189120,182794,172879,110032,82873,70476,39230,13536,3086175
Île-de-France,771274,804933,806539,784533,794294,827647,901424,875814,849017,831077,793445,761003,656260,553747,500219,346360,242223,173757,89575,32007,12395148,392697,410828,411131,399904,395753,399313,432381,418607,413195,412757,388869,368074,310418,253439,227030,153231,99495,61799,25742,7023,5981686,378577,394105,395408,384629,398541,428334,469043,457207,435822,418320,404576,392929,345842,300308,273189,193129,142728,111958,63833,24984,6413462
Normandie,163371,188956,207850,206018,186684,169629,182675,195153,195606,203836,215299,217862,216337,210777,199748,129182,94262,74207,37698,12136,3307286,83033,96407,107114,107015,95542,84992,90369,95688,96658,100733,106572,106529,103753,98862,92045,57223,37960,25914,10711,2370,1599490,80338,92549,100736,99003,91142,84637,92306,99465,98948,103103,108727,111333,112584,111915,107703,71959,56302,48293,26987,9766,1707796
Nouvelle-Aquitaine,269852,314105,349762,351845,328883,294881,322567,347452,366919,386775,407630,410410,405402,401341,396698,269438,192589,154531,82438,28467,6081985,137449,160213,178991,180577,169637,147261,158063,168835,180076,189714,200145,198526,192662,187906,184869,120572,80855,57207,24515,5700,2923773,132403,153892,170771,171268,159246,147620,164504,178617,186843,197061,207485,211884,212740,213435,211829,148866,111734,97324,57923,22767,3158212
Occitanie,286929,329566,357409,358526,345388,317282,336967,355434,369202,375605,400145,404029,387679,374166,369109,262205,181331,140835,75555,26186,6053548,147287,168317,182983,184737,176985,160008,165314,173020,181275,183892,196291,195851,184582,176557,171977,118107,76902,53197,23306,5693,2926281,139642,161249,174426,173789,168403,157274,171653,182414,187927,191713,203854,208178,203097,197609,197132,144098,104429,87638,52249,20493,3127267
