Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,474446,475310,470310,468132,473124,463416,469603,520627,535073,532640,498764,479901,479390,330343,284599,266897,215068,138313,43166,15101,7634223,242464,243239,241280,239497,239005,230232,233834,261024,267467,264004,245559,233178,233120,158549,130821,112609,80910,44892,11653,2795,3716132,231982,232071,229030,228635,234119,233184,235769,259603,267606,268636,253205,246723,246270,171794,153778,154288,134158,93421,31513,12306,3918091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,162192,166735,168164,164932,159624,157823,158141,180467,190065,192819,192126,192472,196700,127121,118767,111328,91437,58998,19157,7106,2816174,83159,85636,86603,85301,82035,79301,79316,90215,95539,96187,94759,94470,96992,61380,54562,47084,34666,19261,5121,1249,1372836,79033,81099,81561,79631,77589,78522,78825,90252,94526,96632,97367,98002,99708,65741,64205,64244,56771,39737,14036,5857,1443338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bretagne,190284,199031,199274,191819,183369,177219,183444,213072,218499,219920,217582,210180,219248,136010,137636,128570,102059,64816,19686,6049,3217767,97370,101719,102665,98225,95471,89719,92533,107898,110192,110073,108375,103312,105643,63667,61178,52806,37083,19586,4800,1026,1563341,92914,97312,96609,93594,87898,87500,90911,105174,108307,109847,109207,106868,113605,72343,76458,75764,64976,45230,14886,5023,1654426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre-Val-de-Loire,152720,156733,155156,150020,140469,141203,143242,167535,174391,174532,173679,172877,174615,112805,105442,100955,81665,54502,17614,6680,2556835,78047,79819,79551,77290,70733,70207,70929,83591,87096,86280,85265,84512,85546,54108,48360,43504,31935,18861,5075,1349,1242058,74673,76914,75605,72730,69736,70996,72313,83944,87295,88252,88414,88365,89069,58697,57082,57451,49730,35641,12539,5331,1314777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corse,15703,15799,16766,17131,17113,18036,18682,21351,23033,22791,21851,21268,21229,16909,15174,12763,9971,5932,2238,746,314486,8294,8059,8783,8830,8860,9104,9191,10445,11277,11189,10918,10671,10450,8200,7274,5596,4115,2007,636,176,154075,7409,7740,7983,8301,8253,8932,9491,10906,11756,11602,10933,10597,10779,8709,7900,7167,5856,3925,1602,570,160411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandEst,326058,328906,333860,339747,354879,345178,332844,369101,385776,399599,388046,376325,351299,218117,214317,195740,152284,91901,26465,8593,5539035,166926,168383,171263,174895,181506,172663,166863,184871,192995,198896,191041,184814,173735,104899,96909,80905,55724,27712,6581,1454,2703035,159132,160523,162597,164852,173373,172515,165981,184230,192781,200703,197005,191511,177564,113218,117408,114835,96560,64189,19884,7139,2836000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauts-de-France,399038,400654,395673,389678,398158,382142,368135,407362,402968,406114,395572,383826,367146,204068,201534,188231,147540,89819,24628,7884,5960170,204383,205387,202637,200200,200347,189754,182131,203312,200817,201368,193727,185943,177064,95446,87056,73398,51348,26657,5955,1305,2888235,194655,195267,193036,189478,197811,192388,186004,204050,202151,204746,201845,197883,190082,108622,114478,114833,96192,63162,18673,6579,3071935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île-de-France,834373,770239,731567,734838,827374,888657,881494,895514,847519,829582,758135,695987,642854,401746,339099,303486,238570,156079,55085,20653,11852851,426057,393012,373459,371193,401926,427048,431923,446654,417144,404335,365597,332717,310412,191186,152576,124616,88740,48381,14676,3839,5725491,408316,377227,358108,363645,425448,461609,449571,448860,430375,425247,392538,363270,332442,210560,186523,178870,149830,107698,40409,16814,6127360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normandie,201575,207489,209204,206025,198249,193432,188891,214706,222382,227342,226976,224954,219846,135863,129034,123398,97282,61949,19806,6674,3315077,103318,106289,106817,105593,100595,95771,93746,106656,110556,112296,111636,110163,106667,64249,57208,50398,36221,19635,4999,1107,1603920,98257,101200,102387,100432,97654,97661,95145,108050,111826,115046,115340,114791,113179,71614,71826,73000,61061,42314,14807,5567,1711157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle-Aquitaine,305685,321383,329844,326094,320607,308236,317788,373661,392025,400353,395944,398672,412340,275004,251213,245837,201967,136478,43618,16329,5773078,156568,164708,168999,166936,162925,153336,157551,185380,193566,196376,193437,193049,199088,130777,115791,106077,78420,45846,12074,2966,2783870,149117,156675,160845,159158,157682,154900,160237,188281,198459,203977,202507,205623,213252,144227,135422,139760,123547,90632,31544,13363,2989208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
