Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,450520,443701,456106,472768,466492,439146,515639,529024,517978,496655,497578,449188,326725,310631,300914,253112,182470,67533,43976,11677,7231833,231474,227973,234286,241914,233966,220397,258235,264316,257148,243784,245728,222778,160167,145393,131832,101320,66954,20292,10129,1797,3519883,219046,215728,221820,230854,232526,218749,257404,264708,260830,252871,251850,226410,166558,165238,169082,151792,115516,47241,33847,9880,3711950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,161197,161901,169927,177522,167687,154687,185065,190743,193808,194304,198881,175501,127754,130241,127545,109160,80173,30610,20580,5648,2762934,82720,82951,86973,91093,85791,78029,93021,95522,95977,96307,99664,87849,62559,60955,56159,44568,30142,9761,5318,1032,1346391,78477,78950,82954,86429,81896,76658,92044,95221,97831,97997,99217,87652,65195,69286,71386,64592,50031,20849,15262,4616,1416543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bretagne,184850,181747,185368,196062,190718,175298,204177,209045,214317,210782,207799,181725,134388,149708,144272,123286,88616,32502,18419,3998,3037077,94573,93568,95191,100541,97387,90148,103704,105784,107985,105887,103327,88492,63825,68188,61745,48248,31035,9519,4352,726,1474225,90277,88179,90177,95521,93331,85150,100473,103261,106332,104895,104472,93233,70563,81520,82527,75038,57581,22983,14067,3272,1562852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre-Val-de-Loire,149842,147918,154570,158769,148040,138833,170294,173696,175744,175500,177121,155376,112647,116978,113881,98150,73310,28793,19587,5230,2494279,76686,75844,78813,80657,74181,69780,85086,86781,87199,87093,87990,77272,55311,54939,51079,41275,28318,9318,5467,1078,1214167,73156,72074,75757,78112,73859,69053,85208,86915,88545,88407,89131,78104,57336,62039,62802,56875,44992,19475,14120,4152,1280112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corse,14041,14859,16389,16448,15757,15000,19446,21408,21155,20531,20077,18231,15744,15076,14007,11210,8378,3652,1979,584,283972,7189,7683,8492,8598,8173,7444,9459,10232,10147,10318,10164,9095,7842,7277,6406,4708,3003,1195,507,122,138054,6852,7176,7897,7850,7584,7556,9987,11176,11008,10213,9913,9136,7902,7799,7601,6502,5375,2457,1472,462,145918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandEst,327473,329383,349750,370428,361759,336812,391013,399827,403570,397546,388976,314945,234654,237060,226923,183962,125838,43635,28111,7213,5458878,167528,168881,179654,189017,183076,170511,197066,201125,200761,197110,194661,159100,115256,109944,98343,71212,42511,12444,6434,1436,2666070,159945,160502,170096,181411,178683,166301,193947,198702,202809,200436,194315,155845,119398,127116,128580,112750,83327,31191,21677,5777,2792808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauts-de-France,399687,390062,408649,439182,410784,373594,417719,414126,417110,409635,406452,337916,215043,228339,224995,186893,131892,43317,30215,8347,5893957,205113,200273,209336,223669,205562,186361,208046,206369,207024,201549,201195,166927,102421,100858,92963,71146,45357,12240,7737,1784,2855930,194574,189789,199313,215513,205222,187233,209673,207757,210086,208086,205257,170989,112622,127481,132032,115747,86535,31077,22478,6563,3038027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île-de-France,793138,719159,721613,737059,794311,863387,950390,885760,840913,777788,771763,673378,441973,378290,346111,285455,210970,84677,56475,17680,11350290,404608,368695,369336,370182,385339,419700,473165,436198,410233,374828,373192,335106,217876,174146,147524,110711,73368,24835,13477,3299,5485818,388530,350464,352277,366877,408972,443687,477225,449562,430680,402960,398571,338272,224097,204144,198587,174744,137602,59842,42998,14381,5864472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normandie,204659,204580,213212,224585,206955,186565,221409,225607,231146,230855,229102,194530,136488,144050,138591,116078,83801,31489,20206,5312,3249220,104284,104483,108738,114087,104085,93091,110492,111877,114244,114048,113719,96302,65487,65702,59859,46689,30171,9189,4930,1014,1572491,100375,100097,104474,110498,102870,93474,110917,113730,116902,116807,115383,98228,71001,78348,78732,69389,53630,22300,15276,4298,1676729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle-Aquitaine,294143,296445,312357,329181,322356,301668,358036,376836,387011,389109,394822,349110,263235,276027,276780,241448,181316,69011,45754,11868,5476513,150840,152126,160076,168039,162937,151508,178197,186227,190634,190856,194671,170752,126876,130208,124390,100454,68666,21509,11216,2055,2642237,143303,144319,152281,161142,159419,150160,179839,190609,196377,198253,200151,178358,136359,145819,152390,140994,112650,47502,34538,9813,2834276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
