Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total
Auvergne-Rhône-Alpes,478948,491356,487269,471362,466042,465899,493126,482794,549300,540840,517221,484555,473453,416886,291846,262025,222868,145831,66199,13146,7820966,244680,251777,249495,241568,236163,231986,243456,241237,275038,269533,254660,235819,227831,198963,136289,113660,85964,48462,18303,2461,3807345,234268,239579,237774,229794,229879,233913,249670,241557,274262,271307,262561,248736,245622,217923,155557,148365,136904,97369,47896,10685,4013621
Bourgogne-Franche-Comté,156693,167876,171248,161826,150211,153807,162623,160721,189638,191340,190960,190770,193506,167283,114770,108709,92510,61558,28739,5835,2820623,80374,86194,88163,83688,78044,76949,81274,80147,95099,95997,94387,92983,94350,81217,53481,47365,35776,20756,7792,1211,1375247,76319,81682,83085,78138,72167,76858,81349,80574,94539,95343,96573,97787,99156,86066,61289,61344,56734,40802,20947,4624,1445376
Bretagne,185614,201817,207223,194322,178091,173848,189579,193090,226178,219373,219435,214722,217529,188502,127313,128326,106474,69049,30387,5671,3276543,94860,102974,106130,100529,92494,87996,94934,97534,114262,109946,109066,105525,104861,89152,57930,53861,39966,22076,7712,1002,1592810,90754,98843,101093,93793,85597,85852,94645,95556,111916,109427,110369,109197,112668,99350,69383,74465,66508,46973,22675,4669,1683733
Centre-Val-de-Loire,150042,159207,160756,147289,133886,138772,147469,150363,176564,175418,172419,171325,173834,147869,101632,98975,83852,56234,26032,5497,2577435,76678,81375,82118,75873,68260,68431,72179,74591,88030,86828,85075,83931,84258,70953,47331,43344,33581,19625,7685,1102,1251248,73364,77832,78638,71416,65626,70341,75290,75772,88534,88590,87344,87394,89576,76916,54301,55631,50271,36609,18347,4395,1326187
Corse,16427,16704,17137,15648,17583,18963,19962,20166,23526,23566,22733,21171,21566,19340,15961,13011,10712,6381,2985,670,324212,8502,8708,8761,8076,8972,9291,9709,9749,11713,11639,11096,10546,10576,9312,7640,5928,4454,2272,819,199,157962,7925,7996,8376,7572,8611,9672,10253,10417,11813,11927,11637,10625,10990,10028,8321,7083,6258,4109,2166,471,166250
GrandEst,317480,332081,334766,330160,336276,336125,345123,332451,383696,389499,390038,378901,359637,282813,204726,194644,159149,98430,41443,7207,5554645,162344,169643,171665,169973,172673,168934,171583,166647,191528,194187,192577,184926,175387,137208,94613,82687,60515,30877,10457,1234,2709658,155136,162438,163101,160187,163603,167191,173540,165804,192168,195312,197461,193975,184250,145605,110113,111957,98634,67553,30986,5973,2844987
Hauts-de-France,392372,402547,404583,388968,374973,377111,383902,372063,411637,399682,397510,383535,367132,294565,181153,181066,152655,94697,39771,6234,6006156,200462,205635,207419,200554,190233,186965,189970,185044,205326,198330,196437,185638,175637,138898,80568,72480,54660,28851,9958,1039,2914104,191910,196912,197164,188414,184740,190146,193932,187019,206311,201352,201073,197897,191495,155667,100585,108586,97995,65846,29813,5195,3092052
Île-de-France,831281,795797,755229,725076,813552,887970,888165,856886,874132,829214,785328,702750,630431,511247,342895,298939,248564,158947,74417,16745,12027565,424735,405687,385788,365505,398123,425649,429444,424658,434352,404796,380493,335615,299049,241692,157542,126773,94823,52609,19694,3161,5810188,406546,390110,369441,359571,415429,462321,458721,432228,439780,424418,404835,367135,331382,269555,185353,172166,153741,106338,54723,13584,6217377
Normandie,197446,208154,213526,204210,185621,187976,197230,192253,224583,223808,226800,224457,222634,184639,121782,120546,100501,64540,29168,5771,3335645,100785,106864,109466,104432,94750,93291,97441,95391,111772,110296,111455,109582,107597,88207,55055,50727,37928,21068,7623,993,1614723,96661,101290,104060,99778,90871,94685,99789,96862,112811,113512,115345,114875,115037,96432,66727,69819,62573,43472,21545,4778,1720922
Nouvelle-Aquitaine,304735,329084,342121,329041,309892,306640,331913,338474,403354,403349,400411,398428,410766,359235,248609,237110,206592,139486,66252,13652,5879144,156014,168477,175884,169192,157051,152976,164000,167421,199894,198277,195964,192444,197186,170485,115489,104372,82506,47551,18665,2482,2836330,148721,160607,166237,159849,152841,153664,167913,171053,203460,205072,204447,205984,213580,188750,133120,132738,124086,91935,47587,11170,3042814
Occitanie,314277,329516,336832,332493,327277,318421,337673,335489,389513,393412,386740,369496,376722,338804,239291,217670,190557,125639,59094,11837,5730753,160775,168770,172659,170343,165184,157970,166546,165122,192217,192974,188381,178539,181463,160645,111701,96280,77545,43820,17129,2402,2770465,153502,160746,164173,162150,162093,160451,171127,170367,197296,200438,198359,190957,195259,178159,127590,121390,113012,81819,41965,9435,2960288
