Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,441867,436078,461596,464781,456689,462684,511710,526168,506946,494772,505704,389719,316601,315700,297082,248423,144620,82138,41494,11172,7115944,227121,223554,237054,236977,229330,232517,256456,262625,251193,243441,251921,194093,154678,146455,129007,99565,53120,24398,9409,1885,3464799,214746,212524,224542,227804,227359,230167,255254,263543,255753,251331,253783,195626,161923,169245,168075,148858,91500,57740,32085,9287,3651145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,161190,160596,175668,178234,165546,167128,185935,192711,194759,195426,201299,148168,128619,133581,127197,108009,64202,36938,19365,5321,2749892,82681,82325,89802,91484,84993,84098,93779,96495,96410,97564,101593,74220,62698,62082,55857,44046,23916,11538,4806,982,1341369,78509,78271,85866,86750,80553,83030,92156,96216,98349,97862,99706,73948,65921,71499,71340,63963,40286,25400,14559,4339,1408523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bretagne,180748,176025,188243,193656,189387,184745,200218,209018,212713,206351,209367,148599,139276,151497,141953,121161,70212,37993,16824,3779,2981765,92940,90226,96737,98998,97140,95247,101438,105623,107425,103735,104301,72125,65826,68768,60323,46981,24339,10742,3735,575,1447224,87808,85799,91506,94658,92247,89498,98780,103395,105288,102616,105066,76474,73450,82729,81630,74180,45873,27251,13089,3204,1534541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre-Val-de-Loire,147892,145622,159253,158059,144145,151317,169222,174529,176337,176219,179066,130711,112811,120073,112823,96844,59312,35002,18737,5004,2472978,75833,74694,81091,80262,72356,76068,84714,86858,87482,87802,89683,65335,54828,56299,50489,40812,22896,11336,5023,1017,1204878,72059,70928,78162,77797,71789,75249,84508,87671,88855,88417,89383,65376,57983,63774,62334,56032,36416,23666,13714,3987,1268100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corse,13845,14850,16522,16027,14380,16094,19025,20735,20318,19814,19228,16171,14906,14746,13404,10817,6930,4032,1735,514,274093,7133,7604,8597,8333,7490,7910,9240,9876,9915,9990,9868,8133,7453,7025,6138,4362,2526,1317,429,109,133448,6712,7246,7925,7694,6890,8184,9785,10859,10403,9824,9360,8038,7453,7721,7266,6455,4404,2715,1306,405,140645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandEst,331403,329971,362353,366962,356689,359904,392302,407523,403102,397571,384880,267736,239823,241692,225451,178790,98297,54614,26801,6851,5432715,169634,169550,185609,186967,181089,181783,198404,204258,200333,197986,194657,135252,116842,111272,97295,67706,33661,15244,6099,1287,2654928,161769,160421,176744,179995,175600,178121,193898,203265,202769,199585,190223,132484,122981,130420,128156,111084,64636,39370,20702,5564,2777787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauts-de-France,399455,389960,429145,439307,405887,396708,414620,421756,418507,414144,409186,276139,223865,237685,226311,185739,103261,53661,27496,7061,5879893,205202,200121,219529,223349,204278,198082,206986,209992,207488,204791,204731,136843,105280,104531,93520,70891,35196,14750,6520,1337,2853417,194253,189839,209616,215958,201609,198626,207634,211764,211019,209353,204455,139296,118585,133154,132791,114848,68065,38911,20976,5724,3026476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île-de-France,774413,714754,726490,714121,780243,899803,918436,890960,821955,779655,798461,584806,426740,384065,342047,281602,175212,100814,54521,16465,11185563,395851,365854,371361,358310,379937,440710,454426,437641,400480,376105,391499,294555,209057,174897,144529,107712,61031,29395,12665,3101,5409116,378562,348900,355129,355811,400306,459093,464010,453319,421475,403550,406962,290251,217683,209168,197518,173890,114181,71419,41856,13364,5776447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normandie,205246,203437,221564,225252,202888,202196,221691,229999,233055,232277,228939,161580,138905,146886,136766,113525,67937,36439,18433,4885,3231900,104571,103935,113262,114114,102830,100788,110931,114154,115611,115299,114698,79940,65998,66571,59063,45510,24245,10359,4349,829,1567057,100675,99502,108302,111138,100058,101408,110760,115845,117444,116978,114241,81640,72907,80315,77703,68015,43692,26080,14084,4056,1664843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle-Aquitaine,288447,289791,316370,323917,318046,320102,352949,377512,383650,387269,394006,294593,259421,284376,274824,239572,143725,83279,43028,11431,5386308,148103,148181,162656,165217,161211,160945,175129,186663,189080,190809,195264,143765,124472,133622,122771,99360,54925,25825,10620,2004,2600622,140344,141610,153714,158700,156835,159157,177820,190849,194570,196460,198742,150828,134949,150754,152053,140212,88800,57454,32408,9427,2785686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
