Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total
Auvergne-Rhône-Alpes,477031,496974,493306,477878,458881,467401,494951,482428,544818,539815,524054,488864,472206,438785,300008,261875,224578,149550,71019,13276,7877698,243415,254493,252676,244397,233301,232121,244167,239900,272899,268742,258189,237875,226447,209300,140161,114975,87788,50147,19470,2518,3832981,233616,242481,240630,233481,225580,235280,250784,242528,271919,271073,265865,250989,245759,229485,159847,146900,136790,99403,51549,10758,4044717
Bourgogne-Franche-Comté,154168,167413,171478,164860,145393,152430,161871,158458,186354,189699,190953,190135,191582,178824,116364,108219,93177,62814,30769,5979,2820940,79012,86088,88012,85566,75593,76033,80791,78841,93004,95084,94664,92525,93332,86544,54492,47394,36418,21464,8417,1172,1374446,75156,81325,83466,79294,69800,76397,81080,79617,93350,94615,96289,97610,98250,92280,61872,60825,56759,41350,22352,4807,1446494
Bretagne,183029,202338,208863,198500,175045,172623,188882,190692,224578,219110,221090,216532,215850,204007,127357,127801,108363,70330,32766,6094,3293850,93711,103245,106980,102790,90791,87570,94415,95850,113459,109487,110297,106395,103863,96709,58129,54194,41154,22747,8296,1125,1601207,89318,99093,101883,95710,84254,85053,94467,94842,111119,109623,110793,110137,111987,107298,69228,73607,67209,47583,24470,4969,1692643
Centre-Val-de-Loire,147407,158992,161257,150239,130771,137376,147209,146320,174287,174883,172684,171176,171461,158548,102281,97341,85279,57105,28332,5644,2578592,74861,81361,81960,77428,66984,67760,71986,72495,86973,86656,85266,83547,82952,76282,47681,43183,34123,20198,8230,1161,1251087,72546,77631,79297,72811,63787,69616,75223,73825,87314,88227,87418,87629,88509,82266,54600,54158,51156,36907,20102,4483,1327505
Corse,16278,17231,17120,17094,15834,18917,20270,20003,23111,23477,23244,21296,21624,20423,16567,13261,11030,6695,3051,757,327283,8375,9074,8747,8749,8177,9199,9903,9650,11450,11600,11429,10515,10686,9844,7796,6172,4634,2407,849,170,159426,7903,8157,8373,8345,7657,9718,10367,10353,11661,11877,11815,10781,10938,10579,8771,7089,6396,4288,2202,587,167857
GrandEst,313382,332106,334087,331720,329367,336000,344276,328032,376782,384572,391892,377766,360618,307340,202164,194622,161529,100592,44546,7658,5559051,160150,169901,170944,170955,168807,168819,171139,163793,188058,191827,194255,183321,175469,148951,93945,83810,61926,32277,11148,1381,2710876,153232,162205,163143,160765,160560,167181,173137,164239,188724,192745,197637,194445,185149,158389,108219,110812,99603,68315,33398,6277,2848175
Hauts-de-France,389546,402132,404079,394219,364649,373600,383765,365565,409242,395721,397577,383076,366424,319623,181623,179439,154057,96011,42861,6767,6009976,198596,205759,206332,202982,185169,185446,189456,181103,204321,196660,196478,185265,175151,150247,81437,72853,55303,29757,10647,1244,2914206,190950,196373,197747,191237,179480,188154,194309,184462,204921,199061,201099,197811,191273,169376,100186,106586,98754,66254,32214,5523,3095770
Île-de-France,828728,804510,764320,729934,801071,889365,889335,853787,873924,823259,793322,709319,624646,537948,352207,298402,249034,161533,79645,17855,12082144,422481,410602,389680,369462,391708,426124,428659,420825,434572,402575,384592,338629,295531,253366,162597,128173,95599,54525,21531,3732,5834963,406247,393908,374640,360472,409363,463241,460676,432962,439352,420684,408730,370690,329115,284582,189610,170229,153435,107008,58114,14123,6247181
Normandie,193448,208708,213562,204936,181981,186631,196809,189873,221539,222112,226059,223819,221285,199455,123298,119400,102179,65990,31653,6394,3339131,98689,107154,109689,104695,93151,92739,96638,94282,110142,109672,111146,108978,106720,95347,56245,50427,38845,21778,8372,1249,1615958,94759,101554,103873,100241,88830,93892,100171,95591,111397,112440,114913,114841,114565,104108,67053,68973,63334,44212,23281,5145,1723173
Nouvelle-Aquitaine,301263,332438,343635,334713,305563,307313,332469,335552,400529,401120,402883,399261,408481,383787,253875,234535,207556,141169,71213,14127,5911482,153636,170119,176604,171523,155050,153335,163453,165660,198323,197965,196675,193124,195636,182667,117888,103647,83912,48338,20153,2779,2850487,147627,162319,167031,163190,150513,153978,169016,169892,202206,203155,206208,206137,212845,201120,135987,130888,123644,92831,51060,11348,3060995
