Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,459815,464419,451681,479841,465439,461353,471284,531534,538419,510239,490163,491866,408974,304600,290987,267412,204552,114861,36078,15575,7459092,235117,237910,231818,245328,235225,229679,235923,265693,268430,252237,239438,241327,200250,145381,130848,110293,75033,37076,8723,2644,3628373,224698,226509,219863,234513,230214,231674,235361,265841,269989,258002,250725,250539,208724,159219,160139,157119,129519,77785,27355,12931,3830719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,161776,167100,162909,175076,161218,159865,163913,189819,194123,193009,193123,199780,160983,123211,122098,113513,88668,50257,15684,6394,2802519,82890,86145,83610,90612,82885,80282,81942,95388,97202,95367,95359,98975,79501,58756,54874,46858,33112,16650,3933,1172,1365513,78886,80955,79299,84464,78333,79583,81971,94431,96921,97642,97764,100805,81482,64455,67224,66655,55556,33607,11751,5222,1437006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bretagne,188992,196622,187149,194909,183271,180660,189759,216816,217625,217693,210895,215309,173315,134467,141749,127698,98075,53693,15586,5418,3149701,96875,100984,95961,100163,94712,92180,96251,109685,109425,109154,104944,105378,83007,62268,62133,51164,34306,16345,3614,919,1529468,92117,95638,91188,94746,88559,88480,93508,107131,108200,108539,105951,109931,90308,72199,79616,76534,63769,37348,11972,4499,1620233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre-Val-de-Loire,150628,154784,148122,155274,144372,143437,150436,174496,176153,173857,173298,178242,142126,107837,110143,101367,79247,46074,15197,6498,2531588,77039,78887,76065,79143,72878,71730,75064,87050,87680,86115,85554,87745,69679,51439,49930,42707,30771,15912,4009,1243,1230640,73589,75897,72057,76131,71494,71707,75372,87446,88473,87742,87744,90497,72447,56398,60213,58660,48476,30162,11188,5255,1300948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corse,14371,15527,15775,17358,16864,17179,17755,21661,22923,22136,21165,21114,18433,16285,14471,12760,9057,5355,2034,743,302966,7381,8024,8154,9070,8798,8502,8758,10570,11172,10869,10593,10657,8963,7976,6729,5672,3455,1779,562,148,147832,6990,7503,7621,8288,8066,8677,8997,11091,11751,11267,10572,10457,9470,8309,7742,7088,5602,3576,1472,595,155134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandEst,323317,334126,328449,363103,358097,348942,343132,390038,400730,397576,389790,377635,275158,224849,217940,198746,143781,75878,21255,8910,5521452,165365,170582,168741,186419,182411,175125,172563,195026,200303,197054,191620,188599,136377,106707,96698,80757,49887,22652,4791,1544,2693221,157952,163544,159708,176684,175686,173817,170569,195012,200427,200522,198170,189036,138781,118142,121242,117989,93894,53226,16464,7366,2828231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauts-de-France,395390,403997,382861,414937,405215,384508,382573,414037,409771,406254,397844,394348,289724,201037,210552,195440,141909,73751,19104,7839,5931091,202167,207184,196620,212225,203884,190769,189948,206440,203504,200852,194456,193164,140090,92309,88220,75155,48396,21579,4108,1368,2872438,193223,196813,186241,202712,201331,193739,192625,207597,206267,205402,203388,201184,149634,108728,122332,120285,93513,52172,14996,6471,3058653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île-de-France,811025,760629,708158,749542,813914,900911,891781,892828,859559,801262,741978,729237,546917,377923,340823,303085,229099,133947,46199,20443,11659260,413405,390267,361908,378667,394024,435624,441950,443018,421375,388960,354963,352710,267468,178449,149448,121356,81568,40994,11477,3754,5631385,397620,370362,346250,370875,419890,465287,449831,449810,438184,412302,387015,376527,279449,199474,191375,181729,147531,92953,34722,16689,6027875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normandie,200980,210612,204246,218398,201700,193452,196773,223640,227431,228004,228685,227245,176679,129711,135300,123181,93204,51460,15975,6416,3293092,102959,107167,104040,111638,101739,96174,97215,111545,112864,112319,112898,111788,85830,59990,59261,49729,34066,15786,3632,1107,1591747,98021,103445,100206,106760,99961,97278,99558,112095,114567,115685,115787,115457,90849,69721,76039,73452,59138,35674,12343,5309,1701345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle-Aquitaine,300812,319321,312051,334364,318187,313331,327623,382381,396633,392917,394237,407059,337706,257137,264376,248662,196301,114804,37059,16115,5671076,153584,163891,160167,171398,161040,156942,162936,188876,195286,192653,192172,198401,163105,121747,120368,105082,74750,38416,9197,2890,2732901,147228,155430,151884,162966,157147,156389,164687,193505,201347,200264,202065,208658,174601,135390,144008,143580,121551,76388,27862,13225,2938175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occitanie,298116,313304,309241,333136,321984,312355,319486,370930,384859,373617,361118,369821,318914,242233,240506,227260,175386,103003,31636,13041,5419946,152810,160607,158638,170353,162201,155831,158260,182781,189221,182128,175791,180156,153248,114815,110475,97831,67678,35327,8430,2606,2619187,145306,152697,150603,162783,159783,156524,161226,188149,195638,191489,185327,189665,165666,127418,130031,129429,107708,67676,23206,10435,2800759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaysdelaLoire,227066,229759,216058,225797,210940,212279,219075,244438,242680,238506,232123,235155,182294,138826,143170,129938,101226,56189,17309,7342,3510170,115726,117584,111017,115223,107954,107110,110149,122909,121212,118500,114896,115171,88396,64631,64265,54047,37976,18134,4238,1169,1710307,111340,112175,105041,110574,102986,105169,108926,121529,121468,120006,117227,119984,93898,74195,78905,75891,63250,38055,13071,6173,1799863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provence-Alpes-Côted'Azur,269905,283051,287728,305968,285586,275231,282422,332484,350103,335587,321744,324735,294372,232848,216358,199941,153030,90184,30180,11456,4882913,138147,144877,147940,157711,143950,134635,137117,161232,168378,160658,154075,154997,139423,109886,97346,84356,57426,29876,7690,2015,2331735,131758,138174,139788,148257,141636,140596,145305,171252,181725,174929,167669,169738,154949,122962,119012,115585,95604,60308,22490,9441,2551178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francemétropolitaine,3802193,3853251,3714428,3967703,3886787,3903503,3956012,4385102,4421009,4290657,4156163,4171546,3325595,2490964,2448473,2249003,1713535,969456,303296,126190,62134866,1943465,1974109,1904679,2027950,1951701,1934583,1968076,2180213,2186052,2106866,2026759,2039068,1615337,1174354,1090595,925007,628424,310526,74404,22579,30084747,1858728,1879142,1809749,1939753,1935086,1968920,1987936,2204889,2234957,2183791,2129404,2132478,1710258,1316610,1357878,1323996,1085111,658930,228892,103611,32050119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,28232,30778,31695,31610,21275,19641,25358,30561,32507,30794,25502,23561,19148,14792,12854,9427,7208,4206,1847,788,401784,14488,15945,16244,16189,10728,8594,10671,13435,14543,14430,11748,10862,8862,6707,5742,3836,2875,1615,619,256,188389,13744,14833,15451,15421,10547,11047,14687,17126,17964,16364,13754,12699,10286,8085,7112,5591,4333,2591,1228,532,213395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,24565,27724,28277,31135,23102,19089,22753,29974,32981,31883,26812,23560,19412,15996,14664,10590,7809,4508,2006,853,397693,12395,13888,14160,15599,11553,8587,9725,13059,14534,14823,12336,10924,9035,7363,6544,4531,3052,1551,586,192,184437,12170,13836,14117,15536,11549,10502,13028,16915,18447,17060,14476,12636,10377,8633,8120,6059,4757,2957,1420,661,213256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyane,27835,26463,22855,20077,15799,16769,16227,16542,14397,12135,9593,7473,4734,2937,2115,1464,998,552,217,84,219266,14053,13453,11444,10091,7532,7762,7741,8030,7259,6146,4968,3805,2551,1475,1013,640,403,192,84,31,108673,13782,13010,11411,9986,8267,9007,8486,8512,7138,5989,4625,3668,2183,1462,1102,824,595,360,133,53,110593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaRéunion,68673,71029,69214,71148,56702,52849,55998,62878,67124,55349,47648,37178,28117,21981,17458,11321,7924,3795,1401,463,808250,35387,36593,34891,36361,27729,24317,25939,29782,32548,26802,23163,18378,13465,10203,7469,4579,2882,1122,335,96,392041,33286,34436,34323,34787,28973,28532,30059,33096,34576,28547,24485,18800,14652,11778,9989,6742,5042,2673,1066,367,416209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,149305,155994,152041,153970,116878,108348,120336,139955,147009,130161,109555,91772,71411,55706,47091,32802,23939,13061,5471,2188,1826993,76323,79879,76739,78240,57542,49260,54076,64306,68884,62201,52215,43969,33913,25748,20768,13586,9212,4480,1624,575,873540,72982,76115,75302,75730,59336,59088,66260,75649,78125,67960,57340,47803,37498,29958,26323,19216,14727,8581,3847,1613,953453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FrancemétropolitaineetDOM,3951498,4009245,3866469,4121673,4003665,4011851,4076348,4525057,4568018,4420818,4265718,4263318,3397006,2546670,2495564,2281805,1737474,982517,308767,128378,63961859,2019788,2053988,1981418,2106190,2009243,1983843,2022152,2244519,2254936,2169067,2078974,2083037,1649250,1200102,1111363,938593,637636,315006,76028,23154,30958287,1931710,1955257,1885051,2015483,1994422,2028008,2054196,2280538,2313082,2251751,2186744,2180281,1747756,1346568,1384201,1343212,1099838,667511,232739,105224,33003572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:Insee-Estimationsdepopulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
