Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total
Auvergne-Rhône-Alpes,445199,500004,509819,504849,460855,447348,490539,517112,495043,548602,535614,514515,476463,452647,413693,273353,223571,164751,81068,27054,8082099,228251,255697,261360,259753,234923,223947,240566,253573,244888,274567,266119,251797,228405,213079,192616,122815,92949,58105,22970,5343,3931723,216948,244307,248459,245096,225932,223401,249973,263539,250155,274035,269495,262718,248058,239568,221077,150538,130622,106646,58098,21711,4150376
Bourgogne-Franche-Comté,135760,159178,168735,170775,145997,138080,152671,164077,158629,185350,187279,187743,186201,183915,167793,105144,91076,67386,33471,10756,2800016,68920,81541,86786,88914,76383,70498,75416,81139,78661,91922,93170,91724,89927,87904,79213,47635,37654,23895,9493,2271,1363066,66840,77637,81949,81861,69614,67582,77255,82938,79968,93428,94109,96019,96274,96011,88580,57509,53422,43491,23978,8485,1436950
Bretagne,162872,195157,210328,212430,182709,162865,181399,199292,197852,229531,222387,223128,221086,215755,197215,116920,109715,79843,37898,11731,3370113,83598,100185,107503,109847,94878,83038,90298,98953,98562,115460,110662,110187,107025,101860,90835,51462,43854,27271,10158,2207,1637843,79274,94972,102825,102583,87831,79827,91101,100339,99290,114071,111725,112941,114061,113895,106380,65458,65861,52572,27740,9524,1732270
Centre-Val-de-Loire,131961,153746,160802,157531,129558,125682,142082,150985,147724,173090,172341,169543,166786,163831,148890,92189,81915,61393,30372,10313,2570734,67037,78227,82843,80954,67088,63147,69111,73787,73131,86116,85239,83103,80310,77711,69843,41496,34185,22296,9197,2174,1246995,64924,75519,77959,76577,62470,62535,72971,77198,74593,86974,87102,86440,86476,86120,79047,50693,47730,39097,21175,8139,1323739
Corse,16206,18351,18431,17132,15845,17263,20515,22629,21514,24038,24268,23160,21756,22402,20089,15800,11742,7655,3721,1117,343634,8277,9455,9675,9052,8140,8582,9690,10860,10384,11903,11896,11349,10621,10940,9491,7260,5225,2920,1153,234,167107,7929,8896,8756,8080,7705,8681,10825,11769,11130,12135,12372,11811,11135,11462,10598,8540,6517,4735,2568,883,176527
GrandEst,281019,321872,332100,336657,318779,309202,334467,347581,326479,371840,377751,381883,364342,341578,284857,179548,162031,114693,52032,15767,5554478,144293,164970,169952,173732,164802,156424,165289,171762,162101,185191,188028,187462,174271,162824,134312,80630,65779,39509,14053,2969,2708353,136726,156902,162148,162925,153977,152778,169178,175819,164378,186649,189723,194421,190071,178754,150545,98918,96252,75184,37979,12798,2846125
Hauts-de-France,339444,393450,401087,401026,364179,338673,370624,382539,362861,400249,383332,381951,363582,342612,294386,160966,148186,108155,49522,14844,6001668,173702,201169,204804,205742,186179,169339,182099,188361,179151,199369,189940,187116,172406,159860,133881,69286,56547,34554,12964,2711,2909180,165742,192281,196283,195284,178000,169334,188525,194178,183710,200880,193392,194835,191176,182752,160505,91680,91639,73601,36558,12133,3092488
Île-de-France,794778,812976,792384,769723,762864,858677,899075,876301,830873,846583,789436,752471,642479,550935,479105,310343,246940,176605,86307,29738,12308593,405367,414279,404904,391820,377709,414237,428909,421670,409154,420354,384574,362704,302784,253947,219671,137804,100341,61467,24760,6435,5942890,389411,398697,387480,377903,385155,444440,470166,454631,421719,426229,404862,389767,339695,296988,259434,172539,146599,115138,61547,23303,6365703
Normandie,170206,198537,208008,209769,181394,171369,188050,198906,189639,217757,216815,220546,217521,212307,186390,110980,100867,74067,35466,11044,3319638,86464,101446,107194,108811,92278,86246,92765,97523,93794,108095,107052,107529,104088,100223,86188,48714,39987,25421,9775,2219,1605812,83742,97091,100814,100958,89116,85123,95285,101383,95845,109662,109763,113017,113433,112084,100202,62266,60880,48646,25691,8825,1713826
Nouvelle-Aquitaine,274826,324762,347400,353432,313969,294009,324322,355657,352400,409222,404119,405759,403913,406770,369057,234703,201663,154022,77471,26214,6033690,139313,166400,177799,182521,160025,147141,158635,173533,173240,201376,198337,195814,192147,191560,171820,105114,84106,56294,22168,5528,2902871,135513,158362,169601,170911,153944,146868,165687,182124,179160,207846,205782,209945,211766,215210,197237,129589,117557,97728,55303,20686,3130819
Occitanie,293010,335307,351502,352584,335760,314050,336471,359722,351196,395415,397846,395225,378583,376838,349006,229033,185468,141620,70442,23732,5972810,150404,171026,180210,181941,170886,157904,164385,175482,172719,193989,195215,191366,179780,178733,162346,103875,77764,52681,21428,5224,2887358,142606,164281,171292,170643,164874,156146,172086,184240,178477,201426,202631,203859,198803,198105,186660,125158,107704,88939,49014,18508,3085452
PaysdelaLoire,200144,238765,253147,249755,213452,195408,217553,237798,232430,258616,245457,242629,234633,229134,204490,123884,112477,82947,40971,14232,3827922,102251,122183,129857,128761,109622,98224,107727,117523,116019,129557,122493,118560,112892,108363,95007,54859,46253,29767,11814,3052,1864784,97893,116582,123290,120994,103830,97184,109826,120275,116411,129059,122964,124069,121741,120771,109483,69025,66224,53180,29157,11180,1963138
Provence-Alpes-Côted'Azur,265576,289915,294623,293046,262951,259467,291783,310017,300428,336465,342038,340597,319841,312302,296727,215805,166639,121529,59328,19917,5098994,135695,148770,150877,150857,134587,128370,140898,148930,145686,163291,164021,162316,150647,144490,135328,95621,69774,45033,17448,4331,2436970,129881,141145,143746,142189,128364,131097,150885,161087,154742,173174,178017,178281,169194,167812,161399,120184,96865,76496,41880,15586,2662024
Francemétropolitaine,3511001,3942020,4048366,4028709,3688312,3632093,3949551,4122616,3967068,4396758,4298683,4239150,3997186,3811026,3411698,2168668,1842290,1354666,658069,216459,65284389,1793572,2015348,2073764,2072705,1877500,1807097,1925788,2013096,1957490,2181190,2116746,2061027,1905303,1791494,1580551,966571,754418,479213,187381,44698,31604952,1717429,1926672,1974602,1956004,1810812,1824996,2023763,2109520,2009578,2215568,2181937,2178123,2091883,2019532,1831147,1202097,1087872,875453,470688,171761,33679437
Guadeloupe,18662,22113,25705,26419,19023,17194,17782,19399,21020,28226,30198,30909,27124,23610,19481,13358,9718,6296,3198,1470,380905,9366,10967,13008,13454,9697,8144,7443,7699,8654,12048,13200,14171,12826,10929,8832,5767,3898,2344,1007,395,173849,9296,11146,12697,12965,9326,9050,10339,11700,12366,16178,16998,16738,14298,12681,10649,7591,5820,3952,2191,1075,207056
Martinique,16285,18816,21597,22691,16951,16251,17409,17713,18369,25260,30441,31651,27743,23792,19126,13412,11181,6890,3230,1472,360280,8314,9370,10941,11273,8851,7482,7390,7435,7745,10702,13506,14521,12968,10833,8826,5919,4564,2705,1012,308,164665,7971,9446,10656,11418,8100,8769,10019,10278,10624,14558,16935,17130,14775,12959,10300,7493,6617,4185,2218,1164,195615
Guyane,30669,30320,30339,27464,19961,19043,19763,20319,17824,16767,14246,12088,9734,7023,4570,2802,1613,928,354,205,286032,15245,15174,15311,13671,9683,8662,8894,9564,8451,8054,7053,5944,4824,3508,2265,1301,689,382,100,56,138831,15424,15146,15028,13793,10278,10381,10869,10755,9373,8713,7193,6144,4910,3515,2305,1501,924,546,254,149,147201
LaRéunion,58444,64036,68287,67370,50511,49487,51945,54179,55507,58572,64730,60203,48807,39621,27387,19310,13270,7009,3252,1270,863197,29511,32114,34670,34389,25060,22771,23205,24163,25285,27573,31088,29255,23418,18776,12595,8492,5096,2428,933,234,411056,28933,31922,33617,32981,25451,26716,28740,30016,30222,30999,33642,30948,25389,20845,14792,10818,8174,4581,2319,1036,452141
