Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total
Auvergne-Rhône-Alpes,465925,500288,496672,485276,449732,464310,491131,502602,517222,541625,533393,495063,468992,460909,340240,257842,223447,156839,75909,20870,7948287,238281,255977,254475,248501,228453,230536,241993,247798,258570,270479,264075,241693,224125,218820,158863,114446,89219,53307,20869,4213,3864693,227644,244311,242197,236775,221279,233774,249138,254804,258652,271146,269318,253370,244867,242089,181377,143396,134228,103532,55040,16657,4083594
Bourgogne-Franche-Comté,147362,165139,169997,165351,142065,147005,157128,163058,172758,187988,190528,189655,187796,190276,133110,103816,92227,65185,32003,8976,2811423,75118,84948,87222,86266,73951,73891,78080,80976,85733,93952,94595,92337,90742,91796,62843,46130,36981,22258,8960,1946,1368725,72244,80191,82775,79085,68114,73114,79048,82082,87025,94036,95933,97318,97054,98480,70267,57686,55246,42927,23043,7030,1442698
Bretagne,174788,201215,208634,205067,171905,168826,183520,197579,212560,223637,222009,219162,216110,220800,147283,119264,108397,74466,34630,9052,3318904,89499,102755,106925,106008,89330,85850,91434,98683,106864,112071,110500,107888,104218,104749,67364,51422,41841,24294,9045,1686,1612426,85289,98460,101709,99059,82575,82976,92086,98896,105696,111566,111509,111274,111892,116051,79919,67842,66556,50172,25585,7366,1706478
Centre-Val-de-Loire,141585,158504,160647,152787,124969,134885,144457,149447,162409,174282,173410,170351,168252,168789,117439,91685,84499,59625,29589,8641,2576252,72214,80749,82064,78681,64176,67024,70457,73426,80635,86677,85539,83483,81182,80929,54812,40551,34530,21314,8622,1852,1248917,69371,77755,78583,74106,60793,67861,74000,76021,81774,87605,87871,86868,87070,87860,62627,51134,49969,38311,20967,6789,1327335
Corse,15983,17852,17119,16906,15917,18561,20388,21298,22257,24092,23738,22317,21978,22222,17696,14303,10986,7208,3182,935,334938,8216,9393,8834,8915,7997,9068,9659,10320,10927,11915,11585,10980,10819,10823,8314,6684,4651,2703,912,221,162936,7767,8459,8285,7991,7920,9493,10729,10978,11330,12177,12153,11337,11159,11399,9382,7619,6335,4505,2270,714,172002
GrandEst,301854,329227,330036,337229,315229,326045,337624,339819,350547,378730,389697,378036,361735,336840,222317,187210,160056,107553,47947,11855,5549586,154480,168884,168792,174415,162222,163956,167140,168756,174205,189213,193241,184492,174184,162548,104396,82208,62459,35598,12229,2300,2705718,147374,160343,161244,162814,153007,162089,170484,171063,176342,189517,196456,193544,187551,174292,117921,105002,97597,71955,35718,9555,2843868
Hauts-de-France,373056,403293,399464,396206,358314,359358,377025,378022,388639,394847,394494,381045,362672,344037,219153,165318,149609,102777,45545,10941,6003815,190610,206294,203862,203640,182378,178779,185440,187035,193099,197088,194757,185645,172200,161270,99537,68755,54479,32363,11257,2089,2910577,182446,196999,195602,192566,175936,180579,191585,190987,195540,197759,199737,195400,190472,182767,119616,96563,95130,70414,34288,8852,3093238
Île-de-France,817790,807759,770224,750256,789161,891994,880516,867134,851796,826175,802475,722379,621797,561298,394926,294597,248241,168786,82878,24698,12174880,417229,411356,391726,381082,384465,429837,421598,423032,423386,406836,389498,347076,292474,261818,181944,128384,96954,57852,22769,5249,5874565,400561,396403,378498,369174,404696,462157,458918,444102,428410,419339,412977,375303,329323,299480,212982,166213,151287,110934,60109,19449,6300315
Normandie,183935,207069,209681,206882,178004,180526,191629,195916,206843,219823,223138,221465,219739,213769,143757,112397,101907,70787,33819,9392,3330478,93445,106295,107727,106386,90886,89609,93951,96925,102486,108994,110008,107857,105473,101489,66390,48134,39352,23675,9078,1881,1610041,90490,100774,101954,100496,87118,90917,97678,98991,104357,110829,113130,113608,114266,112280,77367,64263,62555,47112,24741,7511,1720437
Nouvelle-Aquitaine,291650,332597,341537,343796,302243,302922,324565,350014,377365,403102,404872,400193,404635,412770,291744,223480,206077,147780,74398,21238,5956978,149209,169796,175105,177433,153580,150701,158720,172563,186002,198989,197764,193005,192725,196737,135602,99087,84367,52088,20968,4387,2868828,142441,162801,166432,166363,148663,152221,165845,177451,191363,204113,207108,207188,211910,216033,156142,124393,121710,95692,53430,16851,3088150
Occitanie,305741,336929,339156,349238,319295,317209,333283,353093,364335,392622,396846,380725,373683,381250,282717,209533,188361,135414,66831,18841,5845102,155930,172334,173656,179190,162271,157168,162619,174034,178843,192834,194182,183763,179343,181080,131915,94001,78058,49040,19371,4104,2823736,149811,164595,165500,170048,157024,160041,170664,179059,185492,199788,202664,196962,194340,200170,150802,115532,110303,86374,47460,14737,3021366
PaysdelaLoire,214391,245084,248778,236379,199886,202390,220660,233762,244331,249202,244391,236561,231815,231580,154960,122717,112508,77876,39439,10890,3757600,109513,125539,127268,122013,101269,101319,109642,116138,122354,125111,121141,115775,111651,110023,71532,53788,45338,26848,11199,2216,1829677,104878,119545,121510,114366,98617,101071,111018,117624,121977,124091,123250,120786,120164,121557,83428,68929,67170,51028,28240,8674,1927923
Provence-Alpes-Côted'Azur,275430,289569,287278,287537,260186,272019,290451,302958,313519,338973,346028,326822,314785,320979,256647,194955,165466,114222,56441,16625,5030890,141319,148165,146991,148103,132329,134165,140246,146302,152596,163748,166192,156005,148062,150086,117288,86208,68046,40719,15826,3594,2405990,134111,141404,140287,139434,127857,137854,150205,156656,160923,175225,179836,170817,166723,170893,139359,108747,97420,73503,40615,13031,2624900
