Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,456393,459441,451530,479627,465107,456703,483458,527465,534708,507458,490032,495852,378295,301631,295254,265115,202967,100257,39705,14208,7405206,234112,235390,231197,245407,234697,227767,241698,264104,266108,250413,239185,243929,184993,143437,131600,108132,74338,31995,9769,2489,3600760,222281,224051,220333,234220,230410,228936,241760,263361,268600,257045,250847,251923,193302,158194,163654,156983,128629,68262,29936,11719,3804446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,161156,165894,163444,176499,164346,157508,168915,188800,194249,194157,193895,200578,147375,123484,124387,112682,87475,44004,17358,6356,2792562,82985,85475,83779,91026,84438,79193,84628,94741,97150,95746,95952,100136,72716,58522,55447,46459,32753,14335,4319,1127,1360927,78171,80419,79665,85473,79908,78315,84287,94059,97099,98411,97943,100442,74659,64962,68940,66223,54722,29669,13039,5229,1431635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bretagne,187366,193543,185085,196859,185055,178317,194540,213146,216413,216286,208401,215670,155176,137962,142992,126153,97484,47629,17121,5090,3120288,95636,99517,94831,101689,95135,91404,98577,107571,109056,108421,103379,106022,74125,63748,62120,50235,34094,14354,3901,856,1514671,91730,94026,90254,95170,89920,86913,95963,105575,107357,107865,105022,109648,81051,74214,80872,75918,63390,33275,13220,4234,1605617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre-Val-de-Loire,151369,152768,149002,158708,145212,142268,156819,173895,175871,174762,174436,178066,129919,109254,112289,100450,78335,40647,16588,6261,2526919,77280,78153,76626,80528,73209,70986,78295,86730,87350,86585,86051,87991,63877,51738,50632,42231,30325,13811,4374,1239,1228011,74089,74615,72376,78180,72003,71282,78524,87165,88521,88177,88385,90075,66042,57516,61657,58219,48010,26836,12214,5022,1298908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corse,14516,15300,15981,17512,16583,16781,18167,21615,22504,21637,20938,20790,17416,15908,14346,12466,9122,4887,2032,708,299209,7584,7955,8177,9143,8634,8379,8821,10602,10850,10654,10373,10503,8472,7831,6523,5503,3331,1593,496,211,145635,6932,7345,7804,8369,7949,8402,9346,11013,11654,10983,10565,10287,8944,8077,7823,6963,5791,3294,1536,497,153574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandEst,323014,333327,331462,366973,362077,343685,356120,388963,403161,396783,388971,373709,254054,226023,222021,196503,141818,65410,24320,8222,5506616,164590,170511,170268,188043,184165,173569,178931,194978,201061,196147,192316,187322,125758,106717,97974,79265,48767,19285,5614,1429,2686710,158424,162816,161194,178930,177912,170116,177189,193985,202100,200636,196655,186387,128296,119306,124047,117238,93051,46125,18706,6793,2819906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauts-de-France,394615,400385,385759,423114,407951,377601,393712,409118,411888,407774,400762,393358,259111,208198,215976,195066,141835,65958,22177,7672,5922030,202059,205679,197710,216375,205074,187348,195570,204016,204136,201214,196144,193890,125444,94557,90131,74588,48379,19465,4761,1294,2867834,192556,194706,188049,206739,202877,190253,198142,205102,207752,206560,204618,199468,133667,113641,125845,120478,93456,46493,17416,6378,3054196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île-de-France,806690,753892,708750,752645,817026,900789,907373,878107,860848,794844,745573,737665,505781,373408,344945,299689,225854,118869,47774,18344,11598866,412030,386474,361803,380705,396147,436052,450936,435241,420427,385448,356251,358768,248770,174981,149896,118586,78637,36391,11393,3475,5602411,394660,367418,346947,371940,420879,464737,456437,442866,440421,409396,389322,378897,257011,198427,195049,181103,147217,82478,36381,14869,5996455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normandie,201410,208869,204415,220033,203553,190306,204871,221853,227570,229573,228730,225626,159237,132500,137155,121290,91732,45856,17496,6070,3278145,103291,106480,103879,112674,102493,94965,101355,110536,112528,113389,113248,111400,77425,60827,59622,48962,33304,13995,4037,1047,1585457,98119,102389,100536,107359,101060,95341,103516,111317,115042,116184,115482,114226,81812,71673,77533,72328,58428,31861,13459,5023,1692688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle-Aquitaine,297882,315089,310270,335902,322414,307723,338001,378042,395371,394447,393685,406916,307325,257143,269672,246347,195830,100359,40340,14913,5627671,152661,161767,158796,172331,163570,154556,168048,186275,194858,192865,192419,198720,148455,121274,121747,103854,74406,33837,10027,2710,2713176,145221,153322,151474,163571,158844,153167,169953,191767,200513,201582,201266,208196,158870,135869,147925,142493,121424,66522,30313,12203,2914495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occitanie,294172,310531,308956,332126,323476,307621,326837,366597,384128,370355,361174,369512,294527,239921,245529,223275,174768,90353,35114,12145,5371117,150628,159514,158168,169536,162478,153653,161330,180581,188190,180966,176564,179043,141732,113143,112409,95277,67154,31107,9546,2458,2593477,143544,151017,150788,162590,160998,153968,165507,186016,195938,189389,184610,190469,152795,126778,133120,127998,107614,59246,25568,9687,2777640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaysdelaLoire,225796,226049,214715,227054,214248,209023,225748,240377,242778,237899,232575,233902,165052,140869,144167,127973,99605,48341,19422,7001,3482594,115187,115797,109813,116141,109584,105618,113419,120880,121058,118432,114980,115219,79676,65419,64120,53043,37299,15571,4650,1241,1697147,110609,110252,104902,110913,104664,103405,112329,119497,121720,119467,117595,118683,85376,75450,80047,74930,62306,32770,14772,5760,1785447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provence-Alpes-Côted'Azur,269525,282190,290237,307254,285436,273276,292765,332048,349747,333719,320745,328055,278601,226327,220619,196577,153295,80637,32180,10782,4864015,137671,144494,149183,158114,143558,133707,142774,160311,168177,160006,153665,156347,132433,106487,98729,81876,56988,26554,8255,2033,2321362,131854,137696,141054,149140,141878,139569,149991,171737,181570,173713,167080,171708,146168,119840,121890,114701,96307,54083,23925,8749,2542653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francemétropolitaine,3783904,3817278,3719606,3994306,3912484,3861601,4067326,4340026,4419236,4279694,4159917,4179699,3051869,2492628,2489352,2223586,1700120,853207,331627,117772,61795238,1935714,1957206,1904230,2041712,1963182,1917197,2024382,2156566,2180949,2100286,2030527,2049290,1483876,1168681,1100950,908011,619775,272293,81142,21609,29917578,1848190,1860072,1815376,1952594,1949302,1944404,2042944,2183460,2238287,2179408,2129390,2130409,1567993,1323947,1388402,1315575,1080345,580914,250485,96163,31877660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
