Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,465500,468746,457892,475787,469439,463632,459757,535430,537546,519228,490688,488284,434081,311102,288487,267890,207225,127045,34020,16225,7518004,237697,240101,234889,243353,237866,230846,229577,267778,268337,256902,239640,238854,212122,148933,130763,111322,76855,40872,8546,2863,3658116,227803,228645,223003,232434,231573,232786,230180,267652,269209,262326,251048,249430,221959,162169,157724,156568,130370,86173,25474,13362,3859888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,162714,167787,164844,170873,161897,160276,157988,189035,192784,193490,192854,197361,174235,122726,121919,113183,89356,55010,15236,7080,2810648,83385,86399,84969,88316,83530,80540,79210,94835,96170,96111,94762,97448,86293,58841,55363,47091,33391,18124,3777,1282,1369837,79329,81388,79875,82557,78367,79736,78778,94200,96614,97379,98092,99913,87942,63885,66556,66092,55965,36886,11459,5798,1440811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bretagne,190495,198701,191486,192970,183923,180509,183975,219624,217460,218500,213153,212365,189368,133801,141327,128209,99338,58896,14898,6066,3175064,97453,102187,98513,99001,94769,91668,93224,111068,109535,109422,106004,104066,90819,62466,62127,51757,35145,17734,3354,1046,1541358,93042,96514,92973,93969,89154,88841,90751,108556,107925,109078,107149,108299,98549,71335,79200,76452,64193,41162,11544,5020,1633706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre-Val-de-Loire,151528,155827,150287,152240,144132,143049,144702,174879,174805,174212,173051,176063,153335,108583,109356,100892,80348,50511,13997,6793,2538590,77638,79749,77084,77891,72742,71201,72224,87271,87058,86191,85030,86642,74948,52117,49566,42852,31193,17272,3871,1266,1233806,73890,76078,73203,74349,71390,71848,72478,87608,87747,88021,88021,89421,78387,56466,59790,58040,49155,33239,10126,5527,1304784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corse,14832,15536,15973,16411,17641,17711,17284,21869,22818,22715,21200,20955,19317,16644,14392,12887,9251,5550,1884,804,305674,7640,8061,8295,8639,9088,8892,8561,10694,11196,11072,10612,10559,9424,8180,6789,5709,3654,1769,530,150,149514,7192,7475,7678,7772,8553,8819,8723,11175,11622,11643,10588,10396,9893,8464,7603,7178,5597,3781,1354,654,156160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandEst,323955,333563,329802,353911,360687,349392,332079,387852,395908,399785,389684,378163,299465,221462,218203,198102,146212,84338,19471,9084,5531118,165771,170476,169001,182395,183424,174935,167157,194019,197879,198159,191659,187496,148726,105874,97203,80881,51519,25134,4463,1547,2697718,158184,163087,160801,171516,177263,174457,164922,193833,198029,201626,198025,190667,150739,115588,121000,117221,94693,59204,15008,7537,2833400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauts-de-France,396829,403940,386013,405362,406824,385040,370286,417778,406047,406429,398412,391103,317843,198858,208483,193399,143877,82016,18020,7795,5944354,203501,206770,198315,207362,205234,191478,183382,208424,201785,201397,194084,191096,153845,92068,88031,74618,49245,24081,3980,1322,2880018,193328,197170,187698,198000,201590,193562,186904,209354,204262,205032,204328,200007,163998,106790,120452,118781,94632,57935,14040,6473,3064336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île-de-France,818693,766882,714579,742109,823614,899366,879819,900604,855884,813132,744930,716182,581834,385000,339524,304962,231618,145003,43479,21026,11728240,416363,392387,365121,373734,399352,434116,434587,447370,420014,395012,357413,343642,284478,182264,150253,123187,83128,44499,10915,3936,5661771,402330,374495,349458,368375,424262,465250,445232,453234,435870,418120,387517,372540,297356,202736,189271,181775,148490,100504,32564,17090,6066469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normandie,201392,210452,206653,213720,201019,195086,189933,224029,225357,228512,228368,226023,191666,130253,134095,123606,94830,56677,15393,6758,3303822,103389,107461,105232,108776,101606,96899,93804,111642,111846,113032,112540,110959,93246,60544,58961,49991,34783,17707,3593,1174,1597185,98003,102991,101421,104944,99413,98187,96129,112387,113511,115480,115828,115064,98420,69709,75134,73615,60047,38970,11800,5584,1706637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle-Aquitaine,303123,320730,317322,331346,320255,312530,316173,386545,394096,395337,395529,403950,363136,261969,261976,247776,197910,126790,35380,16624,5708497,155073,164643,162477,170222,161979,155599,157007,191425,194165,193966,192922,196483,175320,124533,119716,105767,75885,42385,9002,3049,2751618,148050,156087,154845,161124,158276,156931,159166,195120,199931,201371,202607,207467,187816,137436,142260,142009,122025,84405,26378,13575,2956879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
