Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,446940,436579,462013,465167,463795,450148,514592,529777,509668,495501,502367,421368,319646,312448,300458,249746,165526,73726,42971,11483,7173919,229702,224202,237121,237414,232712,226381,257738,264361,252933,243455,249070,209562,156403,145523,131265,99930,60879,21922,9822,1844,3492239,217238,212377,224892,227753,231083,223767,256854,265416,256735,252046,253297,211806,163243,166925,169193,149816,104647,51804,33149,9639,3681680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,161465,160381,173420,176615,167425,160769,186323,192054,193386,194736,200795,162020,127808,131148,128002,108224,73242,33169,20175,5582,2756739,82806,82038,88936,90601,85785,80986,93694,96348,95656,96956,101038,81036,62476,61082,56295,44130,27456,10511,5080,1031,1343941,78659,78343,84484,86014,81640,79783,92629,95706,97730,97780,99757,80984,65332,70066,71707,64094,45786,22658,15095,4551,1412798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bretagne,183301,177550,187515,193315,191458,179833,202329,209546,213222,208188,209255,166020,134957,150380,144041,122291,80039,34351,17772,3886,3009249,94045,91178,96337,98913,97978,92667,102623,105828,107591,104722,104163,80680,63898,68487,61347,47661,27933,9817,4038,665,1460571,89256,86372,91178,94402,93480,87166,99706,103718,105631,103466,105092,85340,71059,81893,82694,74630,52106,24534,13734,3221,1548678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre-Val-de-Loire,149103,145721,157870,157132,146800,144760,170260,174751,175281,175556,178966,143830,111813,118011,114199,97231,66961,31585,19375,5083,2484288,76246,74799,80408,79812,73684,72709,85155,87073,87022,87347,89279,71771,54569,55402,51053,40934,25980,10187,5262,1042,1209734,72857,70922,77462,77320,73116,72051,85105,87678,88259,88209,89687,72059,57244,62609,63146,56297,40981,21398,14113,4041,1274554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corse,14036,14721,16603,16152,15010,15527,19376,21120,20614,20207,19797,17033,15344,14991,13711,10854,7677,3840,1861,553,279027,7198,7591,8646,8414,7772,7690,9333,10133,9953,10166,10167,8470,7611,7249,6234,4498,2772,1276,456,118,135747,6838,7130,7957,7738,7238,7837,10043,10987,10661,10041,9630,8563,7733,7742,7477,6356,4905,2564,1405,435,143280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandEst,330433,327267,358031,365551,361539,347408,393082,404615,401995,397012,388917,289670,237993,237954,227557,181339,112944,48356,27669,7113,5446445,168970,168058,183699,186538,182923,175770,198508,203155,199901,197031,195894,146276,116472,110100,98359,69496,38356,13622,6317,1327,2660772,161463,159209,174332,179013,178616,171638,194574,201460,202094,199981,193023,143394,121521,127854,129198,111843,74588,34734,21352,5786,2785673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauts-de-France,401297,387159,420325,436239,411027,384977,416844,418958,416286,410887,410101,308302,217084,231623,227436,186190,118583,47871,28738,7780,5887707,206169,198512,215541,221477,206190,192261,207893,208685,206523,202579,204111,152588,102783,101948,94119,70957,40635,13255,7049,1574,2854849,195128,188647,204784,214762,204837,192716,208951,210273,209763,208308,205990,155714,114301,129675,133317,115233,77948,34616,21689,6206,3032858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île-de-France,785378,713801,727755,721622,788088,880131,936934,890528,828467,776620,787215,632218,432195,379448,346074,283547,195170,91391,56272,17220,11270074,401214,365724,372490,361773,383128,429234,465535,437961,403876,374098,383494,316319,212727,173697,146780,109428,67798,26720,13271,3257,5448524,384164,348077,355265,359849,404960,450897,471399,452567,424591,402522,403721,315899,219468,205751,199294,174119,127372,64671,43001,13963,5821550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normandie,205595,202205,218111,223748,206281,193740,222208,228523,230951,231394,230170,178913,136120,144979,138456,114925,76422,33387,19561,5151,3240840,104561,103531,111354,113524,103995,96622,111172,113481,113988,114721,114752,88653,64885,66057,59649,46222,27394,9627,4713,895,1569796,101034,98674,106757,110224,102286,97118,111036,115042,116963,116673,115418,90260,71235,78922,78807,68703,49028,23760,14848,4256,1671044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle-Aquitaine,292400,291002,315888,324315,321055,310910,355806,378400,383711,388124,396170,323323,258766,278859,277758,239975,163940,74716,44963,11664,5431745,150112,149253,162034,165336,162647,156217,176764,186989,189186,190722,195858,157943,124576,131378,124289,99676,62451,23167,11077,2040,2621715,142288,141749,153854,158979,158408,154693,179042,191411,194525,197402,200312,165380,134190,147481,153469,140299,101489,51549,33886,9624,2810030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
