
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur ROUSSEL FABIEN

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
RadioClassique;"Total temps d'antenne";00:07:15;00:00:08;00:00:00;00:06:55;
SudRadio;Candidat;00:00:00;00:00:18;00:00:10;00:00:00;
SudRadio;Soutiens;00:12:30;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:12:30;00:00:18;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:13:25;00:01:33;00:00:10;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:22:46;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:00:00;00:00:00;00:22:46;00:00:00;
TV5Monde;"Total temps d'antenne";00:00:00;00:00:00;00:27:38;00:00:00;
RFI;Candidat;00:01:13;00:03:12;00:01:04;00:02:10;
RFI;Soutiens;00:00:00;00:00:47;00:00:00;00:00:00;
RFI;"Total temps de parole";00:01:13;00:03:59;00:01:04;00:02:10;
RFI;"Total temps d'antenne";00:03:06;00:08:16;00:03:25;00:04:09;
France24;Candidat;00:02:44;00:04:30;00:01:24;00:01:35;
France24;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France24;"Total temps de parole";00:02:44;00:04:30;00:01:24;00:01:35;
France24;"Total temps d'antenne";00:04:33;00:10:56;00:03:19;00:02:07;
"RMC Story";Candidat;00:02:09;00:00:54;00:00:00;00:00:00;
"RMC Story";Soutiens;00:00:32;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:02:41;00:00:54;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:02:41;00:02:38;00:00:00;00:00:00;
