
Election présidentielle 2022
Période du 8 au 13 mars 2022
Temps de parole sur LE PEN MARINE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:33;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:33;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:01:44;00:00:00;
France2;Candidat;00:09:57;00:00:00;00:00:22;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:09:57;00:00:00;00:00:22;00:00:00;
France2;"Total temps d'antenne";00:12:23;00:00:07;00:00:54;00:00:00;
France3;Candidat;00:00:00;00:00:18;00:00:30;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:03;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:18;00:00:33;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:00:50;00:00:43;00:00:00;
France5;Candidat;00:00:00;00:00:00;00:01:14;00:00:46;
France5;Soutiens;00:00:00;00:00:00;00:00:16;00:00:16;
France5;"Total temps de parole";00:00:00;00:00:00;00:01:30;00:01:02;
France5;"Total temps d'antenne";00:00:00;00:00:00;00:02:03;00:01:02;
M6;Candidat;00:00:00;00:00:21;00:00:00;00:00:00;
M6;Soutiens;00:00:00;00:00:13;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:34;00:00:00;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:15;00:00:27;00:00:00;
C8;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:00;00:01:32;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:04:27;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:03;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:04:30;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:03;00:07:17;00:00:00;
BFMTV;Candidat;00:00:00;00:39:22;00:00:29;00:00:00;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:00:00;00:39:22;00:00:29;00:00:00;
BFMTV;"Total temps d'antenne";00:00:22;00:44:35;00:01:44;00:00:48;
Cnews;Candidat;00:03:32;00:11:19;00:15:44;00:04:14;
Cnews;Soutiens;00:00:00;01:01:10;00:23:15;00:00:00;
Cnews;"Total temps de parole";00:03:32;01:12:29;00:38:59;00:04:14;
Cnews;"Total temps d'antenne";00:14:28;01:24:39;00:46:20;00:04:39;
LCI;Candidat;00:00:00;00:00:00;00:00:51;00:00:00;
LCI;Soutiens;00:00:35;00:01:45;00:00:00;00:00:00;
LCI;"Total temps de parole";00:00:35;00:01:45;00:00:51;00:00:00;
LCI;"Total temps d'antenne";00:10:37;00:19:42;00:02:31;00:00:00;
FranceinfoTV;Candidat;00:00:00;00:00:52;00:01:53;00:00:00;
FranceinfoTV;Soutiens;00:24:13;00:06:55;00:19:59;00:00:00;
FranceinfoTV;"Total temps de parole";00:24:13;00:07:47;00:21:52;00:00:00;
FranceinfoTV;"Total temps d'antenne";00:27:15;00:14:49;00:27:02;00:00:00;
FranceInter;Candidat;00:00:29;00:01:06;00:00:44;00:00:00;
FranceInter;Soutiens;00:00:11;00:00:17;00:00:00;00:00:00;
FranceInter;"Total temps de parole";00:00:40;00:01:23;00:00:44;00:00:00;
FranceInter;"Total temps d'antenne";00:01:59;00:03:47;00:02:25;00:00:15;
FranceInfo;Candidat;00:01:53;00:02:45;00:00:55;00:01:58;
FranceInfo;Soutiens;00:15:01;00:03:13;00:00:33;00:00:48;
FranceInfo;"Total temps de parole";00:16:54;00:05:58;00:01:28;00:02:46;
FranceInfo;"Total temps d'antenne";00:23:46;00:12:05;00:08:50;00:15:52;
FranceCulture;Candidat;00:00:00;00:00:00;00:00:22;00:00:00;
FranceCulture;Soutiens;00:00:08;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:08;00:00:00;00:00:22;00:00:00;
FranceCulture;"Total temps d'antenne";00:00:08;00:00:00;00:00:22;00:00:00;
RTL;Candidat;00:00:00;00:01:12;00:00:16;00:00:00;
RTL;Soutiens;00:00:00;00:00:54;00:00:15;00:00:00;
RTL;"Total temps de parole";00:00:00;00:02:06;00:00:31;00:00:00;
RTL;"Total temps d'antenne";00:03:32;00:03:25;00:01:05;00:00:00;
Europe1;Candidat;00:05:26;00:00:00;00:05:35;00:00:00;
Europe1;Soutiens;00:00:00;00:00:00;00:20:41;00:00:00;
Europe1;"Total temps de parole";00:05:26;00:00:00;00:26:16;00:00:00;
