
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur LASSALLE JEAN

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
RadioClassique;"Total temps d'antenne";00:09:24;00:00:18;00:00:00;00:09:11;
SudRadio;Candidat;00:12:30;00:00:18;00:00:10;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:12:30;00:00:18;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:14:02;00:00:18;00:00:10;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:30:14;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:00:00;00:00:00;00:30:14;00:00:00;
TV5Monde;"Total temps d'antenne";00:00:00;00:00:00;00:34:36;00:00:00;
RFI;Candidat;00:01:06;00:03:03;00:02:21;00:01:38;
RFI;Soutiens;00:09:00;00:00:00;00:00:00;00:00:00;
RFI;"Total temps de parole";00:10:06;00:03:03;00:02:21;00:01:38;
RFI;"Total temps d'antenne";00:10:19;00:03:39;00:03:02;00:02:04;
France24;Candidat;00:01:02;00:02:38;00:02:21;00:01:04;
France24;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France24;"Total temps de parole";00:01:02;00:02:38;00:02:21;00:01:04;
France24;"Total temps d'antenne";00:01:19;00:08:55;00:06:37;00:01:26;
"RMC Story";Candidat;00:02:20;00:00:59;00:00:00;00:00:00;
"RMC Story";Soutiens;00:03:14;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:05:34;00:00:59;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:08:14;00:01:34;00:00:00;00:00:00;
