Regions;Salaire;Impots
Auvergne-Rhône-Alpes;69 296,6;14 885,0
Bourgogne-Franche-Comté;24 442,6;5 079,8
Bretagne;24 491,2;5 420,9
Centre-Val de Loire;23 217,7;4 869,3
Corse;1 983,7;464,8
Grand Est;52 780,1;10 772,4
Hauts-de-France;50 885,5;10 241,2
Ile-de-France;164 348,2;42 563,8
Normandie;28 649,4;5 864,6
Nouvelle-Aquitaine;45 642,8;10 022,0
Occitanie;40 874,1;9 184,8
Pays de la Loire;28 989,6;6 034,5
Provence-Alpes-Côte d'Azur;41 601,0;10 230,5
France métropolitaine;597 202,5;135 633,6
France métropolitaine hors Ile-de-France;432 854,3;93 069,8
DOM;11 127,5;1 189,5
Guadeloupe;2 444,2;306,7
Martinique;2 876,9;400,2
Guyane;934,1;131,5
La Réunion;4 566,8;335,7
Mayotte;305,5;15,4
