Regions;Salaire;Impots
Auvergne-Rhône-Alpes;76 804,2;16 980,1
Bourgogne-Franche-Comté;26 683,0;5 743,7
Bretagne;28 276,9;6 361,7
Centre-Val de Loire;25 385,2;5 471,2
Corse;2 361,6;578,7
Grand Est;56 312,1;11 982,4
Hauts-de-France;56 181,3;11 699,5
Ile-de-France;176 695,8;45 869,1
Normandie;31 487,3;6 664,9
Nouvelle-Aquitaine;51 648,4;11 648,5
Occitanie;47 364,4;10 974,5
Pays de la Loire;32 627,1;7 069,7
Provence-Alpes-Côte d'Azur;46 986,7;12 031,5
France métropolitaine;658 814,0;153 075,5
France métropolitaine hors Ile-de-France;482 118,2;107 206,4
DOM;12 895,6;1 459,3
Guadeloupe;2 774,2;385,8
Martinique;3 225,9;473,9
Guyane;1 043,6;169,8
La Réunion;5 401,0;413,8
Mayotte;450,9;16,0
