Regions;Salaire;Impots
Auvergne-Rhône-Alpes;63 080,7;14 206,9
Bourgogne-Franche-Comté;22 362,8;4 920,2
Bretagne;22 932,0;5 250,4
Centre-Val de Loire;21 458,6;4 888,8
Corse;1 824,9;451,6
Grand Est;47 230,2;10 383,6
Hauts-de-France;46 986,1;10 219,5
Ile-de-France;150 527,9;40 874,4
Normandie;26 409,9;5 731,5
Nouvelle-Aquitaine;41 729,3;9 643,0
Occitanie;37 059,1;8 776,1
Pays de la Loire;26 949,6;5 954,8
Provence-Alpes-Côte d'Azur;37 599,0;9 563,0
France métropolitaine;546 150,1;130 863,8
France métropolitaine hors Ile-de-France;395 622,2;89 989,4
DOM;9 844,8;1 133,5
Guadeloupe;2 195,6;308,8
Martinique;2 523,9;358,1
Guyane;835,3;118,9
La Réunion;4 029,1;336,8
Mayotte;260,9;10,9
