Regions;Salaire;Impots
Auvergne-Rhône-Alpes;86 723,1;19 304,1
Bourgogne-Franche-Comté;29 235,8;6 261,0
Bretagne;31 952,9;7 182,7
Centre-Val de Loire;28 133,0;6 047,3
Corse;2 762,8;688,2
Grand Est;60 858,4;13 158,4
Hauts-de-France;63 318,4;13 161,0
Ile-de-France;199 091,2;52 632,6
Normandie;35 271,2;7 412,8
Nouvelle-Aquitaine;57 691,5;13 271,9
Occitanie;53 758,2;12 505,8
Pays de la Loire;37 655,5;8 097,7
Provence-Alpes-Côte d'Azur;52 491,6;13 696,6
France métropolitaine;738 943,6;173 420,1
France métropolitaine hors Ile-de-France;539 852,4;120 787,5
DOM;14 584,1;2 022,6
Guadeloupe;3 150,3;504,3
Martinique;3 389,3;531,1
Guyane;1 317,9;208,1
La Réunion;6 054,6;748,8
Mayotte;672,0;30,3
