Regions;Salaire;Impots
Auvergne-Rhône-Alpes;81 478,3;17 767,7
Bourgogne-Franche-Comté;27 103,7;5 832,2
Bretagne;28 986,8;6 559,6
Centre-Val de Loire;26 391,7;5 637,6
Corse;2 503,4;622,5
Grand Est;58 439,4;12 300,1
Hauts-de-France;57 995,8;12 011,8
Ile-de-France;184 620,2;47 931,9
Normandie;32 673,4;6 825,9
Nouvelle-Aquitaine;54 231,6;12 189,1
Occitanie;50 127,6;11 475,4
Pays de la Loire;34 770,4;7 389,5
Provence-Alpes-Côte d'Azur;48 635,4;12 519,9
France métropolitaine;687 957,7;159 063,2
France métropolitaine hors Ile-de-France;503 337,5;111 131,3
DOM;13 435,7;1 551,9
Guadeloupe;2 849,0;408,2
Martinique;3 268,6;505,4
Guyane;1 073,1;170,0
La Réunion;5 734,3;453,0
Mayotte;510,7;15,3
