Regions;Salaire;Impots
Auvergne-Rhône-Alpes;70 941,8;15 486,3
Bourgogne-Franche-Comté;25 064,6;5 284,0
Bretagne;25 038,1;5 664,4
Centre-Val de Loire;23 845,8;5 064,8
Corse;2 049,8;495,7
Grand Est;53 854,8;11 204,1
Hauts-de-France;52 189,6;10 733,7
Ile-de-France;168 662,8;43 007,2
Normandie;29 496,7;6 106,5
Nouvelle-Aquitaine;46 851,1;10 528,0
Occitanie;41 965,0;9 745,2
Pays de la Loire;29 713,4;6 365,1
Provence-Alpes-Côte d'Azur;42 778,1;10 795,7
France métropolitaine;612 451,6;140 480,7
France métropolitaine hors Ile-de-France;443 788,8;97 473,5
DOM;11 761,8;1 274,7
Guadeloupe;2 588,9;338,6
Martinique;3 021,6;427,2
Guyane;958,9;131,6
La Réunion;4 841,1;364,0
Mayotte;351,3;13,3
