Regions;Salaire;Impots
Auvergne-Rhône-Alpes;92 162,6;20 400,9
Bourgogne-Franche-Comté;30 102,8;6 627,2
Bretagne;34 342,2;7 735,6
Centre-Val de Loire;29 154,7;6 358,3
Corse;3 024,3;787,7
Grand Est;63 971,4;13 864,6
Hauts-de-France;64 775,5;13 688,0
Ile-de-France;209 387,6;52 890,0
Normandie;36 333,4;7 740,5
Nouvelle-Aquitaine;61 021,7;14 069,6
Occitanie;57 496,1;13 562,7
Pays de la Loire;40 099,6;8 576,3
Provence-Alpes-Côte d'Azur;56 263,3;14 814,5
France métropolitaine;778 135,2;181 115,9
France métropolitaine hors Ile-de-France;568 747,6;128 225,9
DOM;16 221,8;1 806,1
Guadeloupe;3 594,0;501,7
Martinique;3 817,1;523,7
Guyane;1 647,0;203,3
La Réunion;6 425,6;546,3
Mayotte;738,1;31,1
