Regions;Salaire;Impots
Auvergne-Rhône-Alpes;89 323,8;19 451,6
Bourgogne-Franche-Comté;29 299,6;6 285,1
Bretagne;33 490,3;7 343,9
Centre-Val de Loire;28 569,5;6 095,7
Corse;3 048,4;749,7
Grand Est;61 457,9;13 139,4
Hauts-de-France;63 736,7;13 151,4
Ile-de-France;205 989,9;49 649,2
Normandie;35 841,0;7 440,8
Nouvelle-Aquitaine;59 378,6;13 427,3
Occitanie;56 124,2;12 901,2
Pays de la Loire;39 395,9;8 194,2
Provence-Alpes-Côte d'Azur;54 915,3;13 943,3
France métropolitaine;760 571,1;171 772,8
France métropolitaine hors Ile-de-France;554 581,2;122 123,6
DOM;15 711,9;1 746,2
Guadeloupe;3 498,6;490,7
Martinique;3 769,8;517,7
Guyane;1 572,1;194,8
La Réunion;6 159,6;517,5
Mayotte;711,8;25,5
