Regions;Salaire;Impots
Auvergne-Rhône-Alpes;84 848,8;18 416,10
Bourgogne-Franche-Comté;28 873,4;6 017,80
Bretagne;29 915,5;6 740,20
Centre-Val de Loire;26 850,9;5 726,40
Corse;2 657,2;641,8
Grand Est;60 057,1;12 554,40
Hauts-de-France;59 083,4;12 260,30
Ile-de-France;196 268,9;49 482,90
Normandie;33 650,1;7 012,80
Nouvelle-Aquitaine;56 006,5;12 516,30
Occitanie;52 234,0;11 854,80
Pays de la Loire;35 930,2;7 631,20
Provence-Alpes-Côte d'Azur;50 103,8;12 834,40
France métropolitaine;716 479,8;163 689,40
France métropolitaine hors Ile-de-France;520 210,9;114 206,50
DOM;13 804,6;1 794,40
Guadeloupe;2 957,0;470,4
Martinique;3 282,1;617
Guyane;1 125,7;197,7
La Réunion;5 860,5;492,6
Mayotte;579,3;16,7
