Regions;Salaire;Impots
Auvergne-Rhône-Alpes;66 491,0;14 798,5
Bourgogne-Franche-Comté;23 403,5;5 124,0
Bretagne;23 887,9;5 470,3
Centre-Val de Loire;22 270,8;4 955,9
Corse;1 887,3;476,5
Grand Est;50 386,3;10 685,5
Hauts-de-France;48 913,7;10 338,7
Ile-de-France;157 099,8;42 970,1
Normandie;27 522,5;5 933,3
Nouvelle-Aquitaine;43 712,3;10 176,4
Occitanie;39 141,2;9 185,4
Pays de la Loire;28 097,6;6 122,7
Provence-Alpes-Côte d'Azur;39 861,6;10 228,1
France métropolitaine;572 675,5;136 465,4
France métropolitaine hors Ile-de-France;415 575,7;93 495,3
DOM;10 443,1;1 197,0
Guadeloupe;2 318,8;329,2
Martinique;2 658,2;393,3
Guyane;878,4;139,1
La Réunion;4 314,2;324,4
Mayotte;273,5;11,0
