Regions;Salaire;Impots
Auvergne-Rhône-Alpes;86 223,3;18 752,6
Bourgogne-Franche-Comté;28 697,8;6 181,0
Bretagne;32 444,8;7 116,8
Centre-Val de Loire;28 000,0;5 938,8
Corse;2 911,7;711,2
Grand Est;60 379,7;12 828,8
Hauts-de-France;62 409,7;12 839,0
Ile-de-France;199 657,2;48 646,2
Normandie;35 144,0;7 292,7
Nouvelle-Aquitaine;57 653,8;13 057,3
Occitanie;54 519,7;12 429,9
Pays de la Loire;38 107,3;7 966,3
Provence-Alpes-Côte d'Azur;53 280,7;13 537,6
France métropolitaine;739 429,7;167 298,2
France métropolitaine hors Ile-de-France;539 772,5;118 652,0
DOM;14 809,3;2 033,8
Guadeloupe;3 221,4;507,4
Martinique;3 441,8;539,6
Guyane;1 390,6;203,3
La Réunion;6 073,2;753,8
Mayotte;682,3;29,7
