Date;Region;Polluant;Industrielle;Fond;Trafic
2021-01-01;Centre-Val de Loire;PM2.5;0;7238;3289
2021-01-01;Centre-Val de Loire;CO;0;0;689
2021-01-01;Guadeloupe;PM10;0;2027;708
2021-01-01;Guadeloupe;NO;0;2089;479
2021-01-01;Guadeloupe;NO2;0;2088;474
2021-01-01;Guadeloupe;O3;0;2134;0
2021-01-01;Guadeloupe;NOX as NO2;0;1257;282
2021-01-01;Guadeloupe;PM2.5;0;671;0
2021-01-01;Guadeloupe;SO2;0;693;0
2021-01-01;La Réunion;PM10;0;2886;1251
2021-01-01;La Réunion;NO;0;1448;2187
2021-01-01;La Réunion;NO2;0;1448;2186
2021-01-01;La Réunion;O3;0;1805;0
2021-01-01;La Réunion;NOX as NO2;0;736;2186
2021-01-01;La Réunion;PM2.5;0;1171;720
2021-01-01;La Réunion;SO2;732;2163;0
2021-01-01;La Réunion;CO;0;0;653
2021-01-01;Martinique;PM10;0;3084;724
2021-01-01;Martinique;NO;0;2770;736
2021-01-01;Martinique;NO2;0;2770;736
2021-01-01;Martinique;O3;0;2616;0
2021-01-01;Martinique;NOX as NO2;0;2768;736
2021-01-01;Martinique;PM2.5;0;2964;0
2021-01-01;Martinique;SO2;644;0;0
2021-01-01;Guyane;PM10;0;2122;0
2021-01-01;Guyane;NO;0;2193;0
2021-01-01;Guyane;NO2;0;2193;0
2021-01-01;Guyane;O3;0;2882;0
2021-01-01;Guyane;PM2.5;0;728;0
2021-01-01;Guyane;SO2;0;739;0
2021-01-01;Corse;PM10;1368;2194;1253
2021-01-01;Corse;NO;1441;3617;1466
2021-01-01;Corse;NO2;1441;3617;1466
2021-01-01;Corse;O3;1442;3699;0
2021-01-01;Corse;NOX as NO2;1441;3617;1466
2021-01-01;Corse;PM2.5;0;2838;0
2021-01-01;Corse;SO2;0;1488;1466
2021-01-01;Corse;CO;0;0;510
2021-01-01;Mayotte;PM10;0;0;744
2021-01-01;Mayotte;NO;0;0;733
2021-01-01;Mayotte;NO2;0;0;733
2021-01-01;Mayotte;O3;0;0;735
2021-01-01;Mayotte;NOX as NO2;0;0;733
2021-01-01;Mayotte;SO2;0;0;289
2021-01-01;Mayotte;CO;0;0;432
2021-02-01;Grand Est;PM10;3855;16502;3972
2021-02-01;Grand Est;NO;2507;20461;7326
2021-02-01;Grand Est;NO2;2507;20462;7326
2021-02-01;Grand Est;O3;0;18006;672
2021-02-01;Grand Est;NOX as NO2;2507;20463;5784
2021-02-01;Grand Est;PM2.5;0;7593;3260
2021-02-01;Grand Est;C6H6;667;0;0
2021-02-01;Grand Est;SO2;2621;2594;0
2021-02-01;Grand Est;CO;0;0;672
2021-02-01;Provence-Alpes-Côte d'Azur;PM10;2673;11507;4013
2021-02-01;Provence-Alpes-Côte d'Azur;NO;0;11891;4001
2021-02-01;Provence-Alpes-Côte d'Azur;NO2;0;11891;4001
2021-02-01;Provence-Alpes-Côte d'Azur;O3;0;19209;0
2021-02-01;Provence-Alpes-Côte d'Azur;NOX as NO2;0;11891;4001
2021-02-01;Provence-Alpes-Côte d'Azur;PM2.5;1956;9271;2009
2021-02-01;Provence-Alpes-Côte d'Azur;C6H6;1954;0;0
2021-02-01;Provence-Alpes-Côte d'Azur;SO2;5954;1260;0
2021-02-01;Provence-Alpes-Côte d'Azur;CO;0;666;0
2021-02-01;Île-de-France;PM10;0;10841;5810
2021-02-01;Île-de-France;NO;0;19154;9850
2021-02-01;Île-de-France;NO2;0;19154;9842
2021-02-01;Île-de-France;O3;0;17675;0
2021-02-01;Île-de-France;NOX as NO2;0;19155;9849
2021-02-01;Île-de-France;PM2.5;0;7832;1900
2021-02-01;Île-de-France;SO2;1936;1971;0
2021-02-01;Île-de-France;CO;0;0;669
2021-02-01;Normandie;PM10;2642;8421;3966
2021-02-01;Normandie;NO;1336;8004;3115
2021-02-01;Normandie;NO2;1336;8004;3732
2021-02-01;Normandie;O3;0;13967;0
2021-02-01;Normandie;NOX as NO2;0;4661;1335
2021-02-01;Normandie;PM2.5;0;3266;2579
2021-02-01;Normandie;C6H6;0;614;0
2021-02-01;Normandie;SO2;4671;5953;0
2021-02-01;Normandie;CO;549;0;667
2021-02-01;Hauts-de-France;PM10;1971;15798;2901
2021-02-01;Hauts-de-France;NO;1340;15501;2361
2021-02-01;Hauts-de-France;NO2;1340;15501;2361
2021-02-01;Hauts-de-France;O3;0;17334;0
2021-02-01;Hauts-de-France;NOX as NO2;0;4368;582
2021-02-01;Hauts-de-France;PM2.5;0;3866;3976
2021-02-01;Hauts-de-France;C6H6;665;0;667
2021-02-01;Hauts-de-France;SO2;1793;1315;0
2021-02-01;Hauts-de-France;CO;655;57;628
2021-02-01;Auvergne-Rhône-Alpes;PM10;2580;28680;9765
2021-02-01;Auvergne-Rhône-Alpes;NO;672;32133;10368
2021-02-01;Auvergne-Rhône-Alpes;NO2;672;32133;10368
2021-02-01;Auvergne-Rhône-Alpes;O3;0;33733;0
2021-02-01;Auvergne-Rhône-Alpes;NOX as NO2;0;2651;0
2021-02-01;Auvergne-Rhône-Alpes;PM2.5;0;17657;3302
2021-02-01;Auvergne-Rhône-Alpes;C6H6;1310;0;0
2021-02-01;Auvergne-Rhône-Alpes;SO2;1488;1931;0
2021-02-01;Auvergne-Rhône-Alpes;CO;0;0;672
2021-02-01;Occitanie;PM10;3348;9341;2670
2021-02-01;Occitanie;NO;1343;10634;1987
2021-02-01;Occitanie;NO2;1344;10634;3307
2021-02-01;Occitanie;O3;0;14661;0
2021-02-01;Occitanie;NOX as NO2;1344;4027;1326
2021-02-01;Occitanie;PM2.5;672;5806;2010
2021-02-01;Occitanie;SO2;1321;0;0
2021-02-01;Nouvelle-Aquitaine;PM10;1987;15597;7089
2021-02-01;Nouvelle-Aquitaine;NO;2558;15271;7224
2021-02-01;Nouvelle-Aquitaine;NO2;2558;15266;7224
2021-02-01;Nouvelle-Aquitaine;O3;0;17453;0
2021-02-01;Nouvelle-Aquitaine;NOX as NO2;2558;15271;7224
2021-02-01;Nouvelle-Aquitaine;PM2.5;662;7810;2003
2021-02-01;Nouvelle-Aquitaine;SO2;6289;672;0
2021-02-01;Bretagne;PM10;0;4447;1929
2021-02-01;Bretagne;NO;0;5096;2561
2021-02-01;Bretagne;NO2;0;5096;2562
2021-02-01;Bretagne;O3;0;6490;0
2021-02-01;Bretagne;NOX as NO2;0;498;0
2021-02-01;Bretagne;PM2.5;0;3831;635
2021-02-01;Pays de la Loire;PM10;3306;6615;616
2021-02-01;Pays de la Loire;NO;5335;8683;668
2021-02-01;Pays de la Loire;NO2;5335;8683;668
2021-02-01;Pays de la Loire;O3;0;8712;0
2021-02-01;Pays de la Loire;NOX as NO2;0;1337;0
2021-02-01;Pays de la Loire;PM2.5;672;3921;667
2021-02-01;Pays de la Loire;C6H6;0;0;646
2021-02-01;Pays de la Loire;SO2;6025;670;0
2021-02-01;Pays de la Loire;CO;0;0;669
2021-02-01;Bourgogne-Franche-Comté;PM10;595;9828;1956
2021-02-01;Bourgogne-Franche-Comté;NO;1268;7237;3238
2021-02-01;Bourgogne-Franche-Comté;NO2;1268;7237;3238
2021-02-01;Bourgogne-Franche-Comté;O3;0;11380;0
2021-02-01;Bourgogne-Franche-Comté;NOX as NO2;1268;7237;3238
2021-02-01;Bourgogne-Franche-Comté;PM2.5;0;4667;1981
2021-02-01;Bourgogne-Franche-Comté;SO2;1926;0;0
2021-02-01;Centre-Val de Loire;PM10;0;6024;2634
2021-02-01;Centre-Val de Loire;NO;0;6699;5322
2021-02-01;Centre-Val de Loire;NO2;0;6699;5362
2021-02-01;Centre-Val de Loire;O3;0;9313;0
2021-02-01;Centre-Val de Loire;NOX as NO2;0;6699;5363
2021-02-01;Centre-Val de Loire;PM2.5;0;6695;3252
2021-02-01;Centre-Val de Loire;CO;0;0;668
2021-02-01;Guadeloupe;PM10;0;1944;662
2021-02-01;Guadeloupe;NO;0;1830;560
2021-02-01;Guadeloupe;NO2;0;1830;560
2021-02-01;Guadeloupe;O3;0;1951;0
2021-02-01;Guadeloupe;NOX as NO2;0;1830;560
2021-02-01;Guadeloupe;PM2.5;0;666;0
2021-02-01;Guadeloupe;SO2;0;609;0
2021-02-01;La Réunion;PM10;0;2530;1090
2021-02-01;La Réunion;NO;0;1226;1988
2021-02-01;La Réunion;NO2;0;1226;1988
2021-02-01;La Réunion;O3;0;1487;0
2021-02-01;La Réunion;NOX as NO2;0;659;1988
2021-02-01;La Réunion;PM2.5;0;1308;664
2021-02-01;La Réunion;SO2;656;1898;0
2021-02-01;La Réunion;CO;0;0;642
2021-02-01;Martinique;PM10;0;3303;658
2021-02-01;Martinique;NO;0;2434;644
2021-02-01;Martinique;NO2;0;2434;644
2021-02-01;Martinique;O3;0;2435;0
2021-02-01;Martinique;NOX as NO2;0;2434;644
2021-02-01;Martinique;PM2.5;0;2675;0
2021-02-01;Martinique;SO2;666;0;0
2021-02-01;Guyane;PM10;0;1965;0
2021-02-01;Guyane;NO;0;1576;0
2021-02-01;Guyane;NO2;0;1576;0
2021-02-01;Guyane;O3;0;2233;0
2021-02-01;Guyane;PM2.5;0;643;0
2021-02-01;Guyane;SO2;0;271;0
2021-02-01;Corse;PM10;1286;1920;1339
2021-02-01;Corse;NO;1338;3336;1340
2021-02-01;Corse;NO2;1338;3336;1340
2021-02-01;Corse;O3;1344;3359;0
2021-02-01;Corse;NOX as NO2;1338;3336;1340
2021-02-01;Corse;PM2.5;0;2601;0
2021-02-01;Corse;SO2;0;1343;1341
2021-02-01;Corse;CO;0;0;52
2021-02-01;Mayotte;PM10;0;0;400
2021-02-01;Mayotte;NO;0;0;395
2021-02-01;Mayotte;NO2;0;0;395
2021-02-01;Mayotte;O3;0;0;396
2021-02-01;Mayotte;NOX as NO2;0;0;395
2021-02-01;Mayotte;SO2;0;0;10
2021-03-01;Grand Est;PM10;4220;18434;4361
2021-03-01;Grand Est;NO;2808;21501;8084
2021-03-01;Grand Est;NO2;2808;21523;8085
2021-03-01;Grand Est;O3;0;19248;744
2021-03-01;Grand Est;NOX as NO2;2808;21501;6610
2021-03-01;Grand Est;PM2.5;0;8280;3631
2021-03-01;Grand Est;C6H6;738;0;0
2021-03-01;Grand Est;SO2;2910;2808;0
2021-03-01;Grand Est;CO;0;0;744
2021-03-01;Provence-Alpes-Côte d'Azur;PM10;2970;13109;4441
2021-03-01;Provence-Alpes-Côte d'Azur;NO;0;13147;4453
2021-03-01;Provence-Alpes-Côte d'Azur;NO2;0;13147;4453
2021-03-01;Provence-Alpes-Côte d'Azur;O3;0;20989;0
2021-03-01;Provence-Alpes-Côte d'Azur;NOX as NO2;0;13147;4453
2021-03-01;Provence-Alpes-Côte d'Azur;PM2.5;2226;10270;2216
2021-03-01;Provence-Alpes-Côte d'Azur;C6H6;2151;0;0
2021-03-01;Provence-Alpes-Côte d'Azur;SO2;6743;1417;0
2021-03-01;Provence-Alpes-Côte d'Azur;CO;0;744;0
2021-03-01;Île-de-France;PM10;0;12058;6360
2021-03-01;Île-de-France;NO;0;20687;11089
2021-03-01;Île-de-France;NO2;0;20687;11082
2021-03-01;Île-de-France;O3;0;19376;0
2021-03-01;Île-de-France;NOX as NO2;0;20679;11089
2021-03-01;Île-de-France;PM2.5;0;7987;2117
2021-03-01;Île-de-France;SO2;2200;2142;0
2021-03-01;Île-de-France;CO;0;0;744
2021-03-01;Normandie;PM10;2918;9948;4423
2021-03-01;Normandie;NO;1482;8895;3693
2021-03-01;Normandie;NO2;1482;8894;4171
2021-03-01;Normandie;O3;0;15487;0
2021-03-01;Normandie;NOX as NO2;0;5192;1482
2021-03-01;Normandie;PM2.5;0;3707;2958
2021-03-01;Normandie;C6H6;0;675;0
2021-03-01;Normandie;SO2;5196;6661;0
2021-03-01;Normandie;CO;1486;0;742
2021-03-01;Hauts-de-France;PM10;2122;19225;3530
2021-03-01;Hauts-de-France;NO;1470;17190;2949
2021-03-01;Hauts-de-France;NO2;1470;17190;2949
2021-03-01;Hauts-de-France;O3;0;19206;0
2021-03-01;Hauts-de-France;NOX as NO2;0;5152;735
2021-03-01;Hauts-de-France;PM2.5;0;6024;4242
2021-03-01;Hauts-de-France;C6H6;740;0;738
2021-03-01;Hauts-de-France;SO2;2188;2124;0
2021-03-01;Hauts-de-France;CO;718;691;734
2021-03-01;Auvergne-Rhône-Alpes;PM10;2893;31832;11671
2021-03-01;Auvergne-Rhône-Alpes;NO;541;35726;11786
2021-03-01;Auvergne-Rhône-Alpes;NO2;541;35736;11786
2021-03-01;Auvergne-Rhône-Alpes;O3;0;36613;0
2021-03-01;Auvergne-Rhône-Alpes;NOX as NO2;0;2971;0
2021-03-01;Auvergne-Rhône-Alpes;PM2.5;0;19923;3627
2021-03-01;Auvergne-Rhône-Alpes;C6H6;1482;0;0
2021-03-01;Auvergne-Rhône-Alpes;SO2;2191;1612;0
2021-03-01;Auvergne-Rhône-Alpes;CO;0;0;744
2021-03-01;Occitanie;PM10;3710;10142;2813
2021-03-01;Occitanie;NO;1486;11499;2168
2021-03-01;Occitanie;NO2;1486;11499;3633
2021-03-01;Occitanie;O3;0;16289;0
2021-03-01;Occitanie;NOX as NO2;1486;4379;1435
2021-03-01;Occitanie;PM2.5;744;6653;2188
2021-03-01;Occitanie;SO2;1442;0;0
2021-03-01;Nouvelle-Aquitaine;PM10;2223;17552;7758
2021-03-01;Nouvelle-Aquitaine;NO;2887;17660;7545
2021-03-01;Nouvelle-Aquitaine;NO2;2887;17658;7544
2021-03-01;Nouvelle-Aquitaine;O3;0;19692;0
2021-03-01;Nouvelle-Aquitaine;NOX as NO2;2887;17661;7545
2021-03-01;Nouvelle-Aquitaine;PM2.5;742;8784;2112
2021-03-01;Nouvelle-Aquitaine;SO2;7280;743;0
2021-03-01;Nouvelle-Aquitaine;CO;0;517;0
2021-03-01;Bretagne;PM10;0;5155;2074
2021-03-01;Bretagne;NO;0;5903;2933
2021-03-01;Bretagne;NO2;0;5903;2933
2021-03-01;Bretagne;O3;0;7378;0
2021-03-01;Bretagne;NOX as NO2;0;743;0
