,year,region,total,men,women
111,2005,Pays de la Loire,3415391,1663690,1751701
112,2005,Provence-Alpes-Côted'Azur,4768564,2276768,2491796
113,2005,France métropolitaine,60963264,29517361,31445903
114,2005,Guadeloupe,399178,188158,211020
115,2005,Martinique,395982,184841,211141
116,2005,Guyane,199206,99223,99983
117,2005,La Réunion,772907,376009,396898
118,2005,DOM,1767273,848231,919042
119,2005,France métropolitaine et DOM,62730537,30365592,32364945
120,2006,Auvergne-Rhône-Alpes,7357284,3577680,3779604
121,2006,Bourgogne-Franche-Comté,2779461,1353959,1425502
122,2006,Bretagne,3094534,1501294,1593240
123,2006,Centre-Val-de-Loire,2519567,1224184,1295383
124,2006,Corse,294118,143084,151034
125,2006,Grand Est,5490092,2677980,2812112
126,2006,Hauts-de-France,5912999,2861075,3051924
127,2006,Île-de-France,11532398,5570241,5962157
128,2006,Normandie,3267848,1579337,1688511
129,2006,Nouvelle-Aquitaine,5574821,2686595,2888226
130,2006,Occitanie,5310966,2562734,2748232
131,2006,Pays de la Loire,3450413,1680585,1769828
132,2006,Provence-Alpes-Côted'Azur,4815232,2295663,2519569
133,2006,France métropolitaine,61399733,29714411,31685322
134,2006,Guadeloupe,400736,188772,211964
135,2006,Martinique,397732,185619,212113
136,2006,Guyane,205954,102032,103922
137,2006,La Réunion,781962,379210,402752
138,2006,DOM,1786384,855633,930751
139,2006,France métropolitaine et DOM,63186117,30570044,32616073
140,2007,Auvergne-Rhône-Alpes,7405206,3600760,3804446
141,2007,Bourgogne-Franche-Comté,2792562,1360927,1431635
142,2007,Bretagne,3120288,1514671,1605617
143,2007,Centre-Val-de-Loire,2526919,1228011,1298908
144,2007,Corse,299209,145635,153574
145,2007,Grand Est,5506616,2686710,2819906
146,2007,Hauts-de-France,5922030,2867834,3054196
147,2007,Île-de-France,11598866,5602411,5996455
148,2007,Normandie,3278145,1585457,1692688
149,2007,Nouvelle-Aquitaine,5627671,2713176,2914495
150,2007,Occitanie,5371117,2593477,2777640
151,2007,Pays de la Loire,3482594,1697147,1785447
152,2007,Provence-Alpes-Côted'Azur,4864015,2321362,2542653
153,2007,France métropolitaine,61795238,29917578,31877660
154,2007,Guadeloupe,400584,188325,212259
155,2007,Martinique,397730,184970,212760
156,2007,Guyane,213031,105546,107485
157,2007,La Réunion,794107,385335,408772
158,2007,DOM,1805452,864176,941276
159,2007,France métropolitaine et DOM,63600690,30781754,32818936
160,2008,Auvergne-Rhône-Alpes,7459092,3628373,3830719
161,2008,Bourgogne-Franche-Comté,2802519,1365513,1437006
162,2008,Bretagne,3149701,1529468,1620233
163,2008,Centre-Val-de-Loire,2531588,1230640,1300948
164,2008,Corse,302966,147832,155134
165,2008,Grand Est,5521452,2693221,2828231
166,2008,Hauts-de-France,5931091,2872438,3058653
167,2008,Île-de-France,11659260,5631385,6027875
168,2008,Normandie,3293092,1591747,1701345
169,2008,Nouvelle-Aquitaine,5671076,2732901,2938175
170,2008,Occitanie,5419946,2619187,2800759
171,2008,Pays de la Loire,3510170,1710307,1799863
172,2008,Provence-Alpes-Côted'Azur,4882913,2331735,2551178
173,2008,France métropolitaine,62134866,30084747,32050119
174,2008,Guadeloupe,401784,188389,213395
175,2008,Martinique,397693,184437,213256
176,2008,Guyane,219266,108673,110593
177,2008,La Réunion,808250,392041,416209
178,2008,DOM,1826993,873540,953453
179,2008,France métropolitaine et DOM,63961859,30958287,33003572
180,2009,Auvergne-Rhône-Alpes,7518004,3658116,3859888
181,2009,Bourgogne-Franche-Comté,2810648,1369837,1440811
182,2009,Bretagne,3175064,1541358,1633706
183,2009,Centre-Val-de-Loire,2538590,1233806,1304784
184,2009,Corse,305674,149514,156160
185,2009,Grand Est,5531118,2697718,2833400
186,2009,Hauts-de-France,5944354,2880018,3064336
187,2009,Île-de-France,11728240,5661771,6066469
188,2009,Normandie,3303822,1597185,1706637
189,2009,Nouvelle-Aquitaine,5708497,2751618,2956879
190,2009,Occitanie,5473597,2646299,2827298
191,2009,Pays de la Loire,3539048,1724639,1814409
192,2009,Provence-Alpes-Côted'Azur,4889053,2335555,2553498
193,2009,France métropolitaine,62465709,30247434,32218275
194,2009,Guadeloupe,401554,187867,213687
195,2009,Martinique,396404,183655,212749
196,2009,Guyane,224469,111201,113268
197,2009,La Réunion,816364,395688,420676
198,2009,DOM,1838791,878411,960380
199,2009,France métropolitaine et DOM,64304500,31125845,33178655
200,2010,Auvergne-Rhône-Alpes,7578078,3688963,3889115
201,2010,Bourgogne-Franche-Comté,2813878,1371655,1442223
202,2010,Bretagne,3199066,1553248,1645818
203,2010,Centre-Val-de-Loire,2548065,1238673,1309392
204,2010,Corse,309693,151633,158060
205,2010,Grand Est,5532530,2698974,2833556
206,2010,Hauts-de-France,5953001,2884386,3068615
207,2010,Île-de-France,11786234,5691234,6095000
208,2010,Normandie,3310448,1601032,1709416
209,2010,Nouvelle-Aquitaine,5745486,2769626,2975860
210,2010,Occitanie,5518106,2668025,2850081
211,2010,Pays de la Loire,3571495,1739864,1831631
212,2010,Provence-Alpes-Côted'Azur,4899155,2340637,2558518
213,2010,France métropolitaine,62765235,30397950,32367285
214,2010,Guadeloupe,403355,187912,215443
215,2010,Martinique,394173,182110,212063
216,2010,Guyane,229040,113607,115433
217,2010,La Réunion,821136,397953,423183
218,2010,DOM,1847704,881582,966122
219,2010,France métropolitaine et DOM,64612939,31279532,33333407
220,2011,Auvergne-Rhône-Alpes,7634223,3716132,3918091
221,2011,Bourgogne-Franche-Comté,2816174,1372836,1443338
222,2011,Bretagne,3217767,1563341,1654426
223,2011,Centre-Val-de-Loire,2556835,1242058,1314777
224,2011,Corse,314486,154075,160411
225,2011,Grand Est,5539035,2703035,2836000
226,2011,Hauts-de-France,5960170,2888235,3071935
227,2011,Île-de-France,11852851,5725491,6127360
228,2011,Normandie,3315077,1603920,1711157
229,2011,Nouvelle-Aquitaine,5773078,2783870,2989208
230,2011,Occitanie,5573466,2695768,2877698
231,2011,Pays de la Loire,3601113,1754154,1846959
232,2011,Provence-Alpes-Côted'Azur,4916069,2350713,2565356
233,2011,France métropolitaine,63070344,30553628,32516716
234,2011,Guadeloupe,404635,187782,216853
235,2011,Martinique,392291,180676,211615
236,2011,Guyane,237549,117732,119817
237,2011,La Réunion,828581,401139,427442
238,2011,DOM,1863056,887329,975727
239,2011,France métropolitaine et DOM,64933400,31440957,33492443
