year,regions,taxes,salary
2008,Guyane,938,5941
2008,La Réunion,922,7453
2008,Mayotte,159,3519
2009,Auvergne-Rhône-Alpes,2484,11422
2009,Bourgogne-Franche-Comté,2198,10204
2009,Bretagne,2233,10180
2009,Centre-Val de Loire,2335,11010
2009,Corse,2311,9463
2009,Grand Est,2319,10916
2009,Hauts-de-France,2158,10491
2009,Île-de-France,4138,16982
2009,Normandie,2205,10627
2009,Nouvelle-Aquitaine,2280,10068
2009,Occitanie,2262,9920
2009,Pays de la Loire,2241,10718
2009,Provence-Alpes-Côte d'Azur,2766,10886
2009,Guadeloupe,1261,8004
2009,Martinique,1365,8707
2009,Guyane,897,6134
2009,La Réunion,921,7418
2009,Mayotte,152,3482
2010,Auvergne-Rhône-Alpes,2557,11743
2010,Bourgogne-Franche-Comté,2233,10409
2010,Bretagne,2289,10438
2010,Centre-Val de Loire,2388,11193
2010,Corse,2402,9768
2010,Grand Est,2374,11103
2010,Hauts-de-France,2208,10700
2010,Île-de-France,4201,17428
2010,Normandie,2246,10818
2010,Nouvelle-Aquitaine,2331,10310
2010,Occitanie,2326,10119
2010,Pays de la Loire,2285,10985
2010,Provence-Alpes-Côte d'Azur,2841,11190
2010,Guadeloupe,1215,8660
2010,Martinique,1317,9588
2010,Guyane,835,6739
2010,La Réunion,627,7467
2010,Mayotte,127,3538
