Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
SudRadio;Candidat;00:00:28;00:00:45;00:00:10;00:00:00;
SudRadio;Soutiens;00:13:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:13:28;00:00:45;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:17:55;00:03:20;00:02:20;00:00:00;
TV5Monde;Candidat;00:09:57;00:00:00;00:31:40;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:04;00:00:26;00:00:00;
TV5Monde;"Total temps de parole";00:09:57;00:00:04;00:32:06;00:00:00;
TV5Monde;"Total temps d'antenne";00:11:03;00:00:14;00:35:53;00:00:00;
RFI;Candidat;00:04:18;00:07:48;00:02:14;00:05:33;
RFI;Soutiens;00:09:07;00:01:28;00:00:00;00:00:00;
RFI;"Total temps de parole";00:13:25;00:09:16;00:02:14;00:05:33;
RFI;"Total temps d'antenne";00:15:36;00:12:27;00:05:35;00:10:11;
France24;Candidat;00:03:09;00:07:37;00:04:02;00:03:21;
France24;Soutiens;00:00:00;00:00:00;00:00:39;00:00:00;
France24;"Total temps de parole";00:03:09;00:07:37;00:04:41;00:03:21;
France24;"Total temps d'antenne";00:07:51;00:22:54;00:19:50;00:11:32;
"RMC Story";Candidat;00:02:05;00:03:15;00:00:00;00:00:00;
"RMC Story";Soutiens;00:11:32;00:00:31;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:13:37;00:03:46;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:18:15;00:07:24;00:00:00;00:00:00;
