,Year,Area,Total energy generation (TWh),Fossil energy generation (TWh),Renewable energy generation (TWh),Fossil energy share of generation (%),Renewable energy share of generation (%),Coal generation (TWh),Hard Coal generation (TWh),Lignite generation (TWh),Gas generation (TWh),Nuclear generation (TWh),Hydro generation (TWh),Wind generation (TWh),Solar generation (TWh),Bioenergy generation (TWh),Coal energy share of generation (%),Hard Coal energy share of generation (%),Lignite energy share of generation (%),Gas energy share of generation (%),Nuclear energy share of generation (%),Hydro energy share of generation (%),Wind energy share of generation (%),Solar energy share of generation (%),Bioenergy energy share of generation (%),Total energy generation (TWh) (log_10),Fossil energy generation (TWh) (log_10),Renewable energy generation (TWh) (log_10),Fossil energy share of generation (%) (log_10),Renewable energy share of generation (%) (log_10),Coal generation (TWh) (log_10),Hard Coal generation (TWh) (log_10),Lignite generation (TWh) (log_10),Gas generation (TWh) (log_10),Nuclear generation (TWh) (log_10),Hydro generation (TWh) (log_10),Wind generation (TWh) (log_10),Solar generation (TWh) (log_10),Bioenergy generation (TWh) (log_10),Coal energy share of generation (%) (log_10),Hard Coal energy share of generation (%) (log_10),Lignite energy share of generation (%) (log_10),Gas energy share of generation (%) (log_10),Nuclear energy share of generation (%) (log_10),Hydro energy share of generation (%) (log_10),Wind energy share of generation (%) (log_10),Solar energy share of generation (%) (log_10),Bioenergy energy share of generation (%) (log_10)
0,2000,Austria,65.579473,22.145858999999987,43.433614,33.76949826967958,66.2305017303204,5.72699999999999,4.435,1.292,7.851,0.0,41.835352,0.066754,0.003229,1.528279,8.732915557281148,6.76278688607333,1.970128671207834,11.971733899112,0.0,63.79336412172755,0.10179099792399979,0.004923796810627009,2.330422813858233,1.8167679223346946,1.3452925304877767,1.637825967399463,1.5285246081530819,1.8210580450647684,0.7579271831133284,0.6468936241677452,0.11126251365906528,0.8949249773595433,-inf,1.6215434274633471,-1.1755227056056432,-2.4909319549828384,0.18420264553525478,0.9411592607786338,0.8301257018330505,0.29449459132437067,1.0781570550248487,-inf,1.8047755051286525,-0.9922906279403378,-2.307699877317533,0.3674347232005601
1,2000,Belgium,95.689,94.645,1.0439999999999992,98.90896550282687,1.091034497173133,12.916,12.916,0.0,15.977,48.157,0.459999999999999,0.016,0.0,0.568,13.497894219816283,13.497894219816283,0.0,16.696799005110307,50.32657881261169,0.48072401216440663,0.01672083520571853,0.0,0.5935896498030077,1.9808620160017552,1.9760976755658815,0.018700498666243,1.9952356595641263,0.03783848266448784,1.1111280363451241,1.1111280363451241,-inf,1.2034952351932908,1.682659424179435,-0.33724216831842685,-1.7958800173440752,-inf,-0.2456516642889812,1.130266020343369,1.130266020343369,-inf,1.2226332191915357,1.70179740817768,-0.318104184320182,-1.7767420333458304,-inf,-0.22651368029073632
2,2000,Bulgaria,57.544999999999995,54.914,2.631,95.42792597097925,4.572074029020766,16.941,2.972,13.969,1.912,18.178,2.631,0.0,0.0,0.0,29.43956903293075,5.164653749239725,24.274915283691023,3.32261708228343,31.58919106785994,4.572074029020766,0.0,0.0,0.0,1.760007594399437,1.7396830793796927,0.42012084808570294,1.9796754849802556,0.6601132536862658,1.2289390424565416,0.4730488050885377,1.145165317350655,0.2814878879400812,1.2595460990870222,0.42012084808570294,-inf,-inf,-inf,1.4689314480571045,0.7130412106891006,1.385157722951218,0.5214802935406442,1.4995385046875853,0.6601132536862658,-inf,-inf,-inf
3,2000,Croatia,12.813899999999999,6.359999999999999,6.4539,49.63360101140169,50.36639898859833,1.551,1.546,0.005,1.571,0.0,6.4529,0.0,0.0,0.001,12.104043265516355,12.065023138935064,0.039020126581290636,12.260123771841517,0.0,50.358594963282066,0.0,0.0,0.007804025316258127,1.107681330423935,0.8034571156484138,0.8098222319410427,1.6957757852244788,1.7021409015171076,0.19061179781360493,0.1892094895823061,-2.3010299956639813,0.1961761850399733,-inf,0.8097549349374831,-inf,-inf,-3.0,1.0829304673896698,1.081528159158371,-1.4087113260879163,1.0884948546160382,-inf,1.702073604513548,-inf,-inf,-2.107681330423935
4,2000,Cyprus,3.37,3.37,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5276299008713387,0.5276299008713387,-inf,2.0,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
5,2000,Czech Republic,125.661918,123.37819300000001,2.283725,98.18264352769151,1.8173564723085,52.752,5.515,47.237,1.691,13.59,1.758,0.000885,5e-05,0.52479,41.97930513841114,4.388760006034604,37.59054513237654,1.345674192240166,10.814732272350005,1.3989918568647026,0.0007042706446673845,3.978930195860929e-05,0.41762055549717136,2.0992036841437223,2.091238405267049,0.35864380615305164,1.992034721123327,0.2594401220093295,1.7222389297990777,0.7415455167762094,1.6742823079758211,0.22814360759774177,1.1332194567324942,0.24501887073775308,-3.0530567293021744,-4.301029995663981,-0.2800144491396307,1.6230352456553556,0.6423418326324872,1.5750786238320988,0.12893992345401956,1.0340157725887722,0.14581518659403092,-3.1522604134458967,-4.4002336798077035,-0.37921813328335285
6,2000,Denmark,52.687,47.114999999999995,5.572,89.42433617400877,10.575663825991233,16.673,16.673,0.0,8.774,0.0,0.03,4.241,0.001,1.3,31.64537741757929,31.64537741757929,0.0,16.6530643232676,0.0,0.05694004213563119,8.04942395657373,0.0018980014045210398,2.4674018258773516,1.7217034705306906,1.673159195454186,0.7460111077519259,1.9514557249234954,1.0243076372212354,1.2220137501713593,1.2220137501713593,-inf,0.9431976300689263,-inf,-1.5228787452803376,0.6274682724597096,-3.0,0.11394335230683678,1.5003102796406687,1.5003102796406687,-inf,1.2214941595382358,-inf,-1.244582215811028,0.9057648019290191,-2.7217034705306906,0.3922398817761462
7,2000,Estonia,8.51325,8.495000000000001,0.018250000000000002,99.78562828531996,0.21437171468005758,0.0,0.0,0.0,0.596,0.0,0.005,0.0,0.0,0.01325,0.0,0.0,0.0,7.000851613661058,0.0,0.05873197662467331,0.0,0.0,0.15563973805538425,0.9300953870663139,0.9291633832050644,-1.7387371312075064,1.9990679961387505,-0.6688325182738204,-inf,-inf,-inf,-0.2247537402597636,-inf,-2.3010299956639813,-inf,-inf,-1.8777841217271733,-inf,-inf,-inf,0.8451508726739225,-inf,-1.231125382730295,-inf,-inf,-0.8078795087934874
8,2000,EU-27,3424.270079999999,3013.327374999999,410.942705,87.99911527422506,12.000884725774903,795.053,455.272,339.781,328.208561,859.924,354.934401,21.423989,0.09322,29.198788,23.21817442624152,13.295446602155867,9.922727824085651,9.584774370367422,25.11262195766988,10.365257199572296,0.6256512628816941,0.002722331995494935,0.8527010813352667,3.534568011153456,3.47904631701438,2.6137812753142966,1.9444783058609239,1.0792132641608403,2.9003960806568747,2.658270941282441,2.5311990901720507,2.5161499050125316,2.9344600700352745,2.5501480941360746,1.3309003366824723,-1.0304909014034331,1.465364824878684,1.3658280695034184,1.1237029301289847,0.9966310790185944,0.9815818938590753,1.3998920588818184,1.0155800829826187,-0.20366767447098394,-2.5650589125568892,-0.0692031862747722
9,2000,EU27+1,3918.595079999998,3497.682374999998,420.912705,89.25858129235439,10.741418707645602,915.002999999999,575.222,339.781,476.285561,944.987,360.020401,22.370989,0.09422,33.134788,23.35028195870647,14.679291640411089,8.670990318295406,12.154498009526419,24.1154541540434,9.187486679537201,0.570893101820564,0.002404433172513452,0.8455782576034881,3.5931303888654247,3.5437803685937936,2.6241920348668564,1.9506499797283685,1.0310616460014315,2.9614225179804476,2.7598354877640627,2.5311990901720507,2.6778674157062676,2.9754258340467246,2.556327111296976,1.349685184264184,-1.025856900097785,1.5202841962723794,1.3682921291150227,1.1667050988986376,0.9380687013066255,1.0847370268408427,1.3822954451812994,0.9631967224315511,-0.24344520460124103,-2.61898728896321,-0.07284619259304555
