Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
SudRadio;"Total temps de parole";00:13:14;00:00:48;00:01:40;00:00:00;
SudRadio;"Total temps d'antenne";00:13:34;00:01:18;00:01:40;00:00:00;
TV5Monde;Candidat;00:10:32;00:00:34;00:39:45;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:10:32;00:00:34;00:39:45;00:00:00;
TV5Monde;"Total temps d'antenne";00:12:04;00:01:55;00:46:08;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:01:05;
RFI;Candidat;00:00:56;00:00:00;00:01:57;00:00:00;
RFI;Soutiens;00:01:11;00:00:25;00:11:20;00:00:12;
RFI;"Total temps de parole";00:02:07;00:00:25;00:13:17;00:00:12;
RFI;"Total temps d'antenne";00:04:08;00:00:50;00:14:34;00:01:26;
France24;Candidat;00:00:24;00:01:49;00:02:07;00:00:42;
France24;Soutiens;00:00:00;00:00:00;00:07:55;00:00:00;
France24;"Total temps de parole";00:00:24;00:01:49;00:10:02;00:00:42;
France24;"Total temps d'antenne";00:00:49;00:03:22;00:12:57;00:01:37;
"RMC Story";Candidat;00:03:15;00:06:29;00:00:00;00:00:00;
"RMC Story";Soutiens;00:00:50;00:05:58;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:04:05;00:12:27;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:07:33;00:17:47;00:00:00;00:00:00;
