"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","HUR","MEN","PC_LF","M","1988-02",15,
"ESP","HUR","MEN","PC_LF","M","1988-03",14.9,
"ESP","HUR","MEN","PC_LF","M","1988-04",14.9,
"ESP","HUR","MEN","PC_LF","M","1988-05",15,
"ESP","HUR","MEN","PC_LF","M","1988-06",15,
"ESP","HUR","MEN","PC_LF","M","1988-07",14.8,
"ESP","HUR","MEN","PC_LF","M","1988-08",14.6,
"ESP","HUR","MEN","PC_LF","M","1988-09",14.2,
"ESP","HUR","MEN","PC_LF","M","1988-10",13.8,
"ESP","HUR","MEN","PC_LF","M","1988-11",13.5,
"ESP","HUR","MEN","PC_LF","M","1988-12",13.4,
"ESP","HUR","MEN","PC_LF","M","1989-01",13.2,
"ESP","HUR","MEN","PC_LF","M","1989-02",13,
"ESP","HUR","MEN","PC_LF","M","1989-03",12.9,
"ESP","HUR","MEN","PC_LF","M","1989-04",12.8,
"ESP","HUR","MEN","PC_LF","M","1989-05",12.6,
"ESP","HUR","MEN","PC_LF","M","1989-06",12.3,
"ESP","HUR","MEN","PC_LF","M","1989-07",12,
"ESP","HUR","MEN","PC_LF","M","1989-08",12,
"ESP","HUR","MEN","PC_LF","M","1989-09",11.8,
"ESP","HUR","MEN","PC_LF","M","1989-10",12.1,
"ESP","HUR","MEN","PC_LF","M","1989-11",12.2,
"ESP","HUR","MEN","PC_LF","M","1989-12",12.2,
"ESP","HUR","MEN","PC_LF","M","1990-01",11.8,
"ESP","HUR","MEN","PC_LF","M","1990-02",11.7,
"ESP","HUR","MEN","PC_LF","M","1990-03",11.5,
"ESP","HUR","MEN","PC_LF","M","1990-04",11.5,
"ESP","HUR","MEN","PC_LF","M","1990-05",11.5,
"ESP","HUR","MEN","PC_LF","M","1990-06",11.4,
"ESP","HUR","MEN","PC_LF","M","1990-07",11.2,
"ESP","HUR","MEN","PC_LF","M","1990-08",11.2,
"ESP","HUR","MEN","PC_LF","M","1990-09",11.2,
"ESP","HUR","MEN","PC_LF","M","1990-10",11.3,
"ESP","HUR","MEN","PC_LF","M","1990-11",11.3,
"ESP","HUR","MEN","PC_LF","M","1990-12",11.4,
"ESP","HUR","MEN","PC_LF","M","1991-01",11.2,
"ESP","HUR","MEN","PC_LF","M","1991-02",11.2,
