,GoldDiff
639,7608
640,3831
641,9875
642,8420
643,12044
644,9153
645,7074
646,8849
647,12190
648,11688
649,9625
650,7608
651,12005
652,5784
653,10993
654,2753
655,4999
656,8090
657,8982
658,12576
659,10751
660,11087
661,7239
662,7779
663,9759
664,15512
665,9871
666,6115
667,6164
668,12021
669,9809
670,12062
671,13805
672,13087
673,3939
674,10726
675,9862
676,7105
677,14152
678,3052
679,5669
680,11938
681,9418
682,9380
683,10126
684,8127
685,6673
686,10868
687,3904
688,13942
689,9998
690,5084
691,7811
692,10194
693,10432
694,12169
695,10886
696,7361
697,11654
698,4616
699,7866
700,4343
701,8843
702,6235
703,12912
704,6903
705,12331
706,11465
707,7564
708,9147
709,12418
710,4967
711,9286
712,5241
713,9412
714,2670
715,2358
716,7919
717,6184
718,6285
719,10104
720,11591
721,11692
722,8445
723,11551
724,14677
725,9439
726,12729
727,4929
728,14909
729,11759
730,11870
731,1852
732,4118
733,13172
734,7693
735,9484
736,7246
737,8647
738,6257
739,5529
740,6412
741,8114
742,12391
743,9035
744,11058
745,2354
746,15766
747,6970
748,7873
749,2373
750,6521
751,11599
752,13646
753,5079
754,11506
755,17500
756,14097
757,12394
758,13941
759,13892
760,10601
761,7863
762,11721
763,6332
764,9569
765,11441
766,12755
767,10495
768,8661
769,13137
770,9917
771,10615
772,6124
773,7679
774,8254
775,15953
776,10004
777,11920
778,17657
779,9769
780,6538
781,13542
782,8870
783,10059
784,8861
785,13738
786,4185
787,15198
788,16641
789,14062
790,11907
791,5585
792,8497
793,14958
794,162
795,5623
796,4759
797,5253
798,12071
799,10980
800,10025
801,7603
802,14648
803,11504
804,6088
805,6392
806,11445
807,10033
808,12731
809,9366
810,7437
811,5476
812,8909
813,11707
814,13096
815,1107
816,11327
817,10021
818,13216
819,8910
820,11989
821,6314
822,16435
823,6463
824,14345
825,10029
826,5066
827,8730
828,733
829,10612
830,1601
831,6110
832,2832
833,11628
834,8759
835,6793
836,11748
837,9391
838,11135
839,10228
840,10336
841,10986
842,5882
843,8662
844,9299
845,5374
846,10417
847,5184
848,8873
849,7198
850,8199
851,12221
852,7075
853,14064
854,15769
855,9227
856,7775
857,10058
858,7979
859,4603
860,10529
861,11548
862,10109
863,9959
864,12017
865,11690
866,9669
867,7328
868,10954
869,11036
870,12623
871,6826
872,11847
873,13009
874,9057
875,9542
876,8393
877,16307
878,9918
879,4972
880,9597
881,11851
882,12086
883,15465
884,12922
885,8646
886,4380
887,13390
888,11777
889,8842
890,11597
891,11654
892,10773
893,10399
894,10550
895,6262
896,10500
897,11168
898,8505
899,8569
900,11565
901,7592
902,9452
903,9840
904,9893
905,10455
906,16014
907,9251
908,8199
909,6767
910,12712
911,9590
912,10236
913,5794
914,11956
915,6978
916,8020
917,11366
918,9140
919,6254
920,7487
921,13347
922,5067
923,10637
924,8233
925,9354
926,7145
927,11690
928,9330
929,10785
930,3248
931,13513
932,5085
933,5870
934,12262
935,7934
936,9466
937,5267
938,10455
939,11790
940,8420
941,7510
942,12587
943,8687
944,9724
945,9861
946,14445
947,12902
948,11395
949,13871
950,9113
951,9343
952,7574
953,9711
954,14376
955,2574
956,16257
957,7364
958,8301
959,11328
960,12753
961,13685
962,11258
963,14610
964,4962
965,6838
966,8819
967,13246
968,13574
969,6915
970,11574
971,4696
972,9132
973,10340
974,9162
975,14712
976,9897
977,14198
978,10748
979,9885
980,6119
981,4924
982,5424
983,7951
984,13065
985,7420
986,12692
987,3319
988,10385
989,6620
990,12372
991,8827
992,3150
993,12548
994,10105
995,9380
996,9328
997,3257
998,7663
999,724
1000,9375
1001,9941
1002,9922
1003,12532
1004,6382
1005,7921
1006,3250
1007,7472
1008,6592
1009,15882
1010,5601
1011,14143
1012,8505
1013,8398
1014,4824
1015,8573
1016,10211
1017,8033
1018,8812
1019,8224
1020,8465
1021,5490
1022,4146
1023,15409
1024,11536
1025,8140
1026,5233
1027,13977
1028,15147
1029,8746
1030,10491
1031,6273
1032,9516
1033,6799
1034,12983
1035,9799
1036,5328
1037,11794
1038,6664
1039,7706
1040,7278
1041,9397
1042,6291
1043,8143
1044,14100
1045,9716
1046,14844
1047,7944
1048,12854
1049,14011
1050,6192
1051,4338
1052,10763
1053,12236
1054,4207
1055,13357
1056,14035
1057,14475
1058,10374
1059,9031
1060,9473
1061,13083
1062,12162
1063,11820
1064,8171
1065,6466
1066,10017
1067,20117
1068,8853
1069,11284
1070,5035
1071,8174
1072,9009
1073,5981
1074,8928
1075,11015
1076,15095
1077,6889
1078,8142
1079,6358
1080,6967
1081,4381
1082,14096
1083,12851
1084,10480
1085,10553
1086,12136
1087,13961
1088,4023
1089,5463
1090,6136
1091,9672
1092,14504
1093,11967
1094,6125
1095,3217
1096,11265
1097,7788
1098,10101
1099,8845
1100,3607
1101,12287
1102,9672
1103,3917
1104,7865
1105,10151
1106,7511
1107,5345
1108,13309
1109,14906
1110,5528
1111,7703
1112,7992
1113,9665
1114,13130
1115,10055
1116,9792
1117,8470
1118,9807
1119,3988
1120,14977
1121,13950
1122,8789
1123,8489
1124,6688
1125,14622
1126,2764
1127,12392
1128,15688
1129,12727
1130,9559
1131,10618
1132,10347
1133,11763
1134,7803
1135,11159
1136,5252
1137,13298
1138,11016
1139,15770
1140,13353
1141,6094
