club_name,age
Arsenal FC,22.238095238095237
Aston Villa,23.9
Birmingham City,24.466666666666665
Blackburn Rovers,23.017241379310345
Blackpool FC,24.62
Bolton Wanderers,24.02777777777778
Chelsea FC,21.725
Everton FC,23.346153846153847
Fulham FC,24.842105263157894
Liverpool FC,23.571428571428573
Manchester City,23.084745762711865
Manchester United,21.045454545454547
Newcastle United,23.142857142857142
Stoke City,25.595744680851062
Sunderland AFC,24.096774193548388
Tottenham Hotspur,21.422535211267604
West Bromwich Albion,24.0
West Ham United,24.45945945945946
Wigan Athletic,24.636363636363637
Wolverhampton Wanderers,22.928571428571427
