club_name,age
FC Köln,23.451612903225808
FC Kaiserslautern,23.384615384615383
FC Nuremberg,22.81578947368421
FSV Mainz 05,23.62162162162162
Bayer 04 Leverkusen,23.310344827586206
Bayern Munich,25.333333333333332
Borussia Dortmund,23.375
Borussia Mönchengladbach,25.681818181818183
Eintracht Frankfurt,23.84
FC Schalke 04,24.375
FC St. Pauli,26.5
Hamburger SV,22.0
Hannover 96,25.62962962962963
SC Freiburg,23.076923076923077
SV Werder Bremen,22.962962962962962
TSG 1899 Hoffenheim,22.419354838709676
VfB Stuttgart,25.821428571428573
VfL Wolfsburg,24.323529411764707
