Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
SudRadio;Candidat;00:13:00;00:00:18;00:00:10;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:13:00;00:00:18;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:15:04;00:00:18;00:00:10;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:00:35;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:07:00;00:00:00;
TV5Monde;"Total temps de parole";00:00:00;00:00:00;00:07:35;00:00:00;
TV5Monde;"Total temps d'antenne";00:00:00;00:00:00;00:09:09;00:00:00;
RFI;Candidat;00:09:50;00:05:29;00:01:47;00:01:38;
RFI;Soutiens;00:00:00;00:00:00;00:00:13;00:02:30;
RFI;"Total temps de parole";00:09:50;00:05:29;00:02:00;00:04:08;
RFI;"Total temps d'antenne";00:10:55;00:09:34;00:03:22;00:05:05;
France24;Candidat;00:01:49;00:04:31;00:00:28;00:00:17;
France24;Soutiens;00:00:40;00:00:00;00:00:53;00:00:48;
France24;"Total temps de parole";00:02:29;00:04:31;00:01:21;00:01:05;
France24;"Total temps d'antenne";00:03:21;00:12:33;00:02:33;00:01:23;
"RMC Story";Candidat;00:00:29;00:00:00;00:00:00;00:00:00;
"RMC Story";Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:00:29;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:00:29;00:00:18;00:00:00;00:00:00;
