club_name,age
AS Monaco,23.11111111111111
AS Saint-Étienne,22.976744186046513
Amiens SC,24.065217391304348
Dijon FCO,23.580645161290324
FC Girondins Bordeaux,24.43243243243243
FC Metz,23.34285714285714
FC Nantes,24.333333333333332
FC Toulouse,24.146341463414632
LOSC Lille,23.27027027027027
Montpellier HSC,23.939393939393938
Nîmes Olympique,24.970588235294116
OGC Nice,21.93548387096774
Olympique Lyon,23.5
Olympique Marseille,25.136363636363637
Paris Saint-Germain,23.794871794871796
RC Strasbourg Alsace,25.285714285714285
SCO Angers,25.91176470588235
Stade Brestois 29,24.576923076923077
Stade Reims,22.897435897435898
Stade Rennais FC,24.441860465116278
