club_name,age
AFC Bournemouth,25.275862068965516
Arsenal FC,25.178571428571427
Brighton & Hove Albion,25.133333333333333
Burnley FC,25.41025641025641
Chelsea FC,23.267605633802816
Crystal Palace,23.78787878787879
Everton FC,24.302325581395348
Huddersfield Town,24.51219512195122
Leicester City,25.85185185185185
Liverpool FC,23.551724137931036
Manchester City,23.828125
Manchester United,23.5
Newcastle United,24.410714285714285
Southampton FC,23.615384615384617
Stoke City,24.88888888888889
Swansea City,24.555555555555557
Tottenham Hotspur,23.08
Watford FC,25.338709677419356
West Bromwich Albion,24.535714285714285
West Ham United,24.658536585365855
