
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur ARTHAUD NATHALIE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
RadioClassique;"Total temps d'antenne";00:03:41;00:00:00;00:00:00;00:03:14;
SudRadio;Candidat;00:12:30;00:00:18;00:00:10;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:12:30;00:00:18;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:14:25;00:00:18;00:00:10;00:00:00;
TV5Monde;Candidat;00:09:46;00:00:00;00:29:46;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:09:46;00:00:00;00:29:46;00:00:00;
TV5Monde;"Total temps d'antenne";00:09:46;00:00:00;00:34:39;00:00:00;
RFI;Candidat;00:01:10;00:04:04;00:01:12;00:01:42;
RFI;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RFI;"Total temps de parole";00:01:10;00:04:04;00:01:12;00:01:42;
RFI;"Total temps d'antenne";00:02:26;00:05:08;00:02:47;00:03:35;
France24;Candidat;00:02:22;00:04:07;00:02:04;00:00:51;
France24;Soutiens;00:00:00;00:00:00;00:00:27;00:00:00;
France24;"Total temps de parole";00:02:22;00:04:07;00:02:31;00:00:51;
France24;"Total temps d'antenne";00:03:25;00:11:54;00:06:25;00:01:19;
"RMC Story";Candidat;00:01:27;00:00:28;00:00:00;00:00:00;
"RMC Story";Soutiens;00:00:42;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:02:09;00:00:28;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:07:01;00:01:30;00:00:00;00:00:00;
