Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
RFI;"Total temps de parole";00:14:33;00:09:02;00:03:30;00:05:27;
RFI;"Total temps d'antenne";00:16:14;00:11:43;00:05:35;00:09:07;
France24;Candidat;00:03:18;00:06:29;00:02:36;00:03:25;
France24;Soutiens;00:00:00;00:00:00;00:00:27;00:00:00;
France24;"Total temps de parole";00:03:18;00:06:29;00:03:03;00:03:25;
France24;"Total temps d'antenne";00:07:44;00:23:01;00:17:58;00:11:24;
"RMC Story";Candidat;00:04:41;00:02:38;00:00:00;00:00:00;
"RMC Story";Soutiens;00:09:11;00:01:02;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:13:52;00:03:40;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:19:54;00:04:42;00:00:00;00:00:00;
