club_name,age
AC Ajaccio,25.516129032258064
AJ Auxerre,23.476190476190474
AS Monaco,23.785714285714285
AS Nancy-Lorraine,24.846153846153847
AS Saint-Étienne,23.64516129032258
ESTAC Troyes,24.233333333333334
FC Girondins Bordeaux,23.696969696969695
FC Metz,23.346153846153847
FC Nantes,23.818181818181817
FC Sochaux-Montbéliard,22.914285714285715
FC Toulouse,24.31578947368421
LOSC Lille,22.58823529411765
Le Mans Union Club 72,23.783783783783782
OGC Nice,24.685714285714287
Olympique Lyon,22.066666666666666
Olympique Marseille,24.885245901639344
Paris Saint-Germain,24.689655172413794
RC Lens,23.75
RC Strasbourg Alsace,23.52777777777778
Stade Rennais FC,23.12
