
Election présidentielle 2022
Période du 8 au 13 mars 2022
Temps de parole sur ZEMMOUR ERIC

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
RMC;"Total temps de parole";00:21:49;00:28:40;00:00:00;00:07:17;
RMC;"Total temps d'antenne";00:21:49;00:31:09;00:00:00;00:10:52;
BFMBusiness;Candidat;00:00:00;00:00:00;00:00:30;00:00:30;
BFMBusiness;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMBusiness;"Total temps de parole";00:00:00;00:00:00;00:00:30;00:00:30;
BFMBusiness;"Total temps d'antenne";00:04:05;00:00:00;00:02:57;00:02:06;
RadioClassique;Candidat;00:00:13;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:00:13;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:04:02;00:00:08;00:00:00;00:06:04;
SudRadio;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps d'antenne";00:00:40;00:05:42;00:00:00;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;Soutiens;00:09:55;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:09:55;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps d'antenne";00:09:55;00:00:00;00:01:34;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:00:39;
RFI;Candidat;00:00:20;00:00:00;00:00:21;00:00:20;
RFI;Soutiens;00:00:00;00:00:00;00:17:00;00:00:00;
RFI;"Total temps de parole";00:00:20;00:00:00;00:17:21;00:00:20;
RFI;"Total temps d'antenne";00:00:20;00:00:33;00:17:21;00:00:20;
France24;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
France24;Soutiens;00:00:00;00:00:00;00:18:49;00:00:00;
France24;"Total temps de parole";00:00:00;00:00:00;00:18:49;00:00:00;
France24;"Total temps d'antenne";00:00:00;00:00:00;00:20:32;00:02:29;
"RMC Story";Candidat;00:01:25;00:01:10;00:00:00;00:00:00;
"RMC Story";Soutiens;00:00:00;00:04:16;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:01:25;00:05:26;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:03:38;00:07:55;00:00:00;00:00:00;
