club_name,age
FC Köln,24.157894736842106
FSV Mainz 05,24.71875
Bayer 04 Leverkusen,22.44736842105263
Bayern Munich,22.846153846153847
Borussia Dortmund,23.9
Borussia Mönchengladbach,22.875
Eintracht Frankfurt,23.0
FC Augsburg,25.903225806451612
FC Ingolstadt 04,23.55
FC Schalke 04,23.705882352941178
Hamburger SV,24.057142857142857
Hertha BSC,25.529411764705884
RB Leipzig,22.576923076923077
SC Freiburg,23.323529411764707
SV Darmstadt 98,25.708333333333332
SV Werder Bremen,24.46153846153846
TSG 1899 Hoffenheim,22.979591836734695
VfL Wolfsburg,23.846153846153847
