Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
SudRadio;Candidat;00:13:30;00:00:45;00:00:10;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:13:30;00:00:45;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:18:19;00:03:15;00:02:20;00:00:00;
TV5Monde;Candidat;00:00:15;00:00:00;00:29:34;00:00:00;
TV5Monde;Soutiens;00:09:30;00:00:19;00:00:37;00:00:00;
TV5Monde;"Total temps de parole";00:09:45;00:00:19;00:30:11;00:00:00;
TV5Monde;"Total temps d'antenne";00:10:19;00:02:15;00:37:20;00:00:00;
RFI;Candidat;00:04:22;00:06:15;00:01:30;00:03:34;
RFI;Soutiens;00:07:34;00:00:49;00:00:49;00:00:00;
RFI;"Total temps de parole";00:11:56;00:07:04;00:02:19;00:03:34;
RFI;"Total temps d'antenne";00:16:24;00:12:18;00:04:32;00:09:26;
France24;Candidat;00:03:59;00:05:38;00:04:18;00:03:23;
France24;Soutiens;00:00:00;00:00:00;00:00:21;00:00:00;
France24;"Total temps de parole";00:03:59;00:05:38;00:04:39;00:03:23;
France24;"Total temps d'antenne";00:08:45;00:22:28;00:20:26;00:11:36;
"RMC Story";Candidat;00:01:26;00:02:18;00:00:00;00:00:00;
"RMC Story";Soutiens;00:12:32;00:01:24;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:13:58;00:03:42;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:18:16;00:14:21;00:00:00;00:00:00;
