club_name,age
AS Monaco,22.959183673469386
AS Saint-Étienne,24.24390243902439
Amiens SC,25.294117647058822
Dijon FCO,24.44
EA Guingamp,25.096774193548388
ESTAC Troyes,26.25
FC Girondins Bordeaux,23.458333333333332
FC Metz,24.068181818181817
FC Nantes,25.16
FC Toulouse,25.384615384615383
LOSC Lille,23.21311475409836
Montpellier HSC,24.366666666666667
OGC Nice,23.735294117647058
Olympique Lyon,22.45
Olympique Marseille,24.842105263157894
Paris Saint-Germain,24.8
RC Strasbourg Alsace,25.4
SCO Angers,25.23076923076923
SM Caen,24.15625
Stade Rennais FC,23.926829268292682
