"TIME","GEO","AIRPOL","Value"
"2012","Union européenne - 27 pays (à partir de 2020)","Particules < 10µm","25.9"
"2012","Union européenne - 28 pays (2013-2020)","Particules < 10µm","24.9"
"2012","Belgique","Particules < 10µm","24.8"
"2012","Bulgarie","Particules < 10µm","45.9"
"2012","Tchéquie","Particules < 10µm","27.2"
"2012","Danemark","Particules < 10µm","17.4"
"2012","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Particules < 10µm","19.8"
"2012","Estonie","Particules < 10µm","12.9"
"2012","Irlande","Particules < 10µm","12.7"
"2012","Grèce","Particules < 10µm","30"
"2012","Espagne","Particules < 10µm","24.8"
"2012","France","Particules < 10µm","23.9"
"2012","Croatie","Particules < 10µm",":"
"2012","Italie","Particules < 10µm","30.7"
"2012","Chypre","Particules < 10µm","36.4"
"2012","Lettonie","Particules < 10µm","22.8"
"2012","Lituanie","Particules < 10µm","20.3"
"2012","Luxembourg","Particules < 10µm","17.8"
"2012","Hongrie","Particules < 10µm","28.8"
"2012","Malte","Particules < 10µm",":"
"2012","Pays-Bas","Particules < 10µm","21.2"
"2012","Autriche","Particules < 10µm","22.5"
"2012","Pologne","Particules < 10µm","37.4"
"2012","Portugal","Particules < 10µm","22.1"
"2012","Roumanie","Particules < 10µm","33.3"
"2012","Slovénie","Particules < 10µm","25.4"
"2012","Slovaquie","Particules < 10µm","28.9"
"2012","Finlande","Particules < 10µm","11.1"
"2012","Suède","Particules < 10µm","14.1"
"2012","Islande","Particules < 10µm","8.7"
"2012","Norvège","Particules < 10µm","16"
"2012","Suisse","Particules < 10µm","18.4"
"2013","Union européenne - 27 pays (à partir de 2020)","Particules < 10µm","25.1"
"2013","Union européenne - 28 pays (2013-2020)","Particules < 10µm","24.2"
"2013","Belgique","Particules < 10µm","25"
"2013","Bulgarie","Particules < 10µm","43.4"
"2013","Tchéquie","Particules < 10µm","27.6"
"2013","Danemark","Particules < 10µm",":"
"2013","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Particules < 10µm","20.4"
"2013","Estonie","Particules < 10µm","14"
"2013","Irlande","Particules < 10µm","15"
"2013","Grèce","Particules < 10µm","34.4"
"2013","Espagne","Particules < 10µm","19.9"
"2013","France","Particules < 10µm","23.2"
"2013","Croatie","Particules < 10µm","34"
"2013","Italie","Particules < 10µm","30.2"
