
Election présidentielle 2022
Période du 8 au 27 mars 2022
Temps de parole sur JADOT YANNICK

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
RMC;"Total temps de parole";00:24:41;00:21:23;00:00:00;00:22:49;
RMC;"Total temps d'antenne";00:28:48;00:26:28;00:00:00;00:28:23;
BFMBusiness;Candidat;00:00:00;00:00:00;00:00:32;00:00:32;
BFMBusiness;Soutiens;00:00:50;00:00:42;00:11:20;00:05:40;
BFMBusiness;"Total temps de parole";00:00:50;00:00:42;00:11:52;00:06:12;
BFMBusiness;"Total temps d'antenne";00:05:39;00:10:02;00:18:57;00:08:13;
RadioClassique;Candidat;00:00:59;00:00:00;00:00:00;00:00:48;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:00:59;00:00:00;00:00:00;00:00:48;
RadioClassique;"Total temps d'antenne";00:15:05;00:00:41;00:00:35;00:14:07;
SudRadio;Candidat;00:05:54;00:00:00;00:00:00;00:00:00;
SudRadio;Soutiens;00:20:38;00:04:00;00:02:30;00:00:00;
SudRadio;"Total temps de parole";00:26:32;00:04:00;00:02:30;00:00:00;
SudRadio;"Total temps d'antenne";00:27:32;00:10:15;00:02:30;00:00:00;
TV5Monde;Candidat;00:09:47;00:00:00;00:25:05;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:10:52;00:00:00;
TV5Monde;"Total temps de parole";00:09:47;00:00:00;00:35:57;00:00:00;
TV5Monde;"Total temps d'antenne";00:11:13;00:00:27;00:38:33;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:04:07;
RFI;Candidat;00:02:23;00:01:27;00:21:41;00:01:44;
RFI;Soutiens;00:00:16;00:00:00;00:01:00;00:00:16;
RFI;"Total temps de parole";00:02:39;00:01:27;00:22:41;00:02:00;
RFI;"Total temps d'antenne";00:06:36;00:02:01;00:27:21;00:04:43;
France24;Candidat;00:00:35;00:02:21;00:18:13;00:01:35;
France24;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France24;"Total temps de parole";00:00:35;00:02:21;00:18:13;00:01:35;
France24;"Total temps d'antenne";00:01:16;00:04:07;00:24:12;00:04:44;
"RMC Story";Candidat;00:03:26;00:00:30;00:00:00;00:00:00;
"RMC Story";Soutiens;00:03:21;00:20:23;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:06:47;00:20:53;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:13:05;00:25:58;00:00:00;00:00:00;
