
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur JADOT YANNICK

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
RadioClassique;"Total temps d'antenne";00:10:28;00:00:19;00:00:00;00:08:48;
SudRadio;Candidat;00:00:00;00:00:18;00:00:10;00:00:00;
SudRadio;Soutiens;00:13:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:13:00;00:00:18;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:14:10;00:00:33;00:00:10;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:07:25;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:00:00;00:00:00;00:07:25;00:00:00;
TV5Monde;"Total temps d'antenne";00:00:47;00:00:10;00:08:46;00:00:00;
RFI;Candidat;00:02:10;00:03:03;00:01:22;00:01:21;
RFI;Soutiens;00:09:07;00:01:28;00:00:00;00:00:00;
RFI;"Total temps de parole";00:11:17;00:04:31;00:01:22;00:01:21;
RFI;"Total temps d'antenne";00:12:38;00:06:54;00:04:12;00:02:05;
France24;Candidat;00:02:08;00:03:11;00:01:29;00:01:07;
France24;Soutiens;00:00:00;00:00:00;00:00:39;00:00:00;
France24;"Total temps de parole";00:02:08;00:03:11;00:02:08;00:01:07;
France24;"Total temps d'antenne";00:04:08;00:07:46;00:05:17;00:01:44;
"RMC Story";Candidat;00:00:26;00:00:18;00:00:00;00:00:00;
"RMC Story";Soutiens;00:04:50;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:05:16;00:00:18;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:06:28;00:01:54;00:00:00;00:00:00;
