
Election présidentielle 2022
Période du 28 mars au 3 avril 2022
Temps de parole sur HIDALGO ANNE

Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
RadioClassique;"Total temps d'antenne";00:11:35;00:00:20;00:00:00;00:10:46;
SudRadio;Candidat;00:00:00;00:00:18;00:00:10;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:00:00;00:00:18;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:00:24;00:00:48;00:00:10;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:00:35;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:00:00;00:00:00;00:00:35;00:00:00;
TV5Monde;"Total temps d'antenne";00:00:00;00:00:07;00:01:13;00:00:00;
RFI;Candidat;00:00:19;00:00:38;00:01:28;00:00:36;
RFI;Soutiens;00:09:00;00:00:54;00:00:00;00:00:00;
RFI;"Total temps de parole";00:09:19;00:01:32;00:01:28;00:00:36;
RFI;"Total temps d'antenne";00:09:42;00:03:48;00:05:00;00:03:16;
France24;Candidat;00:01:40;00:02:42;00:03:34;00:00:52;
France24;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France24;"Total temps de parole";00:01:40;00:02:42;00:03:34;00:00:52;
France24;"Total temps d'antenne";00:01:57;00:05:41;00:08:04;00:01:20;
"RMC Story";Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
"RMC Story";Soutiens;00:02:37;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:02:37;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:02:37;00:00:00;00:00:00;00:00:00;
