1,001,1,367,1880030
1,001,2,189,1747930
1,001,3,209,1776480
1,001,4,341,1814850
1,001,5,599,1930890
1,001,6,959,2401730
1,001,7,1327,2565010
1,001,8,1820,2542980
1,001,9,2449,2273980
1,001,10,3422,1879780
1,001,11,5780,1603760
1,001,12,10452,1589750
1,001,13,14014,1246110
1,001,14,18000,1050230
1,001,15,20615,899980
1,001,16,20258,706070
1,001,17,16509,489890
1,001,18,12757,338630
1,001,19,0,0
2,001,1,329,1798360
2,001,2,145,1681740
2,001,3,179,1686530
2,001,4,283,1712930
2,001,5,581,1953610
2,001,6,1132,2432070
2,001,7,1883,2448920
2,001,8,3101,2444990
2,001,9,4897,2286210
2,001,10,6494,1914950
2,001,11,8566,1673500
2,001,12,11276,1680960
2,001,13,12103,1352660
2,001,14,13349,1163580
2,001,15,14006,1054410
2,001,16,15415,941560
2,001,17,15300,788620
2,001,18,16700,761930
2,001,19,0,0
1,002,1,367,1880030
1,002,2,188,1747930
1,002,3,204,1776480
1,002,4,339,1814850
1,002,5,592,1930890
1,002,6,942,2401730
1,002,7,1300,2565010
1,002,8,1775,2542980
1,002,9,2376,2273980
1,002,10,3333,1879780
1,002,11,5591,1603760
1,002,12,10142,1589750
1,002,13,13574,1246110
1,002,14,17265,1050230
1,002,15,19596,899980
1,002,16,18856,706070
1,002,17,14987,489890
1,002,18,11035,338630
1,002,19,0,0
2,002,1,329,1798360
2,002,2,143,1681740
2,002,3,176,1686530
2,002,4,278,1712930
2,002,5,570,1953610
2,002,6,1122,2432070
2,002,7,1852,2448920
2,002,8,3057,2444990
2,002,9,4838,2286210
2,002,10,6412,1914950
2,002,11,8449,1673500
2,002,12,11059,1680960
2,002,13,11846,1352660
2,002,14,12998,1163580
2,002,15,13471,1054410
2,002,16,14645,941560
2,002,17,14290,788620
2,002,18,14982,761930
2,002,19,0,0
1,003,1,1,1880030
1,003,2,6,1747930
1,003,3,3,1776480
1,003,4,13,1814850
1,003,5,13,1930890
1,003,6,18,2401730
1,003,7,35,2565010
1,003,8,82,2542980
1,003,9,151,2273980
1,003,10,282,1879780
1,003,11,409,1603760
1,003,12,518,1589750
1,003,13,463,1246110
1,003,14,398,1050230
1,003,15,263,899980
1,003,16,252,706070
1,003,17,167,489890
1,003,18,145,338630
1,003,19,0,0
2,003,1,2,1798360
2,003,2,1,1681740
2,003,3,3,1686530
2,003,4,9,1712930
2,003,5,13,1953610
2,003,6,16,2432070
2,003,7,26,2448920
2,003,8,53,2444990
2,003,9,70,2286210
2,003,10,108,1914950
2,003,11,154,1673500
2,003,12,216,1680960
2,003,13,202,1352660
2,003,14,206,1163580
2,003,15,168,1054410
2,003,16,175,941560
2,003,17,161,788620
2,003,18,197,761930
2,003,19,0,0
1,004,1,0,1880030
1,004,2,0,1747930
1,004,3,0,1776480
1,004,4,0,1814850
1,004,5,1,1930890
1,004,6,1,2401730
1,004,7,1,2565010
1,004,8,0,2542980
1,004,9,1,2273980
1,004,10,2,1879780
1,004,11,4,1603760
1,004,12,6,1589750
1,004,13,10,1246110
1,004,14,14,1050230
1,004,15,11,899980
1,004,16,14,706070
1,004,17,8,489890
1,004,18,7,338630
1,004,19,0,0
2,004,1,0,1798360
2,004,2,0,1681740
2,004,3,0,1686530
2,004,4,0,1712930
2,004,5,0,1953610
2,004,6,0,2432070
2,004,7,3,2448920
2,004,8,0,2444990
2,004,9,0,2286210
2,004,10,1,1914950
2,004,11,1,1673500
2,004,12,3,1680960
2,004,13,2,1352660
2,004,14,6,1163580
2,004,15,5,1054410
2,004,16,9,941560
2,004,17,8,788620
2,004,18,12,761930
2,004,19,0,0
1,005,1,0,1880030
1,005,2,0,1747930
1,005,3,0,1776480
1,005,4,2,1814850
1,005,5,3,1930890
1,005,6,3,2401730
1,005,7,7,2565010
1,005,8,25,2542980
1,005,9,35,2273980
1,005,10,63,1879780
1,005,11,100,1603760
1,005,12,138,1589750
1,005,13,119,1246110
1,005,14,88,1050230
1,005,15,82,899980
1,005,16,67,706070
1,005,17,43,489890
1,005,18,33,338630
1,005,19,0,0
2,005,1,0,1798360
2,005,2,0,1681740
2,005,3,0,1686530
2,005,4,1,1712930
2,005,5,2,1953610
2,005,6,6,2432070
2,005,7,6,2448920
2,005,8,18,2444990
2,005,9,16,2286210
2,005,10,35,1914950
2,005,11,48,1673500
2,005,12,75,1680960
2,005,13,55,1352660
2,005,14,58,1163580
2,005,15,43,1054410
2,005,16,43,941560
2,005,17,38,788620
2,005,18,54,761930
2,005,19,0,0
1,006,1,0,1880030
1,006,2,0,1747930
1,006,3,0,1776480
1,006,4,0,1814850
1,006,5,1,1930890
1,006,6,0,2401730
1,006,7,0,2565010
1,006,8,3,2542980
1,006,9,11,2273980
1,006,10,17,1879780
1,006,11,30,1603760
1,006,12,49,1589750
1,006,13,34,1246110
1,006,14,20,1050230
1,006,15,20,899980
1,006,16,13,706070
1,006,17,9,489890
1,006,18,5,338630
1,006,19,0,0
2,006,1,0,1798360
2,006,2,0,1681740
2,006,3,0,1686530
2,006,4,0,1712930
2,006,5,0,1953610
2,006,6,1,2432070
2,006,7,0,2448920
2,006,8,0,2444990
2,006,9,3,2286210
2,006,10,6,1914950
2,006,11,10,1673500
2,006,12,23,1680960
2,006,13,8,1352660
2,006,14,11,1163580
2,006,15,10,1054410
2,006,16,5,941560
2,006,17,5,788620
2,006,18,2,761930
2,006,19,0,0
1,007,1,0,1880030
1,007,2,0,1747930
1,007,3,0,1776480
1,007,4,2,1814850
1,007,5,2,1930890
1,007,6,3,2401730
1,007,7,7,2565010
1,007,8,22,2542980
1,007,9,24,2273980
1,007,10,46,1879780
1,007,11,70,1603760
1,007,12,89,1589750
1,007,13,85,1246110
1,007,14,68,1050230
1,007,15,62,899980
1,007,16,54,706070
1,007,17,34,489890
1,007,18,28,338630
1,007,19,0,0
2,007,1,0,1798360
2,007,2,0,1681740
2,007,3,0,1686530
2,007,4,1,1712930
2,007,5,2,1953610
2,007,6,5,2432070
2,007,7,6,2448920
2,007,8,18,2444990
2,007,9,13,2286210
2,007,10,29,1914950
2,007,11,38,1673500
2,007,12,52,1680960
2,007,13,47,1352660
2,007,14,47,1163580
2,007,15,33,1054410
2,007,16,38,941560
2,007,17,33,788620
2,007,18,52,761930
2,007,19,0,0
1,008,1,0,1880030
1,008,2,2,1747930
1,008,3,1,1776480
1,008,4,1,1814850
1,008,5,1,1930890
1,008,6,3,2401730
1,008,7,5,2565010
1,008,8,18,2542980
1,008,9,38,2273980
1,008,10,63,1879780
1,008,11,94,1603760
1,008,12,132,1589750
1,008,13,124,1246110
1,008,14,111,1050230
1,008,15,68,899980
1,008,16,64,706070
1,008,17,33,489890
1,008,18,37,338630
1,008,19,0,0
2,008,1,1,1798360
2,008,2,0,1681740
2,008,3,0,1686530
2,008,4,0,1712930
2,008,5,2,1953610
2,008,6,3,2432070
2,008,7,2,2448920
2,008,8,12,2444990
2,008,9,15,2286210
2,008,10,30,1914950
2,008,11,38,1673500
2,008,12,61,1680960
2,008,13,61,1352660
2,008,14,72,1163580
2,008,15,56,1054410
2,008,16,68,941560
2,008,17,64,788620
2,008,18,72,761930
2,008,19,0,0
1,009,1,0,1880030
1,009,2,0,1747930
1,009,3,1,1776480
1,009,4,0,1814850
1,009,5,0,1930890
1,009,6,0,2401730
1,009,7,1,2565010
1,009,8,2,2542980
1,009,9,3,2273980
1,009,10,6,1879780
1,009,11,15,1603760
1,009,12,25,1589750
1,009,13,18,1246110
1,009,14,27,1050230
1,009,15,14,899980
1,009,16,20,706070
1,009,17,14,489890
1,009,18,16,338630
1,009,19,0,0
2,009,1,0,1798360
2,009,2,0,1681740
2,009,3,0,1686530
2,009,4,0,1712930
2,009,5,1,1953610
2,009,6,1,2432070
2,009,7,1,2448920
2,009,8,3,2444990
2,009,9,3,2286210
2,009,10,5,1914950
2,009,11,6,1673500
2,009,12,16,1680960
2,009,13,15,1352660
2,009,14,19,1163580
2,009,15,21,1054410
2,009,16,28,941560
2,009,17,25,788620
2,009,18,27,761930
2,009,19,0,0
1,010,1,0,1880030
1,010,2,0,1747930
1,010,3,0,1776480
1,010,4,0,1814850
1,010,5,0,1930890
1,010,6,0,2401730
1,010,7,0,2565010
1,010,8,5,2542980
1,010,9,11,2273980
1,010,10,32,1879780
1,010,11,30,1603760
1,010,12,49,1589750
1,010,13,44,1246110
1,010,14,43,1050230
1,010,15,24,899980
1,010,16,11,706070
1,010,17,3,489890
1,010,18,3,338630
1,010,19,0,0
2,010,1,0,1798360
2,010,2,0,1681740
2,010,3,0,1686530
2,010,4,0,1712930
2,010,5,0,1953610
2,010,6,0,2432070
2,010,7,1,2448920
2,010,8,3,2444990
2,010,9,5,2286210
2,010,10,7,1914950
2,010,11,9,1673500
2,010,12,16,1680960
2,010,13,22,1352660
2,010,14,18,1163580
2,010,15,7,1054410
2,010,16,8,941560
2,010,17,6,788620
2,010,18,7,761930
2,010,19,0,0
1,011,1,0,1880030
1,011,2,2,1747930
1,011,3,0,1776480
1,011,4,1,1814850
1,011,5,1,1930890
1,011,6,2,2401730
1,011,7,2,2565010
1,011,8,7,2542980
1,011,9,13,2273980
1,011,10,10,1879780
1,011,11,16,1603760
1,011,12,31,1589750
1,011,13,26,1246110
1,011,14,18,1050230
1,011,15,10,899980
1,011,16,13,706070
1,011,17,5,489890
1,011,18,2,338630
1,011,19,0,0
2,011,1,1,1798360
2,011,2,0,1681740
2,011,3,0,1686530
2,011,4,0,1712930
2,011,5,0,1953610
2,011,6,1,2432070
2,011,7,0,2448920
2,011,8,3,2444990
2,011,9,4,2286210
2,011,10,7,1914950
2,011,11,9,1673500
2,011,12,15,1680960
2,011,13,16,1352660
2,011,14,12,1163580
2,011,15,13,1054410
2,011,16,7,941560
2,011,17,9,788620
2,011,18,10,761930
2,011,19,0,0
1,012,1,0,1880030
1,012,2,0,1747930
1,012,3,0,1776480
1,012,4,0,1814850
1,012,5,0,1930890
1,012,6,1,2401730
1,012,7,2,2565010
1,012,8,4,2542980
1,012,9,11,2273980
1,012,10,15,1879780
1,012,11,33,1603760
1,012,12,27,1589750
1,012,13,36,1246110
1,012,14,23,1050230
1,012,15,20,899980
1,012,16,20,706070
1,012,17,11,489890
1,012,18,16,338630
1,012,19,0,0
2,012,1,0,1798360
2,012,2,0,1681740
2,012,3,0,1686530
2,012,4,0,1712930
2,012,5,1,1953610
2,012,6,1,2432070
2,012,7,0,2448920
2,012,8,3,2444990
2,012,9,3,2286210
2,012,10,11,1914950
2,012,11,14,1673500
2,012,12,14,1680960
2,012,13,8,1352660
2,012,14,23,1163580
2,012,15,15,1054410
2,012,16,25,941560
2,012,17,24,788620
2,012,18,28,761930
2,012,19,0,0
1,013,1,0,1880030
1,013,2,0,1747930
