arrond;capacity;avail. bike
75101;768;451
75102;660;404
75103;389;268
75104;634;362
75105;1203;708
75106;1032;700
75107;1010;680
75108;1481;957
75109;1172;454
75110;1583;462
75111;1972;696
75112;2726;1480
75113;2320;994
75114;1783;116
75115;3342;1700
75116;2205;843
75117;2176;608
75118;1894;275
75119;1812;284
75120;1909;128
92004;180;91
92007;141;20
92009;84;32
92012;880;416
92014;55;14
92020;148;36
92022;62;30
92023;74;21
92024;400;228
92025;120;88
92026;193;50
92032;122;35
92035;128;22
92036;126;90
92040;495;307
92044;359;211
92046;238;40
92048;107;37
92049;283;49
92050;222;115
92051;378;170
92062;58;33
92063;195;78
92064;79;26
92071;90;22
92072;118;3
92073;264;21
92075;258;40
92077;24;1
93001;404;150
93006;208;17
93008;19;15
93045;233;5
93048;792;92
93053;58;30
93055;563;97
93061;42;1
93063;67;17
93064;124;52
93066;516;297
93070;269;137
94002;122;53
94003;120;31
94016;112;60
94017;121;73
94018;248;66
94022;79;35
94033;349;61
94037;119;43
94041;579;238
94042;124;72
94043;150;33
94046;180;97
94052;131;47
94067;119;27
94069;44;26
94076;254;38
94080;278;148
94081;482;184
95018;95;73
