arrond;capacity;avail. bike
75101;768;345
75102;660;263
75103;389;298
75104;634;453
75105;1203;394
75106;1032;358
75107;1010;376
75108;1481;161
75109;1172;430
75110;1583;680
75111;1972;1185
75112;2726;1329
75113;2320;686
75114;1783;308
75115;3342;1893
75116;2205;579
75117;2176;672
75118;1894;702
75119;1812;491
75120;1909;456
92004;180;132
92007;141;28
92009;84;43
92012;880;367
92014;55;7
92020;148;39
92022;62;32
92023;74;25
92024;400;196
92025;120;92
92026;193;71
92032;122;44
92035;128;32
92036;126;69
92040;495;250
92044;359;147
92046;238;70
92048;107;46
92049;283;55
92050;222;105
92051;378;100
92062;58;22
92063;195;77
92064;79;8
92071;90;31
92072;118;8
92073;264;31
92075;258;75
92077;24;3
93001;404;141
93006;208;40
93008;19;6
93045;233;24
93048;792;163
93053;58;28
93055;563;120
93061;42;11
93063;67;30
93064;124;61
93066;516;180
93070;269;143
94002;122;73
94003;120;30
94016;112;54
94017;121;74
94018;248;91
94022;79;31
94033;349;125
94037;119;67
94041;579;321
94042;124;65
94043;150;57
94046;180;100
94052;131;38
94067;119;46
94069;44;32
94076;254;52
94080;278;48
94081;482;220
95018;95;74
