arrond;capacity;avail. bike
75101;271;202
75102;252;220
75103;103;38
75104;334;284
75105;964;619
75106;569;395
75107;826;634
75108;1123;716
75109;872;403
75110;1079;154
75111;1692;493
75112;1870;888
75113;1592;546
75114;1373;121
75115;2688;1222
75116;1588;482
75117;1789;316
75118;1406;173
75119;1082;116
75120;1306;69
92004;92;45
92007;111;10
92012;563;224
92022;24;9
92023;74;16
92024;297;96
92025;78;60
92026;64;19
92032;34;12
92035;42;7
92036;27;13
92040;400;267
92044;359;239
92046;161;33
92048;64;22
92049;195;25
92050;222;120
92051;331;156
92062;30;16
92063;103;54
92064;79;22
92071;33;8
92072;65;8
92073;124;13
92075;231;37
93001;373;143
93006;180;6
93008;19;11
93045;210;3
93048;713;90
93055;459;67
93061;42;5
93063;67;17
93064;76;31
93066;380;204
93070;49;29
94002;98;33
94003;95;28
94016;92;43
94017;57;22
94018;105;20
94022;79;35
94033;327;28
94037;119;34
94041;302;119
94042;124;69
94043;125;17
94046;160;84
94052;131;32
94067;65;18
94069;44;9
94076;68;4
94080;147;79
94081;287;80
95018;95;71
