arrond;capacity;avail. bike
75101;768;539
75102;660;422
75103;389;243
75104;634;450
75105;1203;426
75106;1032;440
75107;1010;538
75108;1481;616
75109;1172;430
75110;1583;406
75111;1972;652
75112;2726;1183
75113;2320;646
75114;1783;236
75115;3342;1520
75116;2205;528
75117;2176;386
75118;1894;310
75119;1812;254
75120;1909;203
92004;180;93
92007;141;21
92009;84;35
92012;880;294
92014;55;18
92020;148;43
92022;62;29
92023;74;11
92024;400;166
92025;120;76
92026;193;57
92032;122;34
92035;128;27
92036;126;58
92040;495;271
92044;359;181
92046;238;47
92048;107;39
92049;283;50
92050;222;111
92051;378;117
92062;58;26
92063;195;79
92064;79;12
92071;90;22
92072;118;9
92073;264;27
92075;258;45
92077;24;1
93001;404;117
93006;208;20
93008;19;7
93045;233;13
93048;792;77
93053;58;25
93055;563;93
93061;42;11
93063;67;16
93064;124;55
93066;516;210
93070;269;131
94002;122;52
94003;120;22
94016;112;48
94017;121;69
94018;248;75
94022;79;33
94033;349;77
94037;119;51
94041;579;224
94042;124;71
94043;150;16
94046;180;87
94052;131;26
94067;119;12
94069;44;17
94076;254;21
94080;278;17
94081;482;161
95018;95;73
