arrond;capacity;avail. bike
75101;768;169
75102;660;151
75103;389;225
75104;634;371
75105;1203;382
75106;1032;384
75107;1010;443
75108;1481;272
75109;1172;261
75110;1583;583
75111;1972;1057
75112;2726;1516
75113;2320;860
75114;1783;308
75115;3342;1950
75116;2205;698
75117;2176;660
75118;1894;691
75119;1812;447
75120;1909;345
92004;180;123
92007;141;23
92009;84;42
92012;880;377
92014;55;13
92020;148;45
92022;62;32
92023;74;23
92024;400;267
92025;120;93
92026;193;65
92032;122;48
92035;128;35
92036;126;89
92040;495;286
92044;359;163
92046;238;68
92048;107;49
92049;283;103
92050;222;112
92051;378;124
92062;58;24
92063;195;82
92064;79;25
92071;90;35
92072;118;9
92073;264;37
92075;258;62
92077;24;4
93001;404;171
93006;208;39
93008;19;11
93045;233;21
93048;792;152
93053;58;37
93055;563;149
93061;42;6
93063;67;28
93064;124;63
93066;516;268
93070;269;177
94002;122;56
94003;120;31
94016;112;68
94017;121;72
94018;248;99
94022;79;30
94033;349;95
94037;119;63
94041;579;282
94042;124;68
94043;150;61
94046;180;106
94052;131;57
94067;119;33
94069;44;29
94076;254;39
94080;278;114
94081;482;195
95018;95;74
