arrond;capacity;avail. bike
75101;768;452
75102;660;338
75103;389;325
75104;634;516
75105;1203;372
75106;1032;411
75107;1010;392
75108;1481;217
75109;1172;479
75110;1583;648
75111;1972;1092
75112;2726;1341
75113;2320;636
75114;1783;332
75115;3342;1818
75116;2205;566
75117;2176;607
75118;1894;618
75119;1812;467
75120;1909;396
92004;180;126
92007;141;26
92009;84;37
92012;880;360
92014;55;10
92020;148;39
92022;62;32
92023;74;21
92024;400;170
92025;120;93
92026;193;71
92032;122;43
92035;128;35
92036;126;63
92040;495;243
92044;359;155
92046;238;59
92048;107;46
92049;283;49
92050;222;104
92051;378;104
92062;58;21
92063;195;76
92064;79;7
92071;90;27
92072;118;7
92073;264;27
92075;258;67
92077;24;2
93001;404;132
93006;208;34
93008;19;8
93045;233;21
93048;792;132
93053;58;27
93055;563;118
93061;42;10
93063;67;25
93064;124;59
93066;516;165
93070;269;152
94002;122;69
94003;120;25
94016;112;53
94017;121;74
94018;248;80
94022;79;31
94033;349;118
94037;119;55
94041;579;294
94042;124;65
94043;150;50
94046;180;99
94052;131;34
94067;119;35
94069;44;29
94076;254;34
94080;278;36
94081;482;217
95018;95;73
